Arc_length vs Data,007_08months_DTI_antsBM,008_08months_DTI_antsBM,013_09months_DTI_antsBM,014_09months_DTI_antsBM,016_08months_DTI_antsBM,017_07months_DTI_antsBM,018_07months_DTI_antsBM,019_08months_DTI_antsBM,020_08months_DTI_antsBM,021_08months_DTI_antsBM,022_08months_DTI_antsBM,023_08months_DTI_antsBM,025_07months_DTI_antsBM,026_07months_DTI_antsBM,027_07months_DTI_antsBM,028_07months_DTI_antsBM,029_08months_DTI_antsBM,030_08months_DTI_antsBM,031_07months_DTI_antsBM,032_09months_DTI_antsBM,033_07months_DTI_antsBM,034_07months_DTI_antsBM,034_09months_DTI_antsBM,035_09months_DTI_antsBM,036_09months_DTI_antsBM,Atlas
-21.4606,0.000663949,0.000670381,0.000647685,0.000652981,0.000683771,0.00066946,0.000671289,0.000677159,0.00073595,0.00069902,0.000755609,0.000764139,0.000711732,0.000715259,0.00066845,0.000790361,0.000770993,0.000749924,0.000758954,0.000733543,0.000790943,0.000495965,0.000772332,0.000752581,0.000748543,0.000731959
-20.9606,0.000676317,0.000672863,0.000662789,0.000656968,0.000691497,0.00068129,0.000684656,0.000681137,0.000735956,0.000696043,0.000751937,0.000767719,0.000717162,0.000716289,0.000673843,0.000799854,0.00076709,0.000768152,0.000765186,0.000731639,0.000786629,0.000494174,0.000775475,0.000762913,0.000757021,0.000742921
-20.4606,0.000674328,0.000663045,0.000662389,0.000653137,0.000686508,0.000679765,0.000680397,0.000679228,0.000727585,0.000687567,0.000740665,0.000763209,0.000712256,0.000709204,0.000668536,0.000792971,0.000759235,0.000764303,0.000759514,0.000722656,0.000777675,0.000488116,0.000765632,0.000752569,0.000752761,0.000741529
-19.9606,0.000665703,0.000650818,0.00065295,0.000644179,0.000674173,0.000670546,0.000670787,0.000671104,0.000718116,0.000677341,0.000726767,0.000754674,0.000703412,0.000698999,0.000658551,0.000779588,0.00075034,0.0007534,0.000750759,0.000711405,0.00076797,0.000478676,0.000751307,0.000737765,0.000741962,0.000734676
-19.4606,0.000654925,0.00064091,0.000640742,0.000633428,0.000659772,0.000660689,0.000660559,0.000658965,0.000708374,0.000668165,0.000713418,0.000745346,0.000694536,0.000685882,0.000648008,0.000765303,0.000739728,0.00074008,0.00074318,0.000699866,0.000756767,0.00046804,0.000735825,0.000721248,0.000729883,0.000725174
-18.9606,0.000642741,0.00063309,0.000625127,0.000622217,0.000644833,0.000650705,0.000649333,0.000644034,0.000697814,0.000659565,0.000699896,0.000734675,0.000685614,0.000670624,0.000636584,0.000750657,0.000727701,0.000725485,0.000735761,0.000688174,0.000743571,0.000456551,0.000719253,0.00070303,0.000716904,0.000713135
-18.4606,0.000629977,0.000626318,0.000605652,0.000610488,0.000629412,0.000640676,0.000637496,0.000627985,0.000685564,0.000651212,0.000685556,0.000722414,0.000676629,0.000654682,0.000624163,0.000735039,0.000714677,0.000710218,0.000727954,0.000676116,0.000728889,0.00044444,0.000701723,0.000685155,0.000702586,0.000698088
-17.9606,0.000618675,0.000620765,0.000585134,0.000600996,0.00061732,0.000634288,0.000628293,0.000615978,0.000672357,0.000644863,0.000672588,0.000711029,0.000669111,0.000642719,0.000612828,0.000721207,0.000702918,0.000697694,0.000721402,0.000666045,0.000716116,0.000434806,0.00068649,0.000671104,0.000689492,0.000681861
-17.4606,0.000609919,0.000615679,0.000566428,0.000595105,0.000610289,0.000633221,0.000623861,0.000611464,0.000658966,0.000641364,0.000664426,0.000702586,0.00066371,0.000638974,0.00060357,0.000710441,0.000695282,0.000689971,0.00071662,0.000659409,0.000708801,0.00043039,0.000676252,0.000663124,0.000679213,0.000667297
-16.9606,0.000603547,0.000609076,0.000551883,0.000590774,0.000605026,0.000635969,0.000623887,0.000610767,0.000647017,0.00063902,0.000664154,0.000697084,0.000659995,0.000640513,0.000596211,0.000701552,0.000691281,0.000685668,0.000712881,0.000655356,0.000705959,0.000430826,0.000669215,0.00065906,0.000670818,0.000655001
-16.4606,0.000600867,0.000600042,0.000542558,0.000586672,0.000599097,0.000639486,0.000626174,0.000607723,0.000639187,0.000636048,0.000671777,0.000692689,0.000657703,0.000641373,0.000590667,0.000694826,0.000688508,0.000683616,0.000709862,0.000653374,0.000703792,0.000434399,0.000662876,0.000654988,0.000664403,0.000644728
-15.9606,0.000604213,0.000589334,0.000538219,0.000582594,0.000592787,0.000640533,0.000627461,0.000601076,0.00063549,0.000631187,0.00068224,0.000687006,0.00065631,0.000638935,0.000587,0.000692805,0.000685964,0.000683457,0.000707571,0.000653385,0.000699493,0.000438519,0.000657006,0.00064961,0.000660119,0.000636193
-15.4606,0.000611374,0.000578549,0.000537344,0.000577976,0.000588102,0.000637094,0.000625172,0.000593591,0.000633574,0.000623707,0.000687259,0.000678324,0.000654293,0.000633576,0.000584634,0.000697845,0.000682321,0.000684558,0.000705296,0.000654601,0.000692522,0.000439633,0.000652024,0.00064443,0.000656439,0.000628689
-14.9606,0.000614614,0.000570134,0.00053695,0.000572832,0.000586029,0.000628449,0.000619554,0.000587424,0.00062987,0.000614975,0.000681753,0.000666553,0.000649646,0.000625654,0.000581882,0.000708419,0.000675164,0.000686863,0.000701713,0.000654794,0.000684109,0.000434348,0.000647347,0.000641009,0.000651336,0.00062124
-14.4606,0.000608966,0.000564741,0.000534193,0.000568921,0.000585704,0.00061586,0.000614525,0.000583123,0.000623333,0.000606936,0.000669171,0.000654007,0.000642447,0.00061638,0.000577772,0.000719582,0.000664183,0.00069153,0.000696405,0.000652006,0.000676572,0.000422516,0.000641763,0.000639599,0.000644796,0.000613694
-13.9606,0.000596046,0.000560128,0.000529197,0.000568918,0.000584739,0.000601455,0.000613698,0.000580062,0.000616698,0.000601242,0.000656415,0.000643443,0.000634681,0.000607598,0.000572447,0.000725131,0.000653214,0.000698379,0.000690378,0.000645843,0.00067167,0.000409178,0.000634125,0.00063875,0.000637874,0.000606537
