Arc_length vs Data,007_08months_DTI_antsBM,008_08months_DTI_antsBM,013_09months_DTI_antsBM,014_09months_DTI_antsBM,016_08months_DTI_antsBM,017_07months_DTI_antsBM,018_07months_DTI_antsBM,019_08months_DTI_antsBM,020_08months_DTI_antsBM,021_08months_DTI_antsBM,022_08months_DTI_antsBM,023_08months_DTI_antsBM,025_07months_DTI_antsBM,026_07months_DTI_antsBM,027_07months_DTI_antsBM,028_07months_DTI_antsBM,029_08months_DTI_antsBM,030_08months_DTI_antsBM,031_07months_DTI_antsBM,032_09months_DTI_antsBM,033_07months_DTI_antsBM,034_07months_DTI_antsBM,034_09months_DTI_antsBM,035_09months_DTI_antsBM,036_09months_DTI_antsBM,Atlas
-26.1154,0.0006298,0.000615957,0.000560855,0.000613694,0.000656635,0.000703498,0.000681999,0.00069978,0.000742485,0.000721341,0.000621494,0.000760748,0.000726633,0.000667428,0.000733638,0.000794196,0.000674404,0.000905142,0.000843863,0.000715331,0.000838643,0.000583764,0.000717236,0.000664317,0.000760604,0.000696182
-25.6154,0.000633875,0.000617953,0.000559568,0.000613841,0.000654564,0.000692906,0.000692127,0.000696233,0.000743762,0.000713347,0.000618927,0.000755061,0.000713581,0.000659747,0.000726747,0.000794203,0.000672821,0.000867491,0.000830133,0.000721222,0.000830503,0.000598708,0.000707574,0.000664625,0.000754434,0.000689681
-25.1154,0.00063975,0.000629679,0.000557881,0.000619074,0.000652001,0.000682268,0.000697202,0.000692022,0.000747181,0.000706292,0.000620699,0.000751168,0.000704059,0.000658568,0.000725688,0.000790376,0.000675933,0.000837967,0.000822678,0.000725057,0.000829067,0.000613577,0.000707077,0.000664355,0.000750305,0.00068562
-24.6154,0.00064563,0.00064379,0.000556995,0.000626996,0.000646427,0.000670887,0.000698779,0.000688263,0.00074949,0.000695682,0.00062383,0.000747892,0.000693144,0.000657972,0.000726319,0.000783367,0.000680306,0.000808156,0.000815668,0.000725214,0.000826953,0.00062868,0.000712201,0.000664402,0.000748596,0.000681146
-24.1154,0.000650817,0.000656462,0.000557775,0.000636749,0.000641,0.000661554,0.000695405,0.000686347,0.00074842,0.000684554,0.00062891,0.000748138,0.000685918,0.000659822,0.000730497,0.000771413,0.000684472,0.000787705,0.000813173,0.0007196,0.000823398,0.000638426,0.000723693,0.000667441,0.000750395,0.000677541
-23.6154,0.000651232,0.000674928,0.000565963,0.000647808,0.000636971,0.000656745,0.000688186,0.000681567,0.000746356,0.000673763,0.000638753,0.000753771,0.000687174,0.000665566,0.000733824,0.000758764,0.0006906,0.000770489,0.000810746,0.000708037,0.000817995,0.000631193,0.000737105,0.000673497,0.000753411,0.000677146
-23.1154,0.000613552,0.000662333,0.000618766,0.000651847,0.000632079,0.000619808,0.000755441,0.00065823,0.000757493,0.000646859,0.000681851,0.0007599,0.000691302,0.00064281,0.000785116,0.000709805,0.00065902,0.000638555,0.00074847,0.000693262,0.000756201,0.000521921,0.000699746,0.000680406,0.000731265,0.000671955
-22.6154,0.000595408,0.000656991,0.000624945,0.000648926,0.000626814,0.000606984,0.000763165,0.000648007,0.000759691,0.000647765,0.000680462,0.000761271,0.000687479,0.000637389,0.000783296,0.000692453,0.000642438,0.000596666,0.000720257,0.000683925,0.000731972,0.000494199,0.000687446,0.000680727,0.000719157,0.000669322
-22.1154,0.000583317,0.000655991,0.000619312,0.000644491,0.00062442,0.000602967,0.00075107,0.000641114,0.000755541,0.000649677,0.000672872,0.000757525,0.000682798,0.000637172,0.000764796,0.000684635,0.000639457,0.000584393,0.000704401,0.000672393,0.00072444,0.000496478,0.000681048,0.000675732,0.000711523,0.000666479
-21.6154,0.000572567,0.000655278,0.000613722,0.000640636,0.000624918,0.00060053,0.000736328,0.00063639,0.000748903,0.000649714,0.000666404,0.000750758,0.000678493,0.000637952,0.00074655,0.000678509,0.000641454,0.000579055,0.000693229,0.000662595,0.000722689,0.000501046,0.000676258,0.000669912,0.000704232,0.000663256
-21.1154,0.000561921,0.000654947,0.000609028,0.000637452,0.000628282,0.000599084,0.000717718,0.00063296,0.000739986,0.000650325,0.000657965,0.000742647,0.000674356,0.000640226,0.000728489,0.000673167,0.000646578,0.000577842,0.000685594,0.000654443,0.000722806,0.000504911,0.000674413,0.000663923,0.000697163,0.000659442
-20.6154,0.000552863,0.000653455,0.000608294,0.000634589,0.000634305,0.000597684,0.000698631,0.000629685,0.00072817,0.00064986,0.000649165,0.00073231,0.000670422,0.000641319,0.000717794,0.000668087,0.000653809,0.000577249,0.000681396,0.00065037,0.000721363,0.000503167,0.000674675,0.000659848,0.000690493,0.000654595
-20.1154,0.000546903,0.000650486,0.000610828,0.000632098,0.000641081,0.000596289,0.000680463,0.000625996,0.000715675,0.000649222,0.000639772,0.000722409,0.000666194,0.000640327,0.000717074,0.000665262,0.000660778,0.000577617,0.000681011,0.000651456,0.000716572,0.000494502,0.000676475,0.000660131,0.000684911,0.000649424
-19.6154,0.000542615,0.000643952,0.000612464,0.000628501,0.000644958,0.000593745,0.000663312,0.000619881,0.000704146,0.000647438,0.000629062,0.000713637,0.000661167,0.000636251,0.000720293,0.00066485,0.00066654,0.000578221,0.000680913,0.000652138,0.000708565,0.000482997,0.000676119,0.00066267,0.000679258,0.000643959
-19.1154,0.000538901,0.000632814,0.000610573,0.000622659,0.000643405,0.000588462,0.000648036,0.000610495,0.000692859,0.000643299,0.000619056,0.000704298,0.000654717,0.00062952,0.000721837,0.000666884,0.000670893,0.000580034,0.000678783,0.000648321,0.000699388,0.00047205,0.000671886,0.000664717,0.000672718,0.000638344
-18.6154,0.00053459,0.000617662,0.000604896,0.000615469,0.000635248,0.000579475,0.000635334,0.000598994,0.000680773,0.00063783,0.000611941,0.000691796,0.00064649,0.000622633,0.000719556,0.00067188,0.000673481,0.000585969,0.000674995,0.000638851,0.0006901,0.000463198,0.000664969,0.000664188,0.000665272,0.000633261
-18.1154,0.000528362,0.000600299,0.000596669,0.000608491,0.000621673,0.000568221,0.000625853,0.000587709,0.000666572,0.000631765,0.000607591,0.000675676,0.000637267,0.000617486,0.000714302,0.000678188,0.000673614,0.000597535,0.000670858,0.000625735,0.000682001,0.000457351,0.000657133,0.000660637,0.000657664,0.00062869
-17.6154,0.000520888,0.000585749,0.000588442,0.000603921,0.00060631,0.000557886,0.000620113,0.000578159,0.000650913,0.000625845,0.000605663,0.000658607,0.000627791,0.000614192,0.000709413,0.000684475,0.000671456,0.000612264,0.000667539,0.000613229,0.000676012,0.000454495,0.000651391,0.000656163,0.000651515,0.000624967
-17.1154,0.000512289,0.000575693,0.00058018,0.000601339,0.000591584,0.000549365,0.000618004,0.000570083,0.000636283,0.000618828,0.000603534,0.000642817,0.000618333,0.0006101,0.000704384,0.000688623,0.000667272,0.000624432,0.000663238,0.000602048,0.000671775,0.000452784,0.000648239,0.000651611,0.000646458,0.000621589
-16.6154,0.0005049,0.000570504,0.000572218,0.000599842,0.000579842,0.000542888,0.000620548,0.000563661,0.000625653,0.000610518,0.000600364,0.000630551,0.000609866,0.000604466,0.000699211,0.000690134,0.000662262,0.000631849,0.000657573,0.000593054,0.000669302,0.000452381,0.000648263,0.0006479,0.000642546,0.000618355
-16.1154,0.000501699,0.000568697,0.000565047,0.000597799,0.000571332,0.000538031,0.000626888,0.000559228,0.000620547,0.000602486,0.000596767,0.000622987,0.00060366,0.000598374,0.000692362,0.000689203,0.000656756,0.000635853,0.000651267,0.000586836,0.00066727,0.000453323,0.000651527,0.000644916,0.000639586,0.000615269
-15.6154,0.000501797,0.000567639,0.000559282,0.000594531,0.000564485,0.000533997,0.000634629,0.000556378,0.000619502,0.000595471,0.000593595,0.000619,0.000599768,0.000593253,0.000683275,0.000686448,0.000651401,0.000639449,0.00064408,0.000582727,0.000664587,0.000454569,0.000656092,0.000641833,0.000636224,0.000612231
-15.1154,0.000503441,0.000566451,0.000556269,0.000590664,0.000559449,0.000531712,0.000641813,0.000554112,0.000621298,0.00059011,0.000591888,0.000619195,0.000598237,0.000590801,0.000673261,0.000682708,0.000646581,0.000643517,0.000636391,0.000580856,0.000662106,0.000455954,0.000660538,0.000638544,0.000631656,0.000609497
-14.6154,0.000504412,0.000564747,0.000555547,0.000586762,0.000555835,0.000530924,0.00064707,0.000551626,0.000624492,0.000585884,0.000591408,0.000621581,0.000597924,0.000590752,0.000663296,0.000678588,0.00064216,0.000645673,0.00062845,0.00058035,0.00066087,0.000456703,0.000663569,0.000634773,0.000625497,0.000607149
-14.1154,0.000504163,0.000562504,0.000556173,0.000583293,0.000553423,0.00053121,0.000649798,0.000548904,0.000628505,0.00058268,0.00059211,0.000623161,0.000597696,0.000593027,0.000655594,0.000675299,0.000638437,0.000645445,0.000620742,0.000580623,0.000661602,0.000456792,0.000664838,0.000631127,0.000619312,0.000605322
-13.6154,0.000504267,0.000560058,0.000557967,0.000580392,0.000552228,0.000533125,0.000650273,0.00054754,0.000633781,0.000581777,0.000593823,0.000622566,0.00059818,0.000597534,0.000651505,0.000673882,0.000636195,0.000644539,0.000614598,0.000581011,0.000664007,0.0004568,0.000664882,0.000628611,0.000614764,0.000604064
-13.1154,0.000506369,0.000557563,0.000561681,0.000578324,0.000551689,0.000537689,0.00064889,0.000548942,0.000639971,0.000584123,0.000596573,0.000619797,0.000600639,0.000604014,0.000651398,0.000673953,0.0006365,0.000646106,0.000611161,0.000581181,0.000667556,0.000457152,0.000664894,0.000627775,0.000611989,0.000603073
-12.6154,0.000510545,0.00055484,0.000567378,0.000576287,0.000551693,0.000545249,0.000646303,0.00055232,0.000646043,0.000589853,0.000599903,0.00061679,0.000605308,0.000611816,0.000653713,0.000674134,0.000638945,0.000651594,0.000610475,0.000581104,0.000670999,0.000458391,0.000665427,0.000628026,0.000610237,0.000601792
-12.1154,0.000516101,0.000552312,0.000574874,0.000574009,0.000551836,0.000554855,0.00064314,0.000556822,0.00065125,0.000599022,0.000603264,0.000613786,0.000611222,0.000619863,0.000657245,0.000673779,0.000643199,0.000659897,0.000611853,0.000581002,0.00067338,0.000460845,0.000666972,0.000629324,0.000608814,0.00059978
