Arc_length vs Data,007_08months_DTI_antsBM,008_08months_DTI_antsBM,013_09months_DTI_antsBM,014_09months_DTI_antsBM,016_08months_DTI_antsBM,017_07months_DTI_antsBM,018_07months_DTI_antsBM,019_08months_DTI_antsBM,020_08months_DTI_antsBM,021_08months_DTI_antsBM,022_08months_DTI_antsBM,023_08months_DTI_antsBM,025_07months_DTI_antsBM,026_07months_DTI_antsBM,027_07months_DTI_antsBM,028_07months_DTI_antsBM,029_08months_DTI_antsBM,030_08months_DTI_antsBM,031_07months_DTI_antsBM,032_09months_DTI_antsBM,033_07months_DTI_antsBM,034_07months_DTI_antsBM,034_09months_DTI_antsBM,035_09months_DTI_antsBM,036_09months_DTI_antsBM,Atlas
-26.8123,0.000854353,0.000831724,0.000784998,0.00097231,0.00093978,0.000889467,0.00097322,0.00107479,0.000907281,0.00103859,0.000889786,0.000898294,0.000908167,0.00081534,0.000843236,0.000938699,0.000910209,0.000987597,0.00107121,0.000923739,0.000859876,0.000698487,0.000920153,0.00094514,0.00102623,0.0008389
-26.3123,0.000807686,0.000781679,0.000727626,0.00091094,0.000873026,0.000820966,0.000904447,0.000992144,0.000855121,0.000967063,0.000841212,0.000856107,0.000844453,0.000781172,0.000816454,0.000886416,0.000855841,0.000922434,0.00100064,0.000879576,0.000844529,0.000654102,0.00087183,0.0008839,0.000951762,0.000795243
-25.8123,0.000770855,0.000733822,0.000690326,0.000844722,0.000822377,0.000765298,0.000863123,0.000907665,0.000865399,0.000871771,0.000806258,0.000868952,0.00080251,0.000784887,0.000825734,0.000856234,0.000834129,0.000873222,0.000913073,0.000846004,0.000872495,0.000633494,0.000860994,0.000828697,0.000875371,0.000771971
-25.3123,0.00072082,0.00068572,0.000652607,0.000756791,0.000753885,0.000704386,0.000794914,0.000790876,0.000823907,0.000782001,0.000762767,0.000848964,0.000752749,0.000766836,0.000780907,0.000807724,0.000795185,0.000801066,0.000830721,0.000781823,0.000847126,0.000590143,0.000825309,0.000766019,0.000806874,0.000755911
-24.8123,0.000692868,0.000666582,0.000637177,0.000697533,0.000708926,0.000669799,0.000743778,0.000713753,0.000780175,0.000729837,0.000741114,0.000838888,0.000730093,0.000759475,0.000740334,0.000781637,0.000770578,0.00075468,0.00079031,0.000742129,0.000817256,0.000559674,0.000800678,0.000734905,0.000770812,0.000749021
-24.3123,0.000684008,0.00066734,0.00063409,0.00066238,0.000690625,0.000654342,0.000707462,0.000670608,0.000743381,0.000704742,0.00073464,0.000839052,0.000725123,0.000759927,0.00072223,0.000772157,0.000761017,0.000730724,0.000776911,0.000728449,0.00079641,0.00054176,0.000785342,0.000723184,0.000754012,0.000742211
-23.8123,0.000686421,0.000675174,0.000631272,0.000654302,0.000691725,0.000658325,0.000685425,0.000662366,0.000726334,0.000694214,0.000736113,0.00084266,0.000727701,0.000757694,0.000726727,0.000774886,0.000760294,0.000729225,0.000778693,0.000731064,0.000789058,0.000532558,0.000778002,0.000720595,0.00074613,0.000731748
-23.3123,0.000694642,0.000681868,0.000633553,0.000667093,0.000700823,0.000676361,0.000681071,0.000677443,0.000727988,0.00069485,0.000739768,0.000841853,0.000732137,0.000749515,0.000737481,0.000784305,0.00076127,0.000750818,0.000787747,0.000741888,0.000791583,0.000531166,0.000778162,0.000724548,0.000750748,0.000732264
-22.8123,0.000703231,0.000684293,0.00063798,0.000682147,0.000707246,0.0006972,0.000691425,0.000695574,0.000739049,0.000698626,0.000742066,0.000837811,0.00073203,0.000737603,0.000744054,0.000789869,0.000760619,0.000772257,0.000795838,0.000748802,0.000794597,0.000533063,0.000778904,0.000728454,0.000757186,0.000736898
-22.3123,0.000704225,0.000678339,0.000639573,0.000686921,0.00070213,0.000710245,0.000705205,0.000699752,0.000747007,0.000696742,0.000735838,0.000823812,0.000722712,0.000719565,0.000733965,0.000785825,0.00075327,0.000778441,0.000794578,0.000743912,0.000786985,0.000531387,0.000773544,0.000725523,0.000757031,0.0007403
-21.8123,0.000692763,0.000662208,0.000637453,0.000673332,0.000681936,0.000706191,0.000709945,0.000678711,0.000740547,0.000682407,0.000716459,0.000794514,0.000700914,0.000693754,0.000702389,0.000768878,0.00073543,0.000764413,0.000778053,0.000724174,0.000760078,0.000522201,0.000756482,0.000710195,0.000745397,0.000739352
-21.3123,0.000670916,0.000639966,0.000631872,0.000645537,0.0006548,0.000683557,0.00069898,0.000638211,0.000720057,0.000655609,0.00068766,0.000757469,0.000672113,0.000665471,0.000660454,0.000744559,0.000711132,0.000733188,0.000747425,0.000693945,0.000720394,0.000508437,0.000730181,0.00068241,0.000721281,0.000730499
-20.8123,0.000647959,0.000618821,0.000624996,0.000623069,0.000633445,0.000655118,0.000674785,0.000598492,0.000694324,0.000626336,0.000658549,0.000721568,0.000646693,0.000639556,0.000624226,0.00072424,0.000686222,0.000702354,0.000713918,0.000664761,0.000683511,0.000496875,0.000703574,0.000651383,0.00069479,0.000719631
-20.3123,0.000633976,0.000605703,0.000616672,0.000618772,0.00062272,0.000635163,0.000649781,0.000575784,0.00067697,0.000603958,0.000639747,0.000697521,0.000631915,0.00062182,0.000604172,0.000713086,0.000666073,0.000682599,0.000689824,0.000643965,0.000662832,0.000494432,0.000684719,0.00062787,0.000674221,0.000711193
-19.8123,0.000629189,0.000600947,0.000603405,0.000628505,0.000617279,0.000628797,0.000632631,0.000568876,0.000672506,0.000591164,0.000634973,0.000688795,0.000629661,0.000616027,0.000597265,0.000709143,0.00065197,0.000670684,0.000678989,0.000631415,0.000658088,0.000501078,0.000675997,0.000616421,0.000660727,0.000705359
-19.3123,0.000625937,0.000599343,0.000582792,0.000638352,0.000610032,0.000630492,0.000623275,0.000568038,0.000676183,0.000584832,0.000640694,0.000687984,0.000636461,0.000621548,0.000595257,0.000707066,0.000643379,0.000662326,0.000677725,0.000624675,0.000658682,0.000510318,0.000675287,0.000615098,0.000652909,0.000699616
-18.8123,0.000619117,0.000596233,0.000560859,0.000636708,0.000600439,0.000632522,0.000618938,0.000569956,0.000683035,0.000582609,0.00065142,0.000685899,0.000648183,0.000632851,0.000595124,0.000703929,0.000640459,0.000660164,0.000679371,0.000622503,0.00065687,0.000514739,0.0006785,0.000619343,0.000650897,0.000693137
-18.3123,0.000612128,0.000589194,0.000545931,0.00062447,0.000592592,0.000631054,0.000616693,0.000576064,0.000688815,0.00058473,0.00066237,0.000679927,0.000661982,0.000642682,0.000599579,0.000700472,0.000641549,0.000665394,0.000679629,0.000624773,0.000653759,0.000511378,0.000683363,0.000625585,0.000655215,0.000687308
-17.8123,0.00061048,0.00058095,0.000539497,0.00060995,0.000588187,0.000625524,0.000614995,0.00058629,0.000691365,0.00059138,0.000669268,0.000673372,0.000675692,0.000645269,0.000609262,0.000697091,0.000643643,0.000673372,0.00067698,0.000629821,0.000654776,0.000501672,0.000688031,0.000632864,0.000664572,0.000683014
-17.3123,0.00061433,0.000575336,0.000539106,0.000599672,0.000585057,0.000617192,0.000614309,0.000594883,0.000688171,0.000599531,0.000670062,0.000671501,0.000686185,0.000639227,0.000620275,0.000692472,0.000644187,0.000678783,0.000672575,0.000635139,0.000660938,0.00048973,0.000690723,0.000639623,0.000675247,0.000679859
-16.8123,0.000618605,0.00057388,0.000541071,0.000594026,0.000581764,0.000607653,0.000616408,0.000595035,0.00067747,0.000605443,0.000666033,0.000675671,0.000691188,0.000627577,0.000626665,0.000686386,0.000642786,0.000679869,0.000669071,0.000638408,0.000668615,0.000478752,0.000690005,0.000644224,0.000684069,0.000677452
-16.3123,0.000617297,0.000575485,0.000542986,0.000588888,0.000577898,0.000597974,0.000622803,0.000584986,0.000661286,0.00060717,0.00065998,0.000681939,0.000689339,0.0006155,0.000623516,0.000679528,0.000641293,0.000677678,0.000667479,0.000637667,0.000673704,0.000469106,0.000683292,0.000644476,0.000687442,0.000675169
-15.8123,0.000610703,0.000576356,0.00054277,0.000580774,0.000572702,0.000588348,0.000631661,0.000568766,0.000644433,0.000604448,0.000654307,0.000683631,0.000681611,0.000605439,0.000611444,0.000673325,0.000640012,0.000673137,0.000666396,0.000631966,0.000674743,0.000458127,0.00067003,0.000638141,0.000683198,0.000671562
-15.3123,0.000601117,0.000573079,0.000538301,0.000566961,0.000565636,0.000577454,0.000636884,0.000551872,0.000630062,0.000597833,0.000648095,0.000676471,0.000670393,0.000596289,0.000593729,0.000667821,0.000636387,0.0006651,0.000660832,0.000621568,0.000672138,0.000444283,0.000651548,0.000624488,0.000671106,0.000664873
-14.8123,0.000591472,0.000565965,0.000529154,0.000549632,0.000557275,0.000566112,0.00063342,0.000540206,0.000618463,0.00058876,0.000640368,0.000661655,0.000657189,0.000586017,0.000575634,0.000661961,0.000629493,0.000654432,0.0006484,0.000609315,0.000667788,0.000429822,0.000632585,0.00060595,0.000652663,0.000654039
-14.3123,0.000585427,0.000557718,0.000516495,0.000533237,0.000549263,0.000556236,0.000619906,0.000535067,0.000608859,0.000579351,0.000630465,0.000643363,0.000644146,0.000573366,0.000560097,0.000655821,0.000620425,0.000642977,0.000632831,0.000598331,0.000662467,0.000417369,0.000618289,0.000588687,0.000632257,0.000640047
-13.8123,0.000581687,0.000551194,0.00050287,0.000521023,0.000542986,0.000549725,0.000599622,0.00053472,0.000600227,0.000572039,0.000618916,0.000625535,0.000630779,0.000559533,0.00054808,0.000649834,0.000612465,0.000631291,0.000618121,0.000589715,0.00065639,0.000409066,0.000609883,0.00057756,0.000613826,0.000624292
-13.3123,0.000578305,0.000548338,0.000490027,0.000515025,0.000539173,0.000548553,0.00057838,0.000535159,0.000592448,0.000567738,0.000608119,0.000610972,0.000617115,0.00054799,0.000539066,0.000644746,0.00060839,0.000619309,0.000607701,0.000583382,0.000649811,0.000406937,0.000607017,0.000573958,0.000600471,0.000609078
-12.8123,0.000572604,0.000548223,0.000479426,0.000514171,0.000538586,0.000551588,0.000559952,0.000531447,0.000585991,0.000564379,0.000600961,0.00059936,0.00060369,0.000541043,0.000531632,0.000639907,0.000608602,0.000606387,0.000601405,0.000577805,0.00064176,0.000410483,0.000607493,0.000574451,0.000594486,0.000595998
-12.3123,0.000563307,0.000546939,0.000472192,0.000513605,0.000540373,0.000555624,0.000546048,0.000523018,0.00057955,0.00055954,0.00059844,0.000588937,0.000589649,0.000539834,0.000525793,0.000634092,0.000610904,0.000594275,0.00059705,0.000571898,0.000632713,0.000417908,0.000607211,0.000573527,0.000595002,0.000585632
-11.8123,0.000552732,0.000541803,0.000466608,0.000509014,0.000541613,0.000557329,0.000534326,0.000513115,0.000571089,0.000551712,0.000598544,0.000578971,0.000575368,0.000540676,0.000520315,0.000626932,0.000611804,0.000583881,0.000593314,0.00056358,0.000622776,0.000425318,0.0006024,0.000567719,0.000597414,0.000576974
-11.3123,0.000542668,0.000532232,0.00046012,0.000498063,0.000539274,0.00055344,0.00052326,0.000507271,0.000560366,0.000540832,0.000597015,0.0005704,0.000561724,0.00053865,0.000514315,0.000619122,0.000609442,0.000575362,0.000588086,0.000550655,0.000612815,0.000428861,0.000592226,0.000557337,0.000595761,0.000568567
-10.8123,0.000533458,0.000519876,0.000451823,0.000481256,0.000533041,0.000543338,0.000512111,0.000505543,0.000548038,0.000528004,0.000591493,0.000564742,0.000551088,0.000530647,0.000506765,0.000610423,0.00060248,0.000567374,0.000580322,0.00053387,0.000603601,0.00042692,0.000579528,0.000545669,0.000586468,0.000559552
-10.3123,0.000522701,0.000506004,0.000443002,0.000461884,0.000525742,0.000528644,0.000499424,0.000503703,0.000534893,0.00051319,0.000582661,0.000561792,0.000544719,0.000516296,0.00049779,0.000600474,0.000592092,0.000560334,0.000569766,0.000517085,0.000594417,0.000419173,0.00056766,0.000534904,0.000570558,0.000549751
