Arc_length vs Data,007_08months_DTI_antsBM,008_08months_DTI_antsBM,013_09months_DTI_antsBM,014_09months_DTI_antsBM,016_08months_DTI_antsBM,017_07months_DTI_antsBM,018_07months_DTI_antsBM,019_08months_DTI_antsBM,020_08months_DTI_antsBM,021_08months_DTI_antsBM,022_08months_DTI_antsBM,023_08months_DTI_antsBM,025_07months_DTI_antsBM,026_07months_DTI_antsBM,027_07months_DTI_antsBM,028_07months_DTI_antsBM,029_08months_DTI_antsBM,030_08months_DTI_antsBM,031_07months_DTI_antsBM,032_09months_DTI_antsBM,033_07months_DTI_antsBM,034_07months_DTI_antsBM,034_09months_DTI_antsBM,035_09months_DTI_antsBM,036_09months_DTI_antsBM,Atlas
-20.3041,0.000586212,0.000631526,0.000555469,0.000733024,0.000545749,0.000560199,0.000707811,0.000882211,0.000569827,0.000608244,0.000658793,0.000682084,0.000642806,0.000755727,0.000570271,0.000714877,0.000604521,0.000898053,0.000759687,0.000683812,0.000740779,0.000428252,0.000687268,0.000625807,0.000637568,0.000713851
-19.8041,0.000591036,0.000626225,0.000542332,0.000694832,0.000566893,0.000569089,0.000714599,0.000851926,0.00058833,0.000611923,0.000666227,0.000690431,0.000642728,0.000773631,0.000576553,0.000720793,0.000616651,0.00090284,0.000752401,0.00068064,0.000733661,0.000449447,0.0006907,0.000625387,0.000657694,0.000709592
-19.3041,0.000594658,0.000615984,0.00053223,0.000666276,0.00058243,0.000572871,0.000716509,0.000821769,0.000601284,0.000616782,0.000669269,0.000696215,0.000641034,0.000786795,0.000581272,0.000723819,0.000623843,0.000899457,0.00074849,0.000678923,0.000725251,0.000463406,0.000692686,0.000632352,0.000673795,0.000702182
-18.8041,0.000599297,0.000599135,0.000525164,0.000638765,0.00059581,0.000575148,0.00071472,0.000779857,0.000613947,0.00062469,0.000671564,0.000701805,0.000641716,0.000791209,0.000587365,0.00072485,0.000633307,0.00088744,0.000745875,0.000677154,0.000716748,0.000473785,0.000692233,0.000641613,0.0006894,0.000688326
-18.3041,0.000604728,0.000577591,0.000527347,0.000621266,0.000601859,0.000576929,0.000710223,0.000726592,0.000625032,0.000634112,0.000673234,0.000703879,0.000647115,0.000777336,0.000593128,0.000725496,0.000642032,0.0008665,0.000745987,0.000680864,0.000707402,0.000482339,0.000690804,0.000652656,0.000704037,0.000669455
-17.8041,0.000609572,0.000556238,0.000537799,0.000615452,0.000597791,0.000578297,0.00070131,0.000672814,0.000631743,0.000643216,0.000674198,0.000701122,0.000653596,0.000741871,0.000596078,0.000725275,0.000648149,0.000835476,0.000748322,0.000685757,0.000695846,0.000486612,0.000689186,0.000662451,0.000714836,0.000646951
-17.3041,0.000612428,0.000542154,0.000554248,0.000619675,0.000584146,0.000580122,0.000690034,0.000630886,0.000633068,0.000652729,0.000676074,0.000693641,0.00065774,0.00068914,0.000595523,0.000725019,0.000651093,0.0007989,0.000751607,0.000690552,0.000683924,0.000486799,0.000689632,0.000668562,0.000720166,0.000625127
-16.8041,0.000612032,0.000539937,0.000569851,0.000627748,0.000566501,0.000582085,0.000678456,0.000611998,0.000629675,0.000661405,0.000677632,0.000683978,0.000654501,0.000635219,0.000590594,0.000724289,0.000650149,0.000763062,0.000754444,0.000692044,0.00067535,0.000483192,0.00069381,0.000670755,0.000719443,0.000608154
-16.3041,0.000608233,0.00054671,0.000577017,0.000628534,0.000555831,0.000583149,0.000668173,0.000616635,0.000624186,0.000667884,0.00067647,0.000676608,0.0006415,0.000600429,0.000585389,0.000722122,0.00064795,0.000734321,0.000755229,0.000687068,0.00067489,0.000475386,0.000700593,0.000670078,0.000713593,0.000597921
-15.8041,0.000602682,0.00055616,0.000576259,0.000620641,0.000559668,0.000582928,0.000660733,0.000633965,0.000619204,0.000668478,0.000670733,0.000673015,0.000623761,0.000592663,0.000585288,0.000719267,0.000645968,0.000716248,0.000754235,0.000678812,0.000685032,0.000464279,0.000707698,0.000668345,0.000704442,0.000596154
-15.3041,0.000598355,0.000563831,0.000572107,0.000609362,0.000576751,0.00058227,0.000656227,0.000651025,0.000615534,0.000659457,0.000660505,0.000671968,0.00060899,0.000605855,0.000592291,0.000717343,0.000643878,0.000708502,0.000752377,0.000671664,0.000702229,0.000451708,0.000712499,0.000666408,0.000693437,0.000603054
-14.8041,0.00059779,0.0005686,0.000568065,0.000599545,0.00059845,0.000582036,0.000654073,0.000659376,0.000612476,0.000642387,0.000648677,0.000671818,0.000602759,0.000628464,0.000604802,0.000717427,0.0006413,0.000707898,0.000749416,0.000668694,0.000719411,0.000440295,0.000713443,0.000664822,0.000681894,0.000615723
-14.3041,0.000601847,0.000571179,0.000565726,0.00059338,0.000614134,0.000582749,0.000653621,0.000656679,0.000609588,0.000623552,0.000639311,0.000671746,0.000606682,0.000649204,0.000616619,0.000719171,0.000638791,0.000710601,0.00074469,0.000669947,0.000730533,0.000432887,0.000710695,0.000664021,0.000671759,0.00062919
-13.8041,0.000608239,0.000571614,0.000564807,0.000589683,0.000618589,0.000584354,0.000653299,0.000646978,0.000606692,0.000609302,0.000634856,0.000671403,0.00061684,0.000662451,0.000622494,0.000721016,0.000637175,0.000714011,0.000737735,0.000672666,0.000733825,0.000429298,0.000705566,0.000663787,0.000664346,0.000639531
-13.3041,0.000613477,0.000569482,0.000565963,0.000587644,0.000614107,0.000587166,0.000651575,0.000636037,0.000604087,0.000603026,0.000636807,0.000670492,0.000627467,0.000666114,0.000622721,0.000722059,0.000636918,0.000716932,0.000728773,0.000673775,0.000731169,0.000426899,0.000699891,0.000663561,0.000660217,0.000645836
-12.8041,0.000616019,0.000567019,0.000569646,0.000587059,0.000606578,0.000592206,0.000648144,0.000627025,0.000602488,0.000604742,0.000645361,0.000668784,0.000633985,0.000661107,0.000620161,0.000722045,0.000638113,0.000718106,0.00071881,0.000671216,0.000726134,0.000422745,0.000694909,0.000662371,0.000658861,0.000649006
-12.3041,0.000616079,0.000567563,0.000574741,0.000587187,0.000600222,0.000600115,0.000642856,0.000619092,0.00060244,0.000612244,0.000656914,0.00066641,0.000635217,0.000651342,0.000617237,0.000720625,0.000640187,0.000716373,0.000709016,0.000665349,0.00072241,0.000416705,0.000690828,0.000659816,0.000659025,0.000649892
-11.8041,0.000613892,0.000572977,0.000578903,0.000586387,0.000596346,0.000608955,0.000636244,0.000609901,0.000603993,0.000622643,0.000666471,0.000663265,0.000633162,0.000640963,0.000614075,0.000717353,0.000641785,0.000711455,0.000700107,0.000658262,0.000721114,0.000411505,0.000687014,0.000656615,0.00065957,0.000648377
-11.3041,0.000608511,0.000581599,0.00058032,0.00058326,0.000595137,0.000614329,0.000628761,0.000598421,0.000606807,0.000632341,0.000671646,0.000658646,0.000629865,0.000632537,0.000609915,0.000711893,0.000640614,0.000703033,0.000692541,0.000652143,0.00071982,0.00040731,0.000682277,0.000653942,0.000659701,0.000645075
-10.8041,0.000599425,0.000588674,0.00057858,0.000578213,0.000597299,0.000612236,0.000620822,0.000584001,0.000610317,0.000637514,0.000672846,0.000652101,0.000625615,0.000626209,0.000606043,0.000704292,0.000634751,0.000691958,0.00068621,0.000648505,0.000714777,0.000400626,0.000675983,0.000651896,0.000658106,0.000640992
-10.3041,0.000588984,0.000589868,0.000575001,0.000573761,0.000602531,0.000602208,0.000614655,0.000566301,0.000613749,0.000635847,0.000671753,0.000644598,0.000619195,0.000620885,0.000605173,0.000695241,0.000624794,0.000681221,0.000679795,0.000647099,0.00070496,0.000388138,0.000669048,0.000648991,0.000653673,0.000636876
-9.80412,0.000580612,0.000583415,0.000571309,0.000573077,0.000609549,0.000588281,0.000613121,0.000545864,0.000617018,0.00062723,0.000667811,0.000637529,0.000611632,0.000615731,0.000607619,0.000686182,0.000615415,0.000675641,0.000672281,0.000647526,0.000691877,0.000371278,0.000663528,0.000644353,0.000647623,0.000633127
-9.30412,0.000579407,0.000572435,0.000570509,0.000579675,0.000617241,0.000578534,0.000619717,0.000529632,0.000621688,0.000615292,0.000659732,0.000633202,0.000609038,0.00061122,0.000610782,0.000680889,0.000616765,0.000682846,0.000665615,0.000652082,0.000680647,0.000359047,0.000661242,0.000639926,0.000644256,0.000630443
-8.80412,0.000594056,0.000565624,0.000579224,0.000597494,0.00062928,0.000583859,0.000641449,0.000533021,0.000632269,0.000608936,0.000651915,0.000637751,0.000621881,0.000609605,0.000614206,0.000686191,0.00064404,0.000709988,0.000664796,0.000667332,0.000679789,0.000363119,0.000663123,0.000639362,0.000650147,0.000630505
-8.30412,0.000639224,0.000573947,0.00060565,0.000628431,0.000655149,0.000615204,0.000685189,0.000575826,0.000654924,0.000620889,0.000655779,0.000661879,0.000662239,0.000614674,0.000623884,0.000711151,0.000709641,0.000761461,0.000675722,0.000699268,0.000700092,0.000390202,0.000671064,0.000644992,0.000671848,0.000636298
-7.80412,0.000727762,0.000602457,0.000653112,0.000669824,0.000700301,0.000678077,0.000751078,0.000666504,0.000692497,0.000656735,0.000680993,0.000711002,0.000733649,0.00062834,0.000647469,0.000759726,0.000810272,0.000836534,0.000699363,0.000746916,0.000747754,0.000437519,0.000687951,0.000655002,0.000710331,0.000650708
-7.30412,0.000859411,0.000645291,0.000713246,0.000716068,0.000757898,0.000768977,0.000832585,0.000795337,0.000737656,0.00070896,0.000727238,0.000778648,0.000830131,0.000648321,0.000684648,0.000824072,0.000924348,0.000925408,0.000728943,0.000802485,0.000817387,0.000495678,0.000714898,0.000665374,0.000760901,0.000674878
-6.80412,0.00100125,0.000685723,0.000765764,0.000757619,0.000804242,0.000867429,0.000910015,0.000928563,0.000772084,0.000758263,0.000777925,0.000840659,0.000926858,0.000668209,0.00072292,0.00088292,0.00101473,0.00100269,0.000753786,0.000851393,0.000888316,0.00054837,0.000746077,0.000674065,0.000808893,0.000704926
-6.30412,0.00109678,0.000708506,0.000790215,0.000783573,0.000817099,0.00094033,0.000955225,0.00101698,0.00077988,0.000785433,0.000808753,0.000872222,0.000987127,0.000682363,0.000745423,0.000911507,0.00104892,0.0010374,0.000766746,0.000878768,0.000934354,0.000579406,0.000770679,0.000679528,0.000835746,0.000731305
-5.80412,0.00110092,0.000708149,0.000778141,0.00078463,0.000793293,0.000953944,0.000946113,0.00102149,0.000758306,0.000782329,0.000802465,0.000864483,0.000983518,0.000689439,0.000743035,0.000898335,0.00102005,0.00101365,0.000767933,0.000875119,0.000938825,0.000580512,0.000779572,0.000681669,0.000833119,0.000742378
-5.30412,0.0010159,0.000689041,0.000740065,0.000759499,0.000750952,0.000906006,0.000887692,0.000948378,0.000719187,0.000756026,0.000765685,0.000828588,0.000919656,0.000689704,0.000723237,0.00085374,0.00094977,0.000946682,0.000762618,0.000841536,0.000906806,0.000558313,0.000771959,0.000680487,0.000807997,0.000735846
-4.80412,0.000885894,0.000662209,0.000692975,0.000718817,0.000712719,0.00082356,0.000808265,0.000838148,0.00068046,0.000719872,0.000720532,0.000783946,0.000827519,0.000686173,0.000698722,0.000799605,0.000867855,0.000871191,0.000755117,0.000789435,0.000857501,0.00052474,0.000753679,0.000674282,0.000778523,0.000717813
-4.30412,0.000765392,0.000636555,0.000650916,0.000678897,0.00068794,0.000742267,0.0007396,0.000740425,0.000653414,0.000686962,0.000688707,0.000746096,0.000744482,0.000681468,0.00067928,0.000756679,0.000798777,0.0008162,0.000748778,0.000735342,0.000811746,0.000491646,0.000733257,0.000665025,0.000758103,0.000698328
-3.80412,0.000685488,0.000619208,0.000620736,0.000652788,0.000673663,0.000687131,0.000698306,0.00068425,0.000642187,0.000667819,0.000679601,0.000722398,0.000691961,0.000676685,0.000668679,0.000734437,0.00075054,0.000787868,0.000746446,0.000694134,0.000782589,0.000466125,0.00071812,0.000655852,0.000748738,0.000685098
-3.30412,0.000647505,0.000614512,0.000602788,0.000642987,0.000664252,0.000656275,0.000680389,0.000664077,0.00064563,0.000666235,0.000685794,0.000712098,0.000670028,0.00067361,0.00066523,0.000728294,0.000721642,0.000775683,0.000749518,0.000673746,0.000770108,0.000449426,0.000713118,0.000649579,0.000745673,0.000678323
-2.80412,0.000635339,0.000619237,0.000594274,0.000641938,0.00065672,0.000636028,0.000672412,0.000661619,0.000655793,0.000677074,0.000694641,0.000709308,0.00066704,0.000670311,0.000664446,0.000728054,0.000707565,0.000764366,0.000754487,0.000671678,0.000765697,0.000441427,0.000716096,0.000647778,0.000742936,0.000674949
-2.30412,0.000632406,0.000625678,0.000589995,0.000640038,0.000649466,0.000617271,0.000665383,0.000661718,0.000662824,0.00068917,0.00069522,0.000704715,0.000670654,0.000664217,0.000659733,0.000725485,0.000702135,0.000745051,0.000753571,0.000678445,0.000759502,0.000436928,0.000717769,0.000647504,0.000736713,0.000671923
-1.80412,0.000627639,0.000625718,0.000583876,0.000630516,0.000640688,0.000596733,0.000653336,0.0006538,0.000659425,0.000691394,0.000682931,0.000692589,0.000670013,0.000654941,0.000646348,0.000714807,0.00069999,0.000715679,0.000740627,0.000682553,0.000747288,0.000428487,0.000710964,0.000644683,0.000724459,0.000667346
-1.30412,0.000617434,0.000616799,0.0005738,0.000614371,0.000630569,0.000577702,0.000635841,0.00063544,0.000646798,0.000681424,0.00066277,0.000674707,0.000660568,0.000644089,0.000625177,0.000697795,0.000697362,0.000682121,0.0007191,0.000678271,0.000732528,0.000414354,0.000696678,0.000638528,0.00070754,0.000661422
-0.804124,0.000606949,0.000604966,0.000563505,0.000598147,0.000622378,0.000565618,0.000619349,0.00061455,0.000633173,0.00066709,0.000645159,0.000659347,0.000646825,0.000635223,0.00060472,0.000681332,0.000693777,0.000655375,0.000699499,0.000669223,0.000721724,0.000400946,0.000683536,0.000632025,0.000692495,0.00065678
-0.304124,0.000597113,0.000593816,0.00055431,0.000583431,0.000619065,0.000563317,0.000606012,0.000591537,0.000621678,0.000652238,0.00063405,0.000647936,0.000630242,0.000628701,0.000586169,0.000663661,0.000688762,0.000635506,0.000684766,0.000658036,0.000718421,0.000391967,0.000678064,0.00062697,0.000680879,0.000654337
0.195876,0.000596265,0.000593397,0.000553841,0.000579489,0.000625544,0.00057605,0.000605335,0.00058141,0.000620598,0.000647386,0.000636847,0.000646366,0.000624867,0.000627291,0.000579963,0.000654786,0.000686409,0.000633254,0.000682985,0.000653402,0.000723518,0.000396027,0.000685923,0.00062921,0.000679257,0.000654227
0.695876,0.000605819,0.000605666,0.000563589,0.000587101,0.00063777,0.000599901,0.000616526,0.000586525,0.000630562,0.000653854,0.000649723,0.000652964,0.000636362,0.000632596,0.000589751,0.000658942,0.000690372,0.000648092,0.000692535,0.000659456,0.00073132,0.000408302,0.000701133,0.00064014,0.000687434,0.000652205
1.19588,0.000620702,0.00062256,0.00057812,0.00060168,0.000646525,0.000625434,0.000632263,0.00059567,0.000646502,0.000667205,0.000664127,0.000661618,0.000657093,0.000643589,0.00060746,0.000669497,0.000699898,0.000671092,0.000705705,0.00067194,0.000736891,0.000417811,0.000714657,0.000656793,0.000699129,0.000645521
1.69588,0.00064358,0.000641716,0.000598686,0.000624149,0.000652554,0.000657011,0.000653514,0.000605621,0.000671011,0.000688307,0.000682943,0.000674501,0.000684918,0.000662468,0.000630073,0.000685753,0.000714702,0.000704514,0.000725146,0.000690904,0.000743561,0.000426161,0.000730404,0.00068299,0.000717148,0.000633845
2.19588,0.000670715,0.000655142,0.000621605,0.000652752,0.000656309,0.000689913,0.000677293,0.000613708,0.000702384,0.000713683,0.00070267,0.000690758,0.000713541,0.000687938,0.000649458,0.000708115,0.000731325,0.000743442,0.000749633,0.000713629,0.000752837,0.000433094,0.000747587,0.000716927,0.000741501,0.000622913
2.69588,0.000699132,0.000659051,0.000644999,0.000684928,0.000665386,0.000721144,0.000701896,0.000623526,0.000739789,0.000738532,0.000722893,0.000710484,0.000739503,0.000715764,0.000661708,0.000737892,0.000745713,0.000782703,0.000776509,0.000736585,0.000768247,0.000444087,0.000767536,0.000754178,0.000771923,0.000621594
3.19588,0.000724725,0.000658386,0.000669495,0.000717851,0.000684841,0.000750525,0.000727755,0.000642726,0.00078185,0.000758485,0.000745528,0.000733241,0.000763059,0.000742593,0.000668863,0.00077282,0.000757996,0.000817235,0.000800945,0.000756316,0.000792952,0.000461244,0.000788593,0.000786341,0.000803197,0.000634853
3.69588,0.000744127,0.000661024,0.000694646,0.000747977,0.000712572,0.000777915,0.000758324,0.000675092,0.000826896,0.00077365,0.000773065,0.000757675,0.000786703,0.000765647,0.000676847,0.000803448,0.000770704,0.000843715,0.000816707,0.000768809,0.000827641,0.000480211,0.000805275,0.000803772,0.000824214,0.000663838
