Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,010_14months_DTI_antsBM,012_10months_DTI_antsBM,012_14months_DTI_antsBM,013_13months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_11months_DTI_antsBM,021_14months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,023_14months_DTI_antsBM,025_10months_DTI_antsBM,025_13months_DTI_antsBM,026_11months_DTI_antsBM,027_11months_DTI_antsBM,028_10months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM,Atlas
-44.7134,0.000459387,0.000470186,0.000502349,0.000440972,0.000480361,0.000464802,0.0005059,0.000480589,0.000445881,0.000472611,0.000505885,0.000497744,0.000520888,0.000499307,0.000526188,0.000556273,0.000515993,0.000509516,0.000529403,0.000553244,0.000535072,0.000522594,0.0005349,0.000522163,0.00054492,0.000610734,0.00054902,0.000571225,0.000568179,0.000587963,0.000549826,0.000567579,0.000522202,0.000550629,0.000528632,0.000560943,0.000562803,0.000536106,0.00047711
-44.2134,0.000454232,0.000461964,0.000503013,0.000442045,0.000477437,0.0004632,0.000498757,0.000473936,0.000441479,0.000467061,0.000499954,0.000491892,0.000519356,0.000491642,0.00052263,0.000553458,0.000509987,0.000503647,0.000523459,0.000547616,0.000534895,0.000524126,0.000533375,0.000519907,0.000538245,0.000603366,0.000546698,0.00056695,0.000565575,0.000576812,0.000544766,0.000560679,0.000520486,0.00055263,0.000527241,0.000557632,0.000552542,0.000533044,0.000473218
-43.7134,0.000450338,0.000457316,0.000504229,0.000445163,0.000476583,0.000467915,0.000493665,0.000470162,0.000438558,0.000464443,0.000495569,0.000493095,0.000520874,0.000487943,0.000521738,0.000553461,0.000506437,0.000502099,0.0005203,0.000543344,0.000535951,0.000525024,0.000534911,0.000520841,0.000535306,0.00059705,0.000545854,0.000564611,0.000566146,0.000567622,0.000541465,0.000555849,0.000521098,0.000557839,0.000528488,0.000557254,0.000544734,0.000530769,0.00047096
-43.2134,0.000450604,0.000457236,0.000508777,0.000454666,0.00047866,0.000475465,0.000489438,0.000467316,0.000438398,0.00046476,0.000493211,0.000496947,0.000527359,0.0004847,0.000523709,0.000556138,0.000507036,0.000505396,0.00051913,0.000539247,0.00054002,0.000528187,0.000541401,0.000525837,0.000536125,0.000593549,0.000548486,0.000565513,0.000569889,0.000561785,0.000539718,0.00055297,0.000524719,0.000569022,0.0005354,0.000561313,0.000538588,0.00053128,0.00046978
-42.7134,0.000452947,0.00045943,0.000514258,0.000465333,0.000480425,0.000481895,0.000484928,0.000462385,0.000438814,0.000465242,0.000490916,0.000499519,0.000533277,0.000480758,0.000525025,0.000557731,0.000507466,0.000509051,0.00051732,0.000535453,0.000543374,0.000529689,0.000547785,0.000531433,0.000538137,0.000590607,0.000552683,0.000567599,0.000573509,0.000556649,0.000538489,0.000550468,0.000527459,0.000580594,0.000543633,0.000566145,0.000533556,0.000532296,0.000468544
-42.2134,0.000455638,0.000462678,0.000517627,0.000473597,0.000479374,0.000485431,0.000478826,0.000454371,0.000438555,0.000464393,0.000487871,0.000498389,0.000534583,0.000476105,0.000523252,0.000556179,0.000505754,0.00051097,0.000513483,0.000531705,0.000543597,0.000527249,0.000550712,0.000534972,0.000539137,0.000586673,0.000556225,0.000568712,0.00057469,0.000550916,0.000537495,0.000548146,0.000528516,0.000588706,0.00054985,0.000568681,0.00052819,0.000532038,0.000466418
-41.7134,0.00045947,0.000466248,0.000518948,0.000479311,0.000476223,0.000485708,0.000473108,0.000444362,0.000436705,0.000462964,0.000484004,0.000494259,0.000531585,0.00047296,0.000519409,0.000551712,0.000503275,0.000511296,0.000508971,0.000529835,0.000542007,0.000522882,0.000550421,0.000535888,0.000539633,0.000583532,0.000559656,0.000569109,0.000573469,0.00054545,0.00053885,0.000547916,0.000528985,0.000591044,0.000551717,0.00056969,0.000523102,0.000531637,0.000464508
-41.2134,0.000462873,0.000468702,0.000515099,0.000481668,0.000470094,0.000481806,0.000466846,0.000433487,0.00043413,0.000459621,0.000478274,0.000488612,0.000523688,0.000471008,0.000513091,0.00054363,0.000499543,0.000508427,0.000504331,0.000529153,0.000536761,0.000515248,0.000545745,0.0005333,0.000538631,0.000580602,0.000561561,0.000567604,0.000568866,0.000538964,0.000541403,0.000548654,0.00052848,0.000586544,0.000546516,0.000567691,0.000517918,0.00052942,0.000462873
-40.7134,0.000464872,0.000468909,0.00050429,0.000481056,0.000461007,0.000473922,0.000459601,0.000424077,0.000431795,0.000454402,0.000471286,0.000483062,0.00051289,0.00047092,0.000504865,0.000532316,0.000495743,0.000502654,0.000501411,0.000529755,0.0005273,0.00050452,0.000536666,0.000527436,0.000535915,0.000578093,0.000560715,0.000563791,0.000560519,0.00053176,0.000544261,0.00054962,0.000526913,0.000575639,0.00053372,0.000562622,0.000513064,0.000524737,0.00046172
-40.2134,0.000463681,0.0004651,0.000486787,0.000477933,0.000449934,0.000462835,0.000451172,0.000417856,0.000429729,0.000446696,0.000463833,0.000477947,0.000501679,0.000472713,0.000495524,0.000518837,0.00049228,0.000494759,0.000502124,0.000531995,0.000513643,0.000491647,0.000524549,0.000519253,0.000530838,0.000575515,0.000556129,0.000557448,0.000548882,0.000524052,0.000545218,0.000548724,0.00052276,0.000559841,0.000515049,0.00055454,0.00050911,0.00051624,0.000460993
