Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,010_14months_DTI_antsBM,012_10months_DTI_antsBM,012_14months_DTI_antsBM,013_13months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_11months_DTI_antsBM,021_14months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,023_14months_DTI_antsBM,025_10months_DTI_antsBM,025_13months_DTI_antsBM,026_11months_DTI_antsBM,027_11months_DTI_antsBM,028_10months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM,Atlas
-26.477,0.000674282,0.000722036,0.000721664,0.000685671,0.000753223,0.00074928,0.000746951,0.000691055,0.000666489,0.000630987,0.000747972,0.00068183,0.000754676,0.000746264,0.000828574,0.000860302,0.000755722,0.000760678,0.000792414,0.000792295,0.000744013,0.000737696,0.000846407,0.000772276,0.000773204,0.000774591,0.000819153,0.000791298,0.000775483,0.000776381,0.000797461,0.000779649,0.000768767,0.000785034,0.000760115,0.0008423,0.000778597,0.000833907,0.000764148
-25.977,0.000686975,0.00074872,0.000723192,0.000691676,0.00076208,0.000759011,0.000749833,0.000708801,0.000665287,0.000632194,0.00075822,0.000682445,0.000761505,0.000757487,0.000841173,0.000869542,0.000749639,0.000763637,0.000787741,0.000793042,0.000744702,0.000737363,0.0008714,0.000803773,0.000772828,0.000781482,0.00083274,0.00080489,0.000778757,0.000774205,0.000803803,0.00079472,0.000767002,0.000783633,0.000757399,0.000851703,0.000777644,0.000833553,0.000767698
-25.477,0.000702029,0.000771731,0.000725019,0.000699529,0.000772151,0.000768624,0.00075581,0.000728566,0.000666472,0.000636217,0.000770611,0.000686762,0.000768421,0.000770828,0.000856155,0.000882031,0.00075522,0.000775368,0.000789545,0.000798243,0.000745745,0.000740224,0.000906943,0.000842825,0.00077273,0.000787252,0.00083913,0.00082264,0.000783939,0.000775863,0.000814171,0.000811006,0.00076689,0.000784316,0.000757747,0.00085857,0.000779478,0.000831531,0.000771101
-24.977,0.000712064,0.000783338,0.000722676,0.000705401,0.000775134,0.000770915,0.000762738,0.000747572,0.000666804,0.000640632,0.000777862,0.00069539,0.00077154,0.000776132,0.000869585,0.000887248,0.000772572,0.000792492,0.000799119,0.000805648,0.000747225,0.0007448,0.000936108,0.000867394,0.000771564,0.000790464,0.000835317,0.000835575,0.000789413,0.000780496,0.000824642,0.000823195,0.000765561,0.000784198,0.000758799,0.000858061,0.000778664,0.000821552,0.000769072
-24.477,0.000700622,0.000771135,0.000706533,0.000701379,0.000756498,0.000753447,0.000756746,0.000751084,0.000657387,0.000638861,0.000765325,0.000697533,0.000759469,0.000756068,0.000865335,0.000871566,0.000788308,0.000797159,0.000803671,0.000804241,0.000745509,0.00074581,0.000927273,0.000850754,0.00076344,0.000786257,0.000814539,0.000827488,0.000786171,0.000779404,0.000819218,0.000815501,0.000751773,0.000774825,0.000753295,0.000840395,0.000768056,0.00079316,0.000752194
-23.977,0.000670084,0.000741927,0.00068443,0.000697618,0.000727295,0.000727264,0.000737208,0.000745813,0.000649452,0.000637894,0.000742128,0.000690352,0.00074265,0.000724843,0.000846538,0.000849465,0.000786147,0.000788136,0.000808096,0.000798221,0.00074255,0.000745532,0.000888687,0.000809496,0.000755731,0.000781771,0.000795435,0.000807056,0.000787965,0.000786988,0.000804677,0.000804268,0.000735125,0.000761305,0.000745359,0.00081338,0.000762281,0.000770854,0.000726287
-23.477,0.000634762,0.000709095,0.000666775,0.000697748,0.000703685,0.000703463,0.000707712,0.000752215,0.000649157,0.00063995,0.000711309,0.000679559,0.000730591,0.000696822,0.000818462,0.000824699,0.000765758,0.00077408,0.000822386,0.000796344,0.000739146,0.000743444,0.000847258,0.000768572,0.000753324,0.000775871,0.000779383,0.000782633,0.000804287,0.00079048,0.000784233,0.000796917,0.00073609,0.000750123,0.000739213,0.000789661,0.000763766,0.000762597,0.000704221
-22.977,0.000603886,0.000664754,0.00063967,0.000677923,0.000668826,0.000666371,0.000666274,0.000722799,0.000636344,0.000627396,0.000675839,0.000654099,0.000702812,0.000660539,0.000785195,0.000793616,0.000741153,0.000749268,0.000814276,0.00077912,0.000724875,0.000724587,0.00080383,0.000728279,0.00074144,0.000751323,0.000747856,0.000750726,0.000797423,0.000770708,0.000747744,0.000764715,0.000721086,0.000731566,0.000725255,0.000759892,0.000749923,0.000738097,0.000684801
-22.477,0.000580919,0.000622555,0.000613663,0.000652935,0.0006353,0.000629424,0.000630477,0.000681069,0.000617624,0.000609486,0.000647983,0.000627319,0.00067246,0.000627459,0.000758239,0.000769021,0.000719094,0.000725813,0.000791478,0.000757107,0.000710048,0.000704119,0.000767341,0.00069786,0.000728623,0.000721567,0.000718076,0.00072204,0.000779219,0.000745974,0.000713593,0.000731722,0.000698648,0.000714622,0.00071147,0.000735507,0.000730076,0.00071453,0.000672638
-21.977,0.000568127,0.000592436,0.000593911,0.000628958,0.000610398,0.000600183,0.000605323,0.000639767,0.000595988,0.000589668,0.000629194,0.000607188,0.000645874,0.000602378,0.000740772,0.000749709,0.000705509,0.000708147,0.000760326,0.000735639,0.000698176,0.000687172,0.000744054,0.000679881,0.000718281,0.000692544,0.000692425,0.000699679,0.000754621,0.000717872,0.000688344,0.000702518,0.000680334,0.000704755,0.000700669,0.000718698,0.000707948,0.000694254,0.000669336
