Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,010_14months_DTI_antsBM,012_10months_DTI_antsBM,012_14months_DTI_antsBM,013_13months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_11months_DTI_antsBM,021_14months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,023_14months_DTI_antsBM,025_10months_DTI_antsBM,025_13months_DTI_antsBM,026_11months_DTI_antsBM,027_11months_DTI_antsBM,028_10months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM,Atlas
-19.0012,0.000659447,0.000612008,0.000667509,0.00069062,0.00069177,0.00067823,0.000649155,0.000650958,0.000645569,0.000643892,0.000710953,0.000702846,0.000703876,0.000670691,0.000759092,0.000762263,0.000787687,0.000772343,0.000777987,0.000795143,0.000750029,0.000746028,0.000733283,0.000743727,0.000823148,0.0008334,0.000729259,0.000745362,0.000762223,0.000790862,0.000738258,0.000794381,0.00080157,0.000769525,0.000787559,0.000899001,0.00078607,0.000767913,0.000808967
-18.5012,0.000653088,0.000597596,0.000643423,0.000656811,0.000645222,0.000635721,0.000639995,0.000636532,0.000622233,0.000627517,0.000703202,0.00066814,0.000681241,0.000656518,0.000731936,0.000741731,0.000752463,0.000732784,0.000728102,0.000752338,0.000723688,0.000726346,0.000716993,0.000713627,0.000756855,0.000812496,0.000730987,0.000741073,0.000736048,0.000765954,0.000722028,0.000786732,0.000775547,0.000750987,0.000772329,0.000849604,0.000742501,0.000751984,0.000779522
-18.0012,0.000652494,0.000601315,0.000640279,0.000644729,0.000631233,0.000622965,0.000640793,0.000634096,0.000618195,0.000622506,0.000703129,0.000657965,0.000674834,0.000654271,0.000725066,0.000735186,0.000743923,0.000721362,0.000711341,0.000737478,0.000715953,0.000719672,0.000714302,0.000704722,0.000731512,0.000808314,0.000732416,0.000739408,0.000728437,0.000758006,0.000721432,0.000786625,0.000766661,0.000745072,0.000768499,0.000827891,0.000727213,0.000749625,0.000767113
-17.5012,0.000651264,0.000608187,0.000641396,0.000637828,0.000626483,0.000620536,0.000645373,0.000635306,0.00061714,0.000621074,0.000706661,0.000654577,0.000673946,0.000655798,0.000723242,0.000732297,0.000744943,0.000719426,0.000705698,0.000732315,0.000714933,0.000716583,0.00071609,0.000701643,0.000716072,0.000804004,0.000731828,0.000737903,0.00072696,0.000756117,0.000723944,0.000785606,0.000762417,0.000741,0.000767744,0.000811649,0.000720933,0.00075301,0.000761438
-17.0012,0.000652442,0.000621642,0.000652197,0.000644132,0.000638208,0.000632739,0.000660262,0.000644581,0.000626702,0.000632037,0.000723807,0.000668364,0.000687814,0.00066669,0.000735233,0.000736658,0.000770141,0.000740727,0.000725707,0.000753143,0.000727909,0.0007249,0.000730112,0.000715448,0.000721746,0.000808439,0.000729694,0.000739257,0.000737405,0.000769606,0.000737595,0.000789433,0.000774611,0.000744547,0.00078037,0.000811802,0.000736955,0.0007728,0.000777845
-16.5012,0.000654729,0.000622025,0.000655196,0.000647799,0.000641989,0.000638989,0.000662243,0.000644553,0.000628199,0.000635459,0.000728451,0.000672673,0.000690728,0.000665906,0.000738848,0.000739159,0.000775389,0.000745668,0.000735557,0.000762014,0.000734378,0.000729398,0.000733981,0.00072057,0.000730708,0.000811288,0.00072851,0.000742922,0.000740256,0.000769521,0.000740244,0.000787838,0.000775301,0.000746126,0.000782622,0.000812406,0.000742829,0.000773952,0.000782143
-16.0012,0.000656113,0.000618054,0.000651595,0.000646657,0.000637516,0.000639357,0.000654108,0.000638715,0.000619415,0.00063027,0.000718969,0.000666042,0.000680795,0.000658757,0.000736103,0.000739988,0.000765101,0.000733582,0.000728834,0.000752765,0.000733003,0.000729826,0.000727132,0.000713341,0.000733228,0.000807826,0.000727298,0.000744374,0.000737468,0.000763554,0.000732137,0.00078122,0.000765298,0.000744808,0.000774751,0.000806023,0.000733689,0.000762685,0.000769614
-15.5012,0.000654547,0.000615936,0.000645078,0.000641987,0.000630049,0.000635018,0.000644129,0.000631848,0.000607795,0.000620668,0.000702984,0.00065583,0.000666939,0.000650846,0.000730766,0.000739878,0.000749602,0.000713998,0.000713702,0.00073545,0.00072702,0.000726186,0.000714727,0.000698997,0.000727854,0.000799229,0.00072432,0.000740555,0.000732483,0.000756596,0.000721458,0.000772735,0.000751212,0.000741871,0.000760922,0.000796107,0.000717805,0.000748439,0.000749508
-15.0012,0.000649951,0.000616053,0.000637992,0.00063259,0.000622244,0.000628587,0.000633393,0.000623492,0.000596558,0.000607178,0.000684214,0.000645115,0.000651432,0.000641092,0.000722397,0.000737614,0.000731472,0.000690929,0.000694177,0.000714182,0.000717745,0.000716706,0.000698542,0.000679608,0.000718434,0.000786828,0.000718574,0.000731146,0.00072699,0.000748048,0.000710252,0.00076223,0.000733174,0.00073567,0.00074076,0.000782979,0.00069906,0.000734081,0.000724071
-14.5012,0.000641314,0.000616562,0.000630236,0.000618617,0.000619812,0.000623376,0.00062444,0.00061506,0.000588222,0.000591709,0.000665697,0.000636884,0.000639938,0.000630965,0.000711855,0.000731561,0.000714705,0.000670411,0.000676298,0.000694353,0.000707263,0.000701574,0.000682293,0.000660968,0.000709739,0.00077057,0.000707061,0.000713552,0.000723224,0.000739512,0.000701792,0.000750863,0.000714433,0.000725737,0.000718182,0.000768751,0.000681698,0.000722255,0.000697986
