Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,010_14months_DTI_antsBM,012_10months_DTI_antsBM,012_14months_DTI_antsBM,013_13months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_11months_DTI_antsBM,021_14months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,023_14months_DTI_antsBM,025_10months_DTI_antsBM,025_13months_DTI_antsBM,026_11months_DTI_antsBM,027_11months_DTI_antsBM,028_10months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM,Atlas
-28.7101,0.000720788,0.000722562,0.000753677,0.000729066,0.000795903,0.00076626,0.000660773,0.000681668,0.000808084,0.000729332,0.000730968,0.000755158,0.000745317,0.000893291,0.00121722,0.00108712,0.00113123,0.00105838,0.0010046,0.000887212,0.000888936,0.000859037,0.000883615,0.000835572,0.000901812,0.000734457,0.000783861,0.000817334,0.000848192,0.000843115,0.000825826,0.000858795,0.00101449,0.000792413,0.000874251,0.000850184,0.000832436,0.000965808,0.000806904
-28.2101,0.000701192,0.000708839,0.000731416,0.000723295,0.000769994,0.000753987,0.000651064,0.00066596,0.000784771,0.000718653,0.000710503,0.000731546,0.000733505,0.000854994,0.0011403,0.00101911,0.00108239,0.00101581,0.000958303,0.000867009,0.00084469,0.00082305,0.00085309,0.000801458,0.000873697,0.000723123,0.000765116,0.000801678,0.000831915,0.000805297,0.000800899,0.000829174,0.000976454,0.000767645,0.000847501,0.000828745,0.000814769,0.000918279,0.00078224
-27.7101,0.000682316,0.000688958,0.00070674,0.00071432,0.000742794,0.000737473,0.000635712,0.00064613,0.000766406,0.000712241,0.000696259,0.000715186,0.000723471,0.00082273,0.0010656,0.000952949,0.00103719,0.00098007,0.00091689,0.000850189,0.00080654,0.000789734,0.000824927,0.000770148,0.000844778,0.000715384,0.000750768,0.000783934,0.000816928,0.000773871,0.000779026,0.000800069,0.000938929,0.000750892,0.000824377,0.000809945,0.000798937,0.000879717,0.000760592
-27.2101,0.00065657,0.000659352,0.000673458,0.000698989,0.000707808,0.000710648,0.000613272,0.000620423,0.000742981,0.000703101,0.00067719,0.000700047,0.000710403,0.000782436,0.000971973,0.000871973,0.000980038,0.000937795,0.000865027,0.000828145,0.000760227,0.000747133,0.000788961,0.000731042,0.000805637,0.000705839,0.00073477,0.000759606,0.000795717,0.00073937,0.000751779,0.000762949,0.000890626,0.000732656,0.000793013,0.000785319,0.000777159,0.000833775,0.000732994
-26.7101,0.000630203,0.000623534,0.000636699,0.000677964,0.000671419,0.000675291,0.00058709,0.000593246,0.000720648,0.000695116,0.000657635,0.000693456,0.000697234,0.000747825,0.000880315,0.000795707,0.000923638,0.000898657,0.000817985,0.000805197,0.000718348,0.000705151,0.00075417,0.000693814,0.000763416,0.000698671,0.00072197,0.000734395,0.00076913,0.000716287,0.000726833,0.000726913,0.00084268,0.000718447,0.000759807,0.000761437,0.000754862,0.000793925,0.000706096
-26.2101,0.000611379,0.000595415,0.00060786,0.000658553,0.000645561,0.000641024,0.000569464,0.000573869,0.00070463,0.000689709,0.000641034,0.000698799,0.000688655,0.000727503,0.000818493,0.000746794,0.00088637,0.000872352,0.00078713,0.000786478,0.000690018,0.000674985,0.000730952,0.000669101,0.000731422,0.000697381,0.00071425,0.000718304,0.000744519,0.000709787,0.000711167,0.000703777,0.000807842,0.000709389,0.000733446,0.000746081,0.000739426,0.000770819,0.000686495
-25.7101,0.000604572,0.000580008,0.000590397,0.000646466,0.00063192,0.000613899,0.000563881,0.00056356,0.000693329,0.000686908,0.000629299,0.000711353,0.000685773,0.00072127,0.000785469,0.000722366,0.000869683,0.000857102,0.000770734,0.000773577,0.000673923,0.000658038,0.000720598,0.000657894,0.000713222,0.000702128,0.00070953,0.0007148,0.000726623,0.000711472,0.000704788,0.000694967,0.000788151,0.000703348,0.00071669,0.000740357,0.000732072,0.000763108,0.00067494
-25.2101,0.000609951,0.000574505,0.000583337,0.000643728,0.000628278,0.000596692,0.000567054,0.000561474,0.000686533,0.000688011,0.000625358,0.000727428,0.000689996,0.000727532,0.000776384,0.000716459,0.000868856,0.000851578,0.000766985,0.000768694,0.000669309,0.000654917,0.000722798,0.000659063,0.00070829,0.000713046,0.000707149,0.000723048,0.000717005,0.000714738,0.000706289,0.000698939,0.000783138,0.000702989,0.000711214,0.000742223,0.000732937,0.000767024,0.000671156
-24.7101,0.000623742,0.000574682,0.000584432,0.000649446,0.00063143,0.000590937,0.000574695,0.00056797,0.000683053,0.000692544,0.000630147,0.000745116,0.000701214,0.000743373,0.000784401,0.000723642,0.000878843,0.00085394,0.000775045,0.000774517,0.000674595,0.000663654,0.00073449,0.000669412,0.000713737,0.000727883,0.000707904,0.000738813,0.000716571,0.000718707,0.000713269,0.000711852,0.000791344,0.000711207,0.000717152,0.000747878,0.000738734,0.000778406,0.000674248
-24.2101,0.000640312,0.000576441,0.000590449,0.000659235,0.000637368,0.000595619,0.000582789,0.000582085,0.000680838,0.000698441,0.000640448,0.000762184,0.000716364,0.000763578,0.000799168,0.00073733,0.00089249,0.000860142,0.000793054,0.00079044,0.000685527,0.000678329,0.000750022,0.000682809,0.000723865,0.000743392,0.000712293,0.000755925,0.000721566,0.000727661,0.000722659,0.000727191,0.000807706,0.000726415,0.000729982,0.00075338,0.000744711,0.000792796,0.000681545
-23.7101,0.000654658,0.000579471,0.000599249,0.000669492,0.000644582,0.000607301,0.000590712,0.000600823,0.000680096,0.000705051,0.00065278,0.000778716,0.000732789,0.000784239,0.000814256,0.000753094,0.000906676,0.000867332,0.000819676,0.000814507,0.000698656,0.000693144,0.000766054,0.00069562,0.000734939,0.000758731,0.000720843,0.000769952,0.000727982,0.000746884,0.000733079,0.000740396,0.000827188,0.000743443,0.000744909,0.000759455,0.000750112,0.000809531,0.000690899
-23.2101,0.000665552,0.000585632,0.00061044,0.000679924,0.000654459,0.000622726,0.000600287,0.00062146,0.00068034,0.000712372,0.000665515,0.000795798,0.000748356,0.000804124,0.000825512,0.000767179,0.000919381,0.000875416,0.000851128,0.000842888,0.000711482,0.000704063,0.000781301,0.000707434,0.000745112,0.00077437,0.000732126,0.000779196,0.000734213,0.000776631,0.000744272,0.000750536,0.000846352,0.000757839,0.00075768,0.000768595,0.000757596,0.00083159,0.00070112
-22.7101,0.000674138,0.000595941,0.00062389,0.000692843,0.000668659,0.000640297,0.000613411,0.000642771,0.000681119,0.000720656,0.000678657,0.00081269,0.000761699,0.000822393,0.000832357,0.000777703,0.000928287,0.000885143,0.000882763,0.000870698,0.000722785,0.000710651,0.000796102,0.000719467,0.000754599,0.000789946,0.000743505,0.000784087,0.000739867,0.000812102,0.000756724,0.00076022,0.000864756,0.000767264,0.000765268,0.00078083,0.000770179,0.000861948,0.000711366
-22.2101,0.000684203,0.000611919,0.00064017,0.000713389,0.000689178,0.000661937,0.000633747,0.000666471,0.000684019,0.000732161,0.000695242,0.000828833,0.000774588,0.000842016,0.000839882,0.000786994,0.000935441,0.000898336,0.000914407,0.000896175,0.000734008,0.000716576,0.00081196,0.000733981,0.000766051,0.000805093,0.000753798,0.000786318,0.00074767,0.0008468,0.000773378,0.000774509,0.000885645,0.000774819,0.000770615,0.000794777,0.000789478,0.000902093,0.000722628
-21.7101,0.000697099,0.00063446,0.000659486,0.00074266,0.000714418,0.000687899,0.000664378,0.000693288,0.000691586,0.000747519,0.000714585,0.000844004,0.000788996,0.000862743,0.000851879,0.000797143,0.000943529,0.000915081,0.00094565,0.000918681,0.000746015,0.000724536,0.000827629,0.000749777,0.000781264,0.000818534,0.000763091,0.000787971,0.000759487,0.000876653,0.000795912,0.000795264,0.000908914,0.000784536,0.000778451,0.0008088,0.000811778,0.000948855,0.000735557
-21.2101,0.000713412,0.000664326,0.00068316,0.000777904,0.000741733,0.000716553,0.000706033,0.000724283,0.00070742,0.000766907,0.000734629,0.000859401,0.000807414,0.000883372,0.000869732,0.00081098,0.000957663,0.000936119,0.000977709,0.000941828,0.000760581,0.000736246,0.000841898,0.000766246,0.00080221,0.000830679,0.000773366,0.000792072,0.000774628,0.000902722,0.000826078,0.000822328,0.000932901,0.000798458,0.0007927,0.000824422,0.000833179,0.000999062,0.000750922
-20.7101,0.000733902,0.00070089,0.000713288,0.000814908,0.000771546,0.000748224,0.000758024,0.000761531,0.00073379,0.000791028,0.000754089,0.000874654,0.00083147,0.000903319,0.000893041,0.000830315,0.000980231,0.000962301,0.00100934,0.00096768,0.000779346,0.000752759,0.00085437,0.000783993,0.000829479,0.000843611,0.000786095,0.000800426,0.000790856,0.000926054,0.000863061,0.000855092,0.000956603,0.000816202,0.00081397,0.000844486,0.000852627,0.00104723,0.000769003
-20.2101,0.000759111,0.000739809,0.000749995,0.000847727,0.000802668,0.00078168,0.000814302,0.000805008,0.000768416,0.000819107,0.000773665,0.00088843,0.000858653,0.000922458,0.000918257,0.000852872,0.00100866,0.000991638,0.0010364,0.000994868,0.000802161,0.000773549,0.000865838,0.000803191,0.000861422,0.000859825,0.000800999,0.000812224,0.000805586,0.000947625,0.00090299,0.00089171,0.000980883,0.000835131,0.000839796,0.000869449,0.000871543,0.00108378,0.000788614
