Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,010_14months_DTI_antsBM,012_10months_DTI_antsBM,012_14months_DTI_antsBM,013_13months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_11months_DTI_antsBM,021_14months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,023_14months_DTI_antsBM,025_10months_DTI_antsBM,025_13months_DTI_antsBM,026_11months_DTI_antsBM,027_11months_DTI_antsBM,028_10months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM,Atlas
-19.028,0.000774622,0.000743098,0.00102356,0.000807774,0.000795035,0.000820214,0.00087844,0.000751577,0.000722973,0.000694736,0.000907151,0.000757194,0.000756524,0.000829175,0.000920479,0.000819196,0.000901954,0.000769679,0.000737336,0.000969691,0.000867334,0.000890793,0.000763156,0.000840821,0.000771252,0.000807822,0.000766905,0.000845542,0.000897407,0.000943022,0.000835779,0.000918081,0.000801457,0.000620871,0.000937906,0.000924551,0.000793571,0.000767324,0.000596248
-18.528,0.000715592,0.000757846,0.00093232,0.000781556,0.000745775,0.000763912,0.000867419,0.000738943,0.000697833,0.00066805,0.000874264,0.000727597,0.000739181,0.000785305,0.000852057,0.000818619,0.000880182,0.000759067,0.000803904,0.000926171,0.000844916,0.000841211,0.000733911,0.000788977,0.00076462,0.000778229,0.000744486,0.000812829,0.000839122,0.000896076,0.000792551,0.000856357,0.000780526,0.000685519,0.000898085,0.000879526,0.000758457,0.000731035,0.000645896
-18.028,0.000665279,0.000734269,0.000846778,0.000738585,0.000708147,0.000717739,0.000823335,0.000715627,0.00067498,0.000641019,0.000828681,0.000697047,0.000710654,0.000753693,0.000797028,0.000797955,0.000845959,0.000732475,0.000824996,0.000887446,0.000806054,0.000794894,0.000711846,0.000746911,0.000752475,0.000749793,0.000727785,0.000786359,0.000790204,0.000837366,0.000750744,0.000802981,0.000752284,0.000721506,0.000862398,0.000833507,0.000728516,0.000704527,0.000667217
-17.528,0.000622425,0.000703436,0.000766516,0.000689347,0.000678501,0.000680651,0.00076609,0.000686362,0.000651442,0.000614795,0.000777625,0.000670087,0.000677292,0.000726885,0.000751586,0.00077106,0.000801554,0.000699007,0.000826676,0.000848408,0.000767828,0.000751668,0.000693289,0.000710502,0.000739,0.000723005,0.000715369,0.000764802,0.000746037,0.000774861,0.000711326,0.000754514,0.000720052,0.00075212,0.000825645,0.000786048,0.000699477,0.000681322,0.00068083
-17.028,0.000598048,0.000666595,0.000698349,0.000644148,0.000665742,0.000661478,0.000705115,0.000656489,0.000630926,0.000597989,0.000726229,0.00065657,0.000652736,0.000708096,0.000723379,0.000744708,0.000763442,0.00067235,0.000808441,0.000811693,0.000736708,0.000720931,0.000681773,0.000685359,0.000728381,0.000707711,0.000716266,0.000756273,0.00071513,0.00072329,0.000684458,0.000721737,0.000698115,0.000776398,0.00079241,0.000745827,0.000680285,0.000671015,0.000687052
-16.528,0.000605825,0.000640021,0.000654633,0.000632087,0.00067427,0.000664517,0.000653834,0.000625668,0.000614586,0.000605083,0.000679591,0.000669288,0.000659514,0.000696367,0.000718068,0.000726863,0.000736742,0.000667712,0.000772698,0.000777419,0.000729653,0.000711646,0.000680503,0.00067508,0.000728326,0.000712981,0.000737543,0.000768618,0.00071114,0.000708397,0.000682583,0.000715693,0.000699118,0.000794281,0.000762969,0.000712905,0.00067371,0.000692179,0.00069479
-16.028,0.000626283,0.000636979,0.000645491,0.000662506,0.000689435,0.000673236,0.000639315,0.000613526,0.000609599,0.000627834,0.000654948,0.000692785,0.000689691,0.000691123,0.000724481,0.000726283,0.000727866,0.000685909,0.000743527,0.000757661,0.000739889,0.000716554,0.000683267,0.000675657,0.000735705,0.000730981,0.000756858,0.000783622,0.000725055,0.000730598,0.000699922,0.00073041,0.000714653,0.000790567,0.00074821,0.000699007,0.000676836,0.00072464,0.000703157
-15.528,0.000629857,0.000634138,0.000642175,0.000679623,0.000689746,0.000672765,0.000636026,0.000610275,0.000606998,0.000637775,0.00064198,0.000699313,0.000704241,0.000683,0.000723339,0.000726456,0.000720104,0.000696577,0.000728219,0.000748012,0.000741999,0.000712636,0.000680962,0.000671413,0.000734774,0.000738963,0.000757679,0.000782914,0.000728202,0.000741152,0.000708895,0.000737371,0.000718434,0.000775615,0.000740815,0.000693968,0.00067649,0.000737382,0.000704245
-15.028,0.000622694,0.000625245,0.000634968,0.000676265,0.00067979,0.000669023,0.000629748,0.000606309,0.00060343,0.000636315,0.000631089,0.000693579,0.000703863,0.000671617,0.000715313,0.000721462,0.000708525,0.000696226,0.000717646,0.000739818,0.000736555,0.000700671,0.000674586,0.000661963,0.000725753,0.000738155,0.000748472,0.000773182,0.000720503,0.000735944,0.000709855,0.000735449,0.000710584,0.000759348,0.000732755,0.000690358,0.000673057,0.000737346,0.000699873
-14.528,0.000611797,0.00061315,0.000625829,0.000660448,0.00066572,0.000665429,0.000622165,0.000601251,0.00059974,0.000629852,0.000621868,0.000682635,0.000695937,0.000657885,0.000704294,0.000713243,0.000696698,0.000690224,0.000708256,0.000730451,0.000728104,0.000686886,0.00066703,0.000650083,0.000712156,0.000733618,0.000735903,0.000761176,0.00070837,0.00072474,0.000707975,0.00072969,0.000698274,0.000744271,0.000723265,0.000687745,0.000668796,0.000731305,0.000692372
