Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,010_14months_DTI_antsBM,012_10months_DTI_antsBM,012_14months_DTI_antsBM,013_13months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_11months_DTI_antsBM,021_14months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,023_14months_DTI_antsBM,025_10months_DTI_antsBM,025_13months_DTI_antsBM,026_11months_DTI_antsBM,027_11months_DTI_antsBM,028_10months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM,Atlas
-30.2452,0.000758583,0.000809481,0.000697845,0.000773531,0.0008203,0.000853854,0.000890106,0.000872226,0.000667634,0.000818506,0.000864581,0.000980152,0.000739485,0.0008767,0.000992292,0.000944278,0.000837601,0.000633046,0.000783729,0.000825892,0.00102543,0.000855875,0.000750508,0.000786872,0.000859341,0.000834821,0.000783899,0.000843098,0.000868753,0.000811134,0.000851004,0.000908502,0.000931999,0.000866974,0.000851461,0.000870092,0.000780846,0.000855721,0.000704142
-29.7452,0.000741003,0.00077319,0.00068076,0.000735858,0.000755853,0.000798803,0.000817926,0.000807431,0.000653013,0.000739059,0.000850768,0.000884497,0.00068563,0.000796275,0.000892826,0.000883898,0.000790185,0.000520853,0.000775166,0.000788169,0.000839184,0.000801759,0.000721777,0.000731156,0.000772786,0.000799585,0.000778377,0.000805323,0.000846222,0.000773048,0.00080441,0.000834706,0.000859413,0.000839459,0.000792908,0.000780158,0.000743381,0.000813979,0.000635653
-29.2452,0.00069677,0.000734001,0.000660671,0.0007174,0.000703557,0.000743313,0.000763537,0.000758148,0.000636124,0.000689961,0.00080277,0.000813629,0.000690487,0.000743233,0.000830566,0.000835523,0.000779853,0.00050326,0.000777099,0.000773553,0.00072659,0.000776627,0.000720721,0.000719604,0.000739036,0.000766254,0.000767633,0.000775481,0.000823489,0.000751363,0.000770859,0.000799542,0.000817914,0.000835489,0.000782303,0.000743452,0.000717297,0.000799758,0.00059282
-28.7452,0.000679104,0.000708273,0.000652455,0.000702202,0.000673237,0.00070681,0.000724939,0.000720144,0.000631655,0.000666219,0.000766349,0.000767015,0.000704765,0.000714161,0.000791249,0.000790675,0.000798321,0.000521987,0.00077016,0.000769258,0.00069791,0.000771586,0.00071559,0.000716048,0.000725083,0.000752078,0.000756469,0.000750524,0.000801323,0.000752979,0.000748369,0.000777809,0.000802812,0.000815833,0.000790213,0.000744937,0.000701327,0.000795904,0.00058068
-28.2452,0.00066764,0.00068854,0.000646621,0.000686857,0.000654166,0.000679977,0.000695176,0.000691148,0.00062788,0.000647782,0.000735784,0.000735622,0.000714291,0.000695601,0.000765342,0.000756119,0.000806754,0.000539462,0.000754631,0.000761869,0.00070011,0.000764219,0.000707824,0.000706254,0.000713128,0.000750716,0.000746941,0.00073326,0.000783181,0.00075429,0.000732778,0.000761021,0.000793141,0.000795205,0.000788379,0.000751086,0.00068718,0.000789357,0.000593467
-27.7452,0.000658092,0.000674311,0.000643888,0.000671993,0.000643408,0.000661847,0.000671584,0.000666666,0.000622542,0.000635912,0.000708496,0.000712889,0.000721052,0.000683236,0.000747312,0.000728342,0.000807766,0.000579167,0.000735702,0.000752416,0.000717777,0.000756183,0.000700142,0.000695882,0.000705544,0.000754204,0.000736469,0.000721641,0.000768447,0.000748947,0.000722867,0.000748612,0.000787521,0.00077239,0.000780831,0.000760063,0.00067168,0.00077764,0.000615565
-27.2452,0.000653888,0.000664325,0.000644382,0.000656254,0.000642397,0.000653739,0.000655542,0.000649052,0.000616472,0.000627936,0.000691021,0.000699428,0.000718896,0.000674206,0.000734305,0.000709269,0.000797415,0.000621147,0.000713612,0.000738381,0.000735424,0.000742356,0.000690625,0.000682446,0.000696706,0.000759943,0.000727798,0.000714888,0.000755506,0.000747469,0.000714597,0.000737702,0.000780623,0.000747414,0.000764862,0.000764866,0.000657117,0.00075958,0.000642375
-26.7452,0.000647823,0.000657189,0.000645485,0.000642416,0.000645293,0.000651291,0.00064574,0.000637809,0.000609674,0.000620752,0.000679252,0.000689584,0.00071059,0.00066443,0.000725092,0.00070041,0.000775737,0.000657053,0.000695649,0.000721221,0.000735741,0.000723506,0.00068433,0.000671509,0.000686178,0.000762797,0.000721362,0.000712825,0.000744804,0.000740586,0.000706329,0.000728524,0.000768873,0.000728263,0.000742965,0.000760747,0.00064427,0.00073876,0.000662132
-26.2452,0.000643272,0.000654467,0.000646496,0.000633273,0.000649882,0.000652962,0.00064283,0.000631974,0.000607502,0.000616989,0.000672785,0.000681296,0.000701725,0.000654935,0.000721285,0.000699774,0.000756755,0.000684831,0.000686473,0.000707344,0.000725057,0.000708646,0.000683453,0.00066889,0.000678713,0.000761279,0.000719037,0.000714527,0.000736149,0.000736243,0.000698562,0.000721815,0.000756328,0.00071493,0.000726846,0.000755523,0.000637316,0.000722641,0.000670309
-25.7452,0.000639933,0.000652957,0.00064471,0.000627501,0.000652423,0.000654691,0.000644403,0.000628874,0.00061034,0.000614349,0.000666838,0.000672985,0.000692599,0.000646263,0.000723883,0.000704911,0.000741406,0.000692061,0.000681398,0.000696663,0.000715596,0.000698557,0.000685984,0.000670911,0.000674191,0.000757226,0.000720633,0.000717794,0.000728882,0.000737252,0.000691989,0.00071596,0.000743679,0.000707261,0.000716325,0.000750908,0.000636319,0.000713053,0.000674528
