Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,010_14months_DTI_antsBM,012_10months_DTI_antsBM,012_14months_DTI_antsBM,013_13months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_11months_DTI_antsBM,021_14months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,023_14months_DTI_antsBM,025_10months_DTI_antsBM,025_13months_DTI_antsBM,026_11months_DTI_antsBM,027_11months_DTI_antsBM,028_10months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM,Atlas
-14.3111,0.000329459,0.000894013,0.00101705,0.000664582,0.00158574,0.00177136,0.000411843,0.000512696,0.000364647,0.000157956,0.000468198,0.000515559,0.000413967,0.000500603,0.00109891,0.00129656,0.00109962,0.00105893,0.00121639,0.00083205,0.000478195,0.000613565,0.000276025,0.000848761,0.000638488,0.000569742,0.00112028,0.000195047,0.000693654,0.00124659,0.000715584,0.000441413,0.00110367,0.00113941,0.00141083,0.00132593,0.000443465,0.00087763,5.5488e-06
-13.8111,0.000510938,0.00100626,0.000990316,0.000679733,0.00165738,0.00174819,0.000513584,0.000577011,0.000353926,0.000349985,0.00069147,0.000672443,0.000544355,0.000611713,0.00102896,0.00130141,0.00111316,0.00107817,0.00127263,0.00105243,0.000554553,0.000701684,0.000311055,0.000959393,0.000853481,0.000585325,0.00120435,0.00035473,0.000954515,0.00124535,0.000727482,0.000535236,0.00111092,0.0011991,0.00143134,0.00144651,0.000600148,0.000961659,1.02976e-05
-13.3111,0.000722787,0.00110367,0.0011059,0.0008395,0.00179376,0.00179633,0.000695978,0.000729824,0.00045952,0.000624257,0.00100338,0.000936133,0.000774789,0.000757513,0.00109145,0.0013734,0.00111943,0.00118887,0.00141875,0.00135989,0.000724418,0.000853086,0.000409485,0.00112714,0.00115603,0.000667573,0.00135126,0.000427915,0.00120998,0.00126098,0.000879871,0.000767294,0.00125248,0.00131829,0.00153481,0.00165121,0.00077852,0.00115451,2.42864e-05
-12.8111,0.000936137,0.00120516,0.00126771,0.0010177,0.0019025,0.00184316,0.000869696,0.000893641,0.000567804,0.000900983,0.00127554,0.00122683,0.000987369,0.000950765,0.00116006,0.00146551,0.00114787,0.00132483,0.0015772,0.00161299,0.000919705,0.000967302,0.000572145,0.00125662,0.00146902,0.000776076,0.00147467,0.000419081,0.00142399,0.00115114,0.00108505,0.00105481,0.00140896,0.00139046,0.00161411,0.00182132,0.000906564,0.00131331,5.87899e-05
-12.3111,0.0011451,0.00130518,0.00143358,0.00116767,0.00197117,0.00187407,0.00102564,0.00106318,0.000602182,0.00115702,0.00149101,0.00148798,0.00121425,0.00116818,0.00121496,0.00155313,0.00115316,0.00145424,0.00172848,0.00182538,0.00111835,0.0010724,0.000783763,0.00131538,0.00176171,0.000936246,0.00158178,0.000448925,0.0016199,0.00094826,0.0013152,0.00137241,0.00155016,0.00138371,0.00158055,0.00195009,0.00106399,0.00147433,0.000123695
-11.8111,0.00135969,0.00140001,0.00161418,0.00129902,0.00200169,0.00188659,0.00117232,0.00125205,0.000596147,0.00141523,0.00165498,0.0017071,0.00147533,0.00141792,0.0012932,0.00164603,0.00120102,0.00158538,0.00183986,0.00200431,0.00132253,0.00118132,0.00104071,0.00132066,0.00202947,0.00113529,0.00168145,0.000555286,0.00179374,0.000792886,0.00157249,0.00171174,0.00169791,0.00124469,0.00146171,0.00202604,0.00125367,0.00162963,0.000232398
-11.3111,0.00149732,0.00145405,0.00172669,0.00129826,0.00194641,0.00184711,0.00119739,0.00137104,0.000524687,0.00156412,0.00168172,0.00176472,0.00164686,0.00162531,0.00130053,0.00168216,0.0012686,0.00165501,0.00180662,0.002045,0.00143869,0.00124554,0.0012524,0.00128933,0.00213162,0.00131271,0.00171293,0.000660398,0.00185212,0.000792352,0.00175207,0.00191534,0.00176221,0.00101012,0.00132014,0.00196801,0.00141828,0.00167804,0.000362803
-10.8111,0.00153856,0.00144426,0.00173493,0.00117974,0.00183131,0.00176022,0.00113817,0.0013964,0.000436617,0.0015883,0.00161658,0.00167469,0.00170072,0.00173229,0.00121015,0.00164468,0.00135895,0.0016551,0.00169085,0.00197794,0.00143566,0.0012726,0.0013566,0.00125788,0.0020455,0.00141267,0.00167872,0.000786769,0.00179496,0.000981205,0.00180434,0.00192499,0.0017327,0.000862032,0.00121465,0.0018095,0.00154932,0.00163147,0.000480532
-10.3111,0.00151952,0.00138564,0.00167627,0.00105382,0.00169393,0.00165036,0.00107583,0.00134914,0.000467529,0.00153458,0.00153608,0.00154787,0.00163707,0.00174528,0.00111697,0.00155535,0.00146501,0.00161809,0.00155421,0.00186385,0.00135751,0.00126737,0.00135645,0.0012655,0.00185299,0.0014161,0.00159224,0.000913452,0.00165567,0.0012433,0.0017435,0.00178094,0.00164565,0.000869039,0.00121476,0.00162266,0.0015979,0.00150583,0.000573045
-9.81114,0.00147328,0.00129853,0.00158659,0.000982501,0.00154864,0.00153306,0.00104741,0.00126807,0.000609531,0.00143232,0.0014769,0.00145081,0.00149699,0.00169394,0.000974416,0.00144477,0.00150435,0.00155339,0.00149216,0.00174795,0.0012594,0.00124473,0.00129473,0.00126563,0.00164051,0.00136791,0.00147443,0.000997406,0.00149187,0.0013753,0.0016065,0.00157359,0.00153213,0.00100255,0.00124783,0.0014555,0.00156416,0.00136024,0.000661052
