Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,010_14months_DTI_antsBM,012_10months_DTI_antsBM,012_14months_DTI_antsBM,013_13months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_11months_DTI_antsBM,021_14months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,023_14months_DTI_antsBM,025_10months_DTI_antsBM,025_13months_DTI_antsBM,026_11months_DTI_antsBM,027_11months_DTI_antsBM,028_10months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM,Atlas
-26.8123,0.00090995,0.000841695,0.000873566,0.000870586,0.000959257,0.000910756,0.000932906,0.000869845,0.000730018,0.000869691,0.000835349,0.00086304,0.000928851,0.00113794,0.000913441,0.000901638,0.00108159,0.00104741,0.000928523,0.000882681,0.000809068,0.000856629,0.000905015,0.000800505,0.00090112,0.000920739,0.000869041,0.000841903,0.000880084,0.000925761,0.000961247,0.000989193,0.000947025,0.000769662,0.000774396,0.000915266,0.000952948,0.000921006,0.0008389
-26.3123,0.000845133,0.000778758,0.000808913,0.000810547,0.000885495,0.000832525,0.000851269,0.000802283,0.000690489,0.00082371,0.000788222,0.000815379,0.000859062,0.00103361,0.000874254,0.000860476,0.00101316,0.000975517,0.000882667,0.000848775,0.000781776,0.00081932,0.000854357,0.00075829,0.000858665,0.000876395,0.00082678,0.000818701,0.000848624,0.000865126,0.000900242,0.000931394,0.000903747,0.000765007,0.000766021,0.000859566,0.000899351,0.000869529,0.000795243
-25.8123,0.000775654,0.000726366,0.000764842,0.000755638,0.000801026,0.00076735,0.000774355,0.000749367,0.00067317,0.0007793,0.000765726,0.000780686,0.000803192,0.000910354,0.000870451,0.000848342,0.000938344,0.000901943,0.000834002,0.000824701,0.000764156,0.000791752,0.000824829,0.000753688,0.000810443,0.000835445,0.000806752,0.000809975,0.00082476,0.0008158,0.00084332,0.000872192,0.000861276,0.000791215,0.000781174,0.000838236,0.00085153,0.000827344,0.000771971
-25.3123,0.000710812,0.000674764,0.000716331,0.000709272,0.00073364,0.000714039,0.000706721,0.000696909,0.000664367,0.000727115,0.000731221,0.000730741,0.00074895,0.000791032,0.000823831,0.000808713,0.00085234,0.000821056,0.00078594,0.000785881,0.000737854,0.000758799,0.00078797,0.000737848,0.000767208,0.00079628,0.000769391,0.000781093,0.000787434,0.00077133,0.000790419,0.000814254,0.000793867,0.000783187,0.00076595,0.000805273,0.000793949,0.000783729,0.000755911
-24.8123,0.000671969,0.000650158,0.000688249,0.0006885,0.00069852,0.000689531,0.000676186,0.000668234,0.00066418,0.000690983,0.000711885,0.000705416,0.000724785,0.000723298,0.000783265,0.000777922,0.000793648,0.000768101,0.000760437,0.000758658,0.000722928,0.000743581,0.00076381,0.000730945,0.000747725,0.000777223,0.000749385,0.000770094,0.000764964,0.000752944,0.000762069,0.000783853,0.00075034,0.000771506,0.000747745,0.000783486,0.000758983,0.000757778,0.000749021
-24.3123,0.000644786,0.000642041,0.000671817,0.000681442,0.000680585,0.000677529,0.000669159,0.000655626,0.000662516,0.000666548,0.000702605,0.000701267,0.000722326,0.000695254,0.000752607,0.000759798,0.000756135,0.00073456,0.000755033,0.000749696,0.000720114,0.000736841,0.000754145,0.000730804,0.000745472,0.000771257,0.000741506,0.000776914,0.000757554,0.00074967,0.000752668,0.000773951,0.000729485,0.000766096,0.000735798,0.000769991,0.000746084,0.000745608,0.000742211
-23.8123,0.000629453,0.000639903,0.000661718,0.000679475,0.000676909,0.000679781,0.000672308,0.000656115,0.00065516,0.00065691,0.00069882,0.000712556,0.000730151,0.000691666,0.000739967,0.000758934,0.000729441,0.000716751,0.000760909,0.000755274,0.000727366,0.00073358,0.000759137,0.00073973,0.000756395,0.000776103,0.000742961,0.000793015,0.000761822,0.000756772,0.000757867,0.000778305,0.000731389,0.000770456,0.000735117,0.000770267,0.000749866,0.000743753,0.000731748
-23.3123,0.000629633,0.000643954,0.000660302,0.0006768,0.000686298,0.000691346,0.000676942,0.000660573,0.000648317,0.000660902,0.000701497,0.000725458,0.000739667,0.000695169,0.000745875,0.000764616,0.000724434,0.000717962,0.000770189,0.000763847,0.000739324,0.000734368,0.000772228,0.000750509,0.000767704,0.000784514,0.000747818,0.000806884,0.000773286,0.00076728,0.00076906,0.000786761,0.000746141,0.000779908,0.000741429,0.000777212,0.000756503,0.000749353,0.000732264
-22.8123,0.00063771,0.000647105,0.000662804,0.000670932,0.000695383,0.000700389,0.000677159,0.000661169,0.000640618,0.000663365,0.000702728,0.000731801,0.00074267,0.000697906,0.000757141,0.000764059,0.000732743,0.00072877,0.000772736,0.000766479,0.000747891,0.000733156,0.000783215,0.000752222,0.000769267,0.00078742,0.000748174,0.000811872,0.000781636,0.00076975,0.000774866,0.000789789,0.000756631,0.000783644,0.000744424,0.000782372,0.000757588,0.00075139,0.000736898
-22.3123,0.000641106,0.00064304,0.000660458,0.000657892,0.000695879,0.00069876,0.000666598,0.000652343,0.000628759,0.000653342,0.00069663,0.000725794,0.000731284,0.000691293,0.00075994,0.000751398,0.000737197,0.000734636,0.000761586,0.000757586,0.000747226,0.000725011,0.000782685,0.000738139,0.000756465,0.000779663,0.000739255,0.000802358,0.00077873,0.000759107,0.00076839,0.000780936,0.000751178,0.000773907,0.000734104,0.000777643,0.00074547,0.000742265,0.0007403
