Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,010_14months_DTI_antsBM,012_10months_DTI_antsBM,012_14months_DTI_antsBM,013_13months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_11months_DTI_antsBM,021_14months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,023_14months_DTI_antsBM,025_10months_DTI_antsBM,025_13months_DTI_antsBM,026_11months_DTI_antsBM,027_11months_DTI_antsBM,028_10months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM,Atlas
-13.997,0.000567842,0.000566172,0.000559662,0.000559392,0.000621087,0.000584758,0.000565222,0.00054193,0.000546988,0.00056759,0.000561925,0.000576458,0.000622941,0.000655297,0.000646071,0.000663116,0.000645378,0.000672828,0.000677906,0.000672894,0.000668468,0.000647455,0.00066341,0.000586334,0.000743759,0.000661419,0.000686512,0.000703385,0.000658835,0.000682055,0.000640824,0.000675786,0.000648328,0.000720706,0.000671072,0.000694238,0.000645268,0.000681052,0.000669824
-13.497,0.000546731,0.000561638,0.000550698,0.000545647,0.000580581,0.000566018,0.000552745,0.000533122,0.000544418,0.000564635,0.000573519,0.000573623,0.000607825,0.000633095,0.000623287,0.000639494,0.000645997,0.000666866,0.000658034,0.000667836,0.000643592,0.000613067,0.000640488,0.000586087,0.000708461,0.000662071,0.000676372,0.000675751,0.000650347,0.000655338,0.000644113,0.000679254,0.000641945,0.000708858,0.000664507,0.000675024,0.000641931,0.000675016,0.000653222
-12.997,0.00054154,0.000560389,0.000553349,0.000544594,0.000559282,0.000555377,0.000552856,0.000533391,0.0005516,0.000565129,0.000584915,0.000576112,0.000608532,0.000619065,0.000617282,0.000631633,0.000654162,0.000665669,0.000654557,0.000669869,0.00063295,0.000600374,0.000636309,0.000594486,0.000694363,0.000667945,0.000668577,0.00066295,0.000646223,0.00064541,0.000651727,0.000688127,0.00064983,0.000701554,0.000669008,0.000669154,0.000642391,0.000676947,0.000644248
-12.497,0.000543561,0.000559128,0.000560869,0.000548618,0.000548361,0.000548041,0.000555737,0.000537052,0.000559339,0.000565739,0.000595047,0.000578043,0.000610428,0.000604941,0.000618093,0.000634856,0.000663713,0.00066472,0.000654039,0.000670917,0.000632,0.000603415,0.000639869,0.000603863,0.000683635,0.000675841,0.000662073,0.000658074,0.000641207,0.000639779,0.000658145,0.000694182,0.00065858,0.000696779,0.000676009,0.000670617,0.000643261,0.000679511,0.000637498
-11.997,0.000551866,0.000558054,0.000573797,0.000557697,0.00055078,0.000548433,0.000562353,0.000548853,0.000564856,0.000568336,0.000601935,0.000582019,0.000616958,0.000597899,0.000627422,0.000650079,0.000672454,0.000664646,0.000657789,0.000671777,0.000643676,0.000622484,0.000650952,0.000610184,0.000681158,0.000685845,0.000657754,0.000662396,0.000639695,0.000641532,0.000662639,0.000694937,0.000667035,0.00069681,0.000683329,0.000679941,0.000646114,0.000681951,0.000634006
-11.497,0.000558588,0.000556083,0.000583647,0.000566798,0.00055721,0.000550513,0.000570999,0.000561039,0.000561588,0.000569561,0.000604252,0.000585248,0.000622632,0.000594672,0.000638089,0.000667362,0.000673919,0.000661227,0.000662257,0.000669227,0.000658487,0.000643489,0.000660088,0.000608011,0.000681631,0.000692851,0.000655186,0.000667931,0.000641004,0.00064657,0.000662788,0.000685333,0.000667401,0.000696252,0.000681899,0.000686274,0.000648005,0.000679551,0.000629995
-10.997,0.000555949,0.000551263,0.000581697,0.000570141,0.000557777,0.000551733,0.000574517,0.000565084,0.00054922,0.000564934,0.000600545,0.000586124,0.000621855,0.000588779,0.000641572,0.000675465,0.000670582,0.000651499,0.000660491,0.000661413,0.000665573,0.000649871,0.000656911,0.000598322,0.000679401,0.000692862,0.000650018,0.000665206,0.000643322,0.000651416,0.000658135,0.0006696,0.000659562,0.000691118,0.000668841,0.000680479,0.000645082,0.000670358,0.000622304
-10.497,0.000547946,0.000547421,0.00057375,0.000566783,0.000553605,0.00055141,0.000574189,0.000561624,0.000538193,0.000557032,0.000594363,0.000589534,0.00061714,0.000583424,0.0006372,0.000672404,0.000668096,0.000641824,0.000654967,0.000653063,0.000663717,0.000645107,0.000646571,0.000589927,0.000675548,0.000691539,0.000640543,0.000656097,0.000647326,0.000652592,0.00064967,0.000658024,0.000651981,0.000685045,0.000653911,0.0006689,0.000640273,0.000661884,0.0006137
-9.99704,0.000544811,0.000551957,0.000572432,0.000567339,0.00055556,0.000559046,0.000579245,0.000562626,0.000535628,0.000553336,0.000592539,0.000597798,0.000616824,0.000583191,0.000634778,0.000669869,0.000670651,0.000639366,0.000655619,0.00065113,0.000660969,0.000642897,0.000640636,0.00058778,0.000676055,0.000694002,0.000635149,0.000653697,0.000653963,0.000655325,0.000643756,0.000655086,0.000649756,0.000683924,0.000645976,0.000662018,0.000642039,0.000660032,0.000608208
-9.49704,0.00054438,0.000559396,0.00057371,0.000568534,0.000560115,0.000568543,0.000583659,0.000565175,0.000536435,0.000549735,0.000591654,0.000604869,0.000617426,0.000582821,0.000633416,0.000668908,0.00067379,0.000639229,0.000659465,0.000652758,0.000658298,0.000643278,0.000639624,0.000589042,0.000677521,0.000698101,0.0006326,0.000655375,0.000659932,0.000657825,0.000638342,0.000655407,0.000650673,0.000685472,0.000642621,0.000658433,0.000647005,0.000661753,0.000603949
