Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,010_14months_DTI_antsBM,012_10months_DTI_antsBM,012_14months_DTI_antsBM,013_13months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_11months_DTI_antsBM,021_14months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,023_14months_DTI_antsBM,025_10months_DTI_antsBM,025_13months_DTI_antsBM,026_11months_DTI_antsBM,027_11months_DTI_antsBM,028_10months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM,Atlas
-12.5745,0.000535795,0.000581253,0.000588905,0.000587442,0.000581215,0.000578676,0.000582887,0.00054292,0.000544967,0.000528225,0.00061645,0.000573703,0.000610272,0.00056666,0.000652285,0.000697304,0.000698921,0.000667411,0.000666044,0.000675512,0.000681543,0.000652041,0.00068119,0.000604648,0.00065797,0.000687067,0.00065804,0.000635581,0.000701306,0.000649549,0.000640214,0.000676275,0.000663479,0.000658874,0.000640786,0.000699655,0.00066897,0.00067972,0.000655414
-12.0745,0.000562813,0.000591422,0.000612413,0.000591326,0.000630101,0.000643116,0.000620948,0.000596628,0.000559989,0.000543246,0.000650279,0.000565237,0.000643119,0.000608974,0.000693645,0.000728252,0.000746941,0.000674973,0.000708224,0.000714006,0.000716651,0.000686935,0.000713442,0.000646066,0.00069274,0.000714486,0.00068552,0.000678955,0.00072322,0.000698171,0.000670553,0.000714156,0.000692054,0.000722281,0.000679015,0.00074651,0.000686435,0.00067907,0.000674962
-11.5745,0.000590157,0.000602581,0.000624141,0.000596113,0.000657193,0.000673681,0.000639894,0.000629401,0.00056483,0.00056077,0.000658054,0.000563635,0.000647917,0.000627559,0.000704021,0.000729896,0.000756787,0.000694562,0.000728,0.000731145,0.000728399,0.000687403,0.000717691,0.000661232,0.000712051,0.000722967,0.000682348,0.000694769,0.000730711,0.000710226,0.000675958,0.000728092,0.000709205,0.000746268,0.000681916,0.000752415,0.000700968,0.000690446,0.000674741
-11.0745,0.000599595,0.000600022,0.000621229,0.000596697,0.000648128,0.000670419,0.000640845,0.000640476,0.000563921,0.000566427,0.000649106,0.000564682,0.000642329,0.000628045,0.000693157,0.000718092,0.000744901,0.000697234,0.000723698,0.000725662,0.00072341,0.00067482,0.000703306,0.000655478,0.000715352,0.000718979,0.000667277,0.000691451,0.000720635,0.000703362,0.000668223,0.000719746,0.000705605,0.000745825,0.000668989,0.000739552,0.000698967,0.000692043,0.000664287
-10.5745,0.000600068,0.000593316,0.000612308,0.000594337,0.00062671,0.000656712,0.000632836,0.000640666,0.000562683,0.000567762,0.00063535,0.000571445,0.000634875,0.000621039,0.000676132,0.000703476,0.000725402,0.000691508,0.000711077,0.00071342,0.000712897,0.000659589,0.000683604,0.000644247,0.000713085,0.000709875,0.000652605,0.000687701,0.000705173,0.000690238,0.000657587,0.000705003,0.000693313,0.000734478,0.000657302,0.000721839,0.000686894,0.000685651,0.000652798
-10.0745,0.000593237,0.000583826,0.000598336,0.00058812,0.000598314,0.000637302,0.00061533,0.000630235,0.000557878,0.000566428,0.000617597,0.000580734,0.000623651,0.000607206,0.000655402,0.0006878,0.000697989,0.000678558,0.000693216,0.000697587,0.000697703,0.000641877,0.000659075,0.000630174,0.000705785,0.000696947,0.000640288,0.000680989,0.000687458,0.000672475,0.000643185,0.000686169,0.000675612,0.000715143,0.000644513,0.000697807,0.000670427,0.00067155,0.000638835
-9.57454,0.000574644,0.000569363,0.000579461,0.000575233,0.000562324,0.000608973,0.000589444,0.000606576,0.000545273,0.000558596,0.000594819,0.000586449,0.000609757,0.000587127,0.000635958,0.00067366,0.000662525,0.000656793,0.000670269,0.000678346,0.000679922,0.00062523,0.000632799,0.000613946,0.000690939,0.000681824,0.000631658,0.000668199,0.000669112,0.000650604,0.000625987,0.000664005,0.000652622,0.000690551,0.000630767,0.000666312,0.000650649,0.000648569,0.000623893
-9.07454,0.000548794,0.00055159,0.000558507,0.000555048,0.000529503,0.000578391,0.000563911,0.000573801,0.000525251,0.000544045,0.000571295,0.000582325,0.000594388,0.000569233,0.000624552,0.000661562,0.000626072,0.000632706,0.000649133,0.000660698,0.000665146,0.000614794,0.000611234,0.000599554,0.000669067,0.000668125,0.000625414,0.000652973,0.000655004,0.000630145,0.000609042,0.000643256,0.00062858,0.00066818,0.000617606,0.000633421,0.000632208,0.000624221,0.000609727
-8.57454,0.000521585,0.000529522,0.000537242,0.000529668,0.000506804,0.000547296,0.000549143,0.000538809,0.000502961,0.00052441,0.00055008,0.000570353,0.000581156,0.000562318,0.00062066,0.00064593,0.00059192,0.000610638,0.000635082,0.000645474,0.000656585,0.000612663,0.000597131,0.000588131,0.000645107,0.000656759,0.000614368,0.00063842,0.000649358,0.000616618,0.00059315,0.000625561,0.000602725,0.000655125,0.000606186,0.00060837,0.000612961,0.000610272,0.000596196
-8.07454,0.000509245,0.00051272,0.000524306,0.000511967,0.000505064,0.000527694,0.000560285,0.000517917,0.000497109,0.000508107,0.000546215,0.000565183,0.000580521,0.000576956,0.000626452,0.000631745,0.000573263,0.000602033,0.000639336,0.000640014,0.000660106,0.000625629,0.000597548,0.000586218,0.000630573,0.000651063,0.000600903,0.000635217,0.000662676,0.000620203,0.000590114,0.000619808,0.000584604,0.000663475,0.000607461,0.000612783,0.000596026,0.000618461,0.000588613
-7.57454,0.000523121,0.000514184,0.000533243,0.000515519,0.000533317,0.000533882,0.000604102,0.000529745,0.000523209,0.000512262,0.00057707,0.000587612,0.000602564,0.000618179,0.000649932,0.000636575,0.000584187,0.000614933,0.000675574,0.000654484,0.000681549,0.00065769,0.000622444,0.000607473,0.000642469,0.000656401,0.000598185,0.000654235,0.000707857,0.000649702,0.000611921,0.000641149,0.000586863,0.00070237,0.000633109,0.000659303,0.000590247,0.000654591,0.000593019
