Arc_length vs Data,001_16months_DTI_antsBM,001_20months_DTI_antsBM,001_24months_DTI_antsBM,001_28months_DTI_antsBM,002_16months_DTI_antsBM,002_20months_DTI_antsBM,002_24months_DTI_antsBM,002_28months_DTI_antsBM,004_16months_DTI_antsBM,004_20months_DTI_antsBM,004_24months_DTI_antsBM,004_28months_DTI_antsBM,004_32months_DTI_antsBM,005_20months_DTI_antsBM,005_24months_DTI_antsBM,005_28months_DTI_antsBM,005_32months_DTI_antsBM,005_36months_DTI_antsBM,006_20months_DTI_antsBM,006_24months_DTI_antsBM,006_28months_DTI_antsBM,006_32months_DTI_antsBM,006_36months_DTI_antsBM,007_16months_DTI_antsBM,007_20months_DTI_antsBM,007_24months_DTI_antsBM,008_16months_DTI_antsBM,008_20months_DTI_antsBM,008_24months_DTI_antsBM,010_18months_DTI_antsBM,010_22months_DTI_antsBM,011_16months_DTI_antsBM,011_20months_DTI_antsBM,011_24months_DTI_antsBM,011_28months_DTI_antsBM,011_32months_DTI_antsBM,012_18months_DTI_antsBM,012_22months_DTI_antsBM,013_17months_DTI_antsBM,013_21months_DTI_antsBM,014_17months_DTI_antsBM,014_21months_DTI_antsBM,016_16months_DTI_antsBM,016_20months_DTI_antsBM,017_15months_DTI_antsBM,017_19months_DTI_antsBM,018_15months_DTI_antsBM,018_19months_DTI_antsBM,019_16months_DTI_antsBM,019_20months_DTI_antsBM,026_15months_DTI_antsBM,026_19months_DTI_antsBM,027_15months_DTI_antsBM,027_19months_DTI_antsBM,029_16months_DTI_antsBM,029_20months_DTI_antsBM,030_16months_DTI_antsBM,030_20months_DTI_antsBM,Atlas
-20.6662,0.000859636,0.000842329,0.000872225,0.000811402,0.000996571,0.000862411,0.000933426,0.00102347,0.000903589,0.000776786,0.000853329,0.000887277,0.000896307,0.000809222,0.000880741,0.00092215,0.000787707,0.00085085,0.000833322,0.000667784,0.000842151,0.000618571,0.000729167,0.00101323,0.000929486,0.000946081,0.000923628,0.00085636,0.0008272,0.000946904,0.000827961,0.000893522,0.000822615,0.000888778,0.000868893,0.00091459,0.000854402,0.000801634,0.000861775,0.000823783,0.000908884,0.000972352,0.00083102,0.000975049,0.000774877,0.000751114,0.000818322,0.000972953,0.000844717,0.00093086,0.000769555,0.000925228,0.000975301,0.000975035,0.000963557,0.00087057,0.00116441,0.00105091,0.000704619
-20.1662,0.000801758,0.000787746,0.000803688,0.000749754,0.000927638,0.000821173,0.000905915,0.00095917,0.00079395,0.000720257,0.000804172,0.000841694,0.000842356,0.000751707,0.000823151,0.00085455,0.000740122,0.000765707,0.000830993,0.000704605,0.000857572,0.000681121,0.000737292,0.00093916,0.00086012,0.000882847,0.000880485,0.000831239,0.000807189,0.000865007,0.000763011,0.00082705,0.000755918,0.000797119,0.000767662,0.000838524,0.000796712,0.000673697,0.000757845,0.000822007,0.00086768,0.000915969,0.000802058,0.000929978,0.000758762,0.00068053,0.000769783,0.000905719,0.000815769,0.000838352,0.000729554,0.000885504,0.000903791,0.000910237,0.000928573,0.000837806,0.00104183,0.000962965,0.000599895
-19.6662,0.00076285,0.000749179,0.000750736,0.000707238,0.000866414,0.000794321,0.000871747,0.000902177,0.000716944,0.000681156,0.000768109,0.000799931,0.000796462,0.000710598,0.000780071,0.000810519,0.000705013,0.000728227,0.000809987,0.000729567,0.00083561,0.000728035,0.000738082,0.000879927,0.000791186,0.000833909,0.000849177,0.000807134,0.000786734,0.000819568,0.00072991,0.000776124,0.000714423,0.000728065,0.000670584,0.000776642,0.000756327,0.000593757,0.000692038,0.000810481,0.000823696,0.000871467,0.000774623,0.000890211,0.000747332,0.000641272,0.000734349,0.000845721,0.000805236,0.000813529,0.000713398,0.000852475,0.000847506,0.000854817,0.000895678,0.000821222,0.000959827,0.000885749,0.000521209
-19.1662,0.00073744,0.000722604,0.000718095,0.000685322,0.000831455,0.000784842,0.000842504,0.00086419,0.000703643,0.00067744,0.000748825,0.00077328,0.000765758,0.000683575,0.000753779,0.000783312,0.000690246,0.000715402,0.000779579,0.000717521,0.000794296,0.00074846,0.000726691,0.000835547,0.000747458,0.000797194,0.00082211,0.000782291,0.00076604,0.000772631,0.000723774,0.000746131,0.000699011,0.000702885,0.000619311,0.000751134,0.000743021,0.000546212,0.000666857,0.000771125,0.000787511,0.000834073,0.000749176,0.000852311,0.000745627,0.000645344,0.000709777,0.000809427,0.000796152,0.000830361,0.000714071,0.000825674,0.000805763,0.000814385,0.000869664,0.000778769,0.00086854,0.00081293,0.000491329
-18.6662,0.000714394,0.000712993,0.000700828,0.00068258,0.000797062,0.000763116,0.000797531,0.000820964,0.000714636,0.000684526,0.000737102,0.000744895,0.000736401,0.000662594,0.000734744,0.000758676,0.000682784,0.000710773,0.000748913,0.000703605,0.000744634,0.000745278,0.000705737,0.000793005,0.000716216,0.000758692,0.000792238,0.000752074,0.00075384,0.000731562,0.000723845,0.000723063,0.000693793,0.000699961,0.000585336,0.000744935,0.000741431,0.00053879,0.000675436,0.000726892,0.000753196,0.000805026,0.000728428,0.00081636,0.000754679,0.000651308,0.00068884,0.000791694,0.000783886,0.000826221,0.000727841,0.000807021,0.000773429,0.000790333,0.00083143,0.000696835,0.000752687,0.000771706,0.00047218
-18.1662,0.000693742,0.000703182,0.000684232,0.0006769,0.000769134,0.000740513,0.000760307,0.000785073,0.00071952,0.000683116,0.000723636,0.000723467,0.000711504,0.000644384,0.000713257,0.000735427,0.000670275,0.000699458,0.000723877,0.00069064,0.000703269,0.000730598,0.00068523,0.000755495,0.000691992,0.000723991,0.000761996,0.000722581,0.000738375,0.000716848,0.000721149,0.000704679,0.00068805,0.00069988,0.000591327,0.000744974,0.000731766,0.000565439,0.000691071,0.000703702,0.000723455,0.000781644,0.000709287,0.000779552,0.000747629,0.000674636,0.000669311,0.000777306,0.000770508,0.000818635,0.000730188,0.000787363,0.000752935,0.000770735,0.000805764,0.000663217,0.000690264,0.000757076,0.000495383
-17.6662,0.000676389,0.000690358,0.000667038,0.0006659,0.000746481,0.000718839,0.000729834,0.000752559,0.000716706,0.00067653,0.000707859,0.00070445,0.000689687,0.00062772,0.000691914,0.000711736,0.000655682,0.000682624,0.000701757,0.000685259,0.000668332,0.000708377,0.000665099,0.000723525,0.000672467,0.000694264,0.000733461,0.000696398,0.000719411,0.000710597,0.000714621,0.000690106,0.000680628,0.000695928,0.000614343,0.000742683,0.000716958,0.000596239,0.000705751,0.0006962,0.000698438,0.0007599,0.000692833,0.000744731,0.000733138,0.000702528,0.000652297,0.000765359,0.000755753,0.00080588,0.00072258,0.000766054,0.000738167,0.000752845,0.00078598,0.000660895,0.00065073,0.000751367,0.000536559
-17.1662,0.000661423,0.000674854,0.000649443,0.000651188,0.000725762,0.000697321,0.000703632,0.000719671,0.000705331,0.000665224,0.000689164,0.00068572,0.000668862,0.000611834,0.000671293,0.000687237,0.000639061,0.000662417,0.000681907,0.000684064,0.000638979,0.000681848,0.000645527,0.000695275,0.000655478,0.000668355,0.000707036,0.000674205,0.000698806,0.000710023,0.000703087,0.000677603,0.000670779,0.000685377,0.000638112,0.00073441,0.000698223,0.000629859,0.000718771,0.000703894,0.000676811,0.000740306,0.000679041,0.000713977,0.000715099,0.000716144,0.000639342,0.000754048,0.000740645,0.000785938,0.000707131,0.000745013,0.000726219,0.000736389,0.000767808,0.00067685,0.000638409,0.000749932,0.000580555
-16.6662,0.000647166,0.000653341,0.000629504,0.000631275,0.000707433,0.000678993,0.000682516,0.000686629,0.000688111,0.000651928,0.000666977,0.000668458,0.000649201,0.000595046,0.000650654,0.000661405,0.000620643,0.000639431,0.000661063,0.000676214,0.000611879,0.000651807,0.000625414,0.000669359,0.000640324,0.000646166,0.000682393,0.000655851,0.000675298,0.000707971,0.000687102,0.000666036,0.000657886,0.000668131,0.000657884,0.000719798,0.000676843,0.000657548,0.000723411,0.000718371,0.00065736,0.000721181,0.000665531,0.000686721,0.000694239,0.000718249,0.00063014,0.000741281,0.000724319,0.000764834,0.00068489,0.000723054,0.000714213,0.000719771,0.000751902,0.000703987,0.000667775,0.000743662,0.000624702
-16.1662,0.000634904,0.00063193,0.000612721,0.000613093,0.000691954,0.000663693,0.000663957,0.000656865,0.000673451,0.000642027,0.000645969,0.000653382,0.000633508,0.000579697,0.000634379,0.000638086,0.000604918,0.000619521,0.000640546,0.000659765,0.000590247,0.000622754,0.000606391,0.000648308,0.000629567,0.000630054,0.000663549,0.000643261,0.00065573,0.000698899,0.000669792,0.000655774,0.000644116,0.00064955,0.000658592,0.000702651,0.000660772,0.000667755,0.000720349,0.000730757,0.000641748,0.000705925,0.000654834,0.000669512,0.000679943,0.000707129,0.00062638,0.000730516,0.000708379,0.000741978,0.000664708,0.000706655,0.000701962,0.000708601,0.00073615,0.000715103,0.000712038,0.000732773,0.000651962
