Arc_length vs Data,001_16months_DTI_antsBM,001_20months_DTI_antsBM,001_24months_DTI_antsBM,001_28months_DTI_antsBM,002_16months_DTI_antsBM,002_20months_DTI_antsBM,002_24months_DTI_antsBM,002_28months_DTI_antsBM,004_16months_DTI_antsBM,004_20months_DTI_antsBM,004_24months_DTI_antsBM,004_28months_DTI_antsBM,004_32months_DTI_antsBM,005_20months_DTI_antsBM,005_24months_DTI_antsBM,005_28months_DTI_antsBM,005_32months_DTI_antsBM,005_36months_DTI_antsBM,006_20months_DTI_antsBM,006_24months_DTI_antsBM,006_28months_DTI_antsBM,006_32months_DTI_antsBM,006_36months_DTI_antsBM,007_16months_DTI_antsBM,007_20months_DTI_antsBM,007_24months_DTI_antsBM,008_16months_DTI_antsBM,008_20months_DTI_antsBM,008_24months_DTI_antsBM,010_18months_DTI_antsBM,010_22months_DTI_antsBM,011_16months_DTI_antsBM,011_20months_DTI_antsBM,011_24months_DTI_antsBM,011_28months_DTI_antsBM,011_32months_DTI_antsBM,012_18months_DTI_antsBM,012_22months_DTI_antsBM,013_17months_DTI_antsBM,013_21months_DTI_antsBM,014_17months_DTI_antsBM,014_21months_DTI_antsBM,016_16months_DTI_antsBM,016_20months_DTI_antsBM,017_15months_DTI_antsBM,017_19months_DTI_antsBM,018_15months_DTI_antsBM,018_19months_DTI_antsBM,019_16months_DTI_antsBM,019_20months_DTI_antsBM,026_15months_DTI_antsBM,026_19months_DTI_antsBM,027_15months_DTI_antsBM,027_19months_DTI_antsBM,029_16months_DTI_antsBM,029_20months_DTI_antsBM,030_16months_DTI_antsBM,030_20months_DTI_antsBM,Atlas
-25.4913,0.000557208,0.000558254,0.00053525,0.000526095,0.000563343,0.00055202,0.000531315,0.000518295,0.000609918,0.000559204,0.000523391,0.000574101,0.000549337,0.000512775,0.000558085,0.000587336,0.000545468,0.000584647,0.000539393,0.000557561,0.000563831,0.000535723,0.000587243,0.000552819,0.000554101,0.000552049,0.000546199,0.000535734,0.000536251,0.000568006,0.000563586,0.000535063,0.000526614,0.000548616,0.000560621,0.000574194,0.000537598,0.000534448,0.000567319,0.000580565,0.000576672,0.000613082,0.000576731,0.000596134,0.000597975,0.000635498,0.000549146,0.000673918,0.000626477,0.000629347,0.000619078,0.000649536,0.000604315,0.000611649,0.000632478,0.00061789,0.00066001,0.000640899,0.000594332
-24.9913,0.000546366,0.00053555,0.000523054,0.000511919,0.000537879,0.000542902,0.000519085,0.00050211,0.000582595,0.00055853,0.00051742,0.000570764,0.000537572,0.000502157,0.000541492,0.00056039,0.00052963,0.000558262,0.000516435,0.000541904,0.000537108,0.000522867,0.000562828,0.000544325,0.000537658,0.000538959,0.000541201,0.000517368,0.000517565,0.000549575,0.000548206,0.000521979,0.000507465,0.000534644,0.000546022,0.000560815,0.000517238,0.000517262,0.000546364,0.000570634,0.000556871,0.000590347,0.000566423,0.000578082,0.00056868,0.000620561,0.000538428,0.000649169,0.000604776,0.000603886,0.000594718,0.000632338,0.00059688,0.000598982,0.000618933,0.000599621,0.00065155,0.000628669,0.000583792
-24.4913,0.000515806,0.000498977,0.000501779,0.000480646,0.000500378,0.000509457,0.000496916,0.000475482,0.000539204,0.000536739,0.000504134,0.000552666,0.00051355,0.000482789,0.000514706,0.000519362,0.000500854,0.000519144,0.000485184,0.00051605,0.00049459,0.000495331,0.000523365,0.000522852,0.000508389,0.000509227,0.000522573,0.000483337,0.0004849,0.000524165,0.000520841,0.000498633,0.000480995,0.000512792,0.000514893,0.000537725,0.000484918,0.00049177,0.000514516,0.000550471,0.000524043,0.00056046,0.00052892,0.00054657,0.000529551,0.000590132,0.000516872,0.000615334,0.000569158,0.000569259,0.000562547,0.0006009,0.000578614,0.000581944,0.000597668,0.000574955,0.000625749,0.000596785,0.00056378
-23.9913,0.000476847,0.000462484,0.0004767,0.000444873,0.000465019,0.000467401,0.000466703,0.000445097,0.000494664,0.00050471,0.000485838,0.000527941,0.000481713,0.000459465,0.000484365,0.000477309,0.000468053,0.000479207,0.000453973,0.000489527,0.000452061,0.000463502,0.000479666,0.000496085,0.000475189,0.000472948,0.000498717,0.000446368,0.000450854,0.00049477,0.000491734,0.00047307,0.000452128,0.00048767,0.000474863,0.000511417,0.000452,0.000463535,0.00048109,0.00052507,0.000489199,0.000530135,0.000481244,0.000511277,0.000490416,0.000557044,0.000491139,0.000581616,0.000531321,0.000532052,0.000532269,0.000566964,0.000553214,0.00056349,0.000575576,0.000550796,0.000592154,0.000556145,0.000538459
-23.4913,0.000448008,0.000442455,0.000457157,0.000422694,0.00044335,0.000437708,0.000443464,0.000421186,0.000465188,0.000480327,0.000475159,0.00050981,0.000458555,0.000444511,0.000463383,0.000451664,0.000446509,0.000453705,0.000434113,0.000471175,0.000422757,0.00044117,0.000447992,0.000476674,0.000450479,0.000449032,0.000483899,0.000426229,0.000432951,0.000475564,0.000471955,0.000460113,0.000429204,0.000464951,0.000443334,0.000493235,0.000433547,0.000446215,0.000459986,0.000507536,0.000465185,0.000511226,0.000446108,0.000489034,0.000464742,0.000534608,0.000473137,0.000558802,0.00050565,0.000505972,0.000515621,0.000543197,0.000536355,0.000551712,0.000561235,0.000535673,0.000571089,0.000529194,0.000522874
-22.9913,0.000428612,0.000435888,0.000441512,0.000412485,0.000430518,0.000418863,0.000424747,0.000402342,0.000448179,0.000462665,0.000467202,0.000494719,0.000442644,0.000434572,0.00044824,0.000439123,0.000434315,0.000438866,0.000422702,0.000457563,0.000403482,0.000425603,0.000425973,0.000463307,0.000431463,0.00043422,0.000473991,0.000419073,0.000427701,0.000463303,0.000459142,0.000455528,0.00041154,0.000445263,0.000420642,0.000480099,0.000427412,0.000437188,0.000448235,0.000495334,0.00045016,0.000500125,0.000421631,0.000475712,0.000449424,0.000519399,0.000461482,0.000545497,0.00048998,0.000488617,0.000509067,0.00052962,0.000526347,0.000544183,0.000552326,0.000525775,0.000558626,0.000512519,0.000514325
-22.4913,0.000415855,0.000437271,0.000428507,0.000410741,0.000421057,0.000407656,0.000407991,0.000387881,0.000437719,0.000452294,0.000457839,0.000480063,0.000430087,0.000426655,0.000436204,0.000435127,0.000427955,0.000429624,0.000415362,0.000444497,0.000389109,0.000413378,0.000410571,0.000453432,0.000415318,0.000425008,0.000464876,0.000418382,0.000430189,0.000453583,0.000449906,0.000453277,0.000398253,0.000427384,0.000406282,0.000469512,0.000429883,0.000431351,0.000441424,0.000485079,0.00044155,0.000492579,0.000406317,0.000465845,0.000439236,0.000507582,0.000453694,0.000538221,0.000480954,0.000475615,0.000506746,0.000524832,0.000520789,0.000537696,0.000547549,0.000516141,0.000550808,0.000502062,0.000509379
-21.9913,0.000406538,0.000439463,0.000416237,0.000412987,0.000409812,0.000400633,0.000392806,0.000376231,0.000428985,0.000448086,0.000445239,0.00046407,0.000419333,0.000418735,0.000426417,0.000435464,0.000424898,0.000422229,0.000409723,0.000429812,0.000376663,0.000401265,0.000398863,0.000443958,0.000400358,0.000418277,0.000451986,0.000418863,0.000435716,0.000443681,0.000440742,0.00044767,0.000389433,0.000411387,0.000399359,0.000461147,0.000436572,0.000423957,0.000435435,0.0004748,0.000435826,0.000485379,0.00039766,0.000456457,0.000429356,0.000495088,0.000447771,0.000532794,0.000475261,0.000465431,0.000502268,0.000524928,0.000517509,0.000529867,0.00054438,0.000503998,0.000544454,0.000495698,0.00050551
-21.4913,0.000396088,0.000432627,0.000402699,0.000408855,0.000393432,0.000391342,0.000378349,0.000366611,0.000417981,0.000443136,0.000427762,0.000445579,0.000407569,0.000407588,0.000416375,0.00043199,0.000419302,0.000411765,0.000401725,0.000413889,0.000364445,0.000386251,0.000386216,0.000430527,0.00038471,0.000409133,0.000430435,0.000411054,0.000434877,0.000430668,0.000427758,0.000431234,0.000384258,0.000399967,0.000395154,0.000453175,0.000437213,0.000408681,0.000425301,0.000463185,0.000428713,0.000474065,0.000389986,0.000442942,0.000417142,0.000479084,0.000439567,0.000523965,0.000469215,0.000456912,0.00048767,0.0005242,0.000511353,0.000519385,0.000539269,0.000488791,0.000532335,0.000487578,0.000497053
-20.9913,0.000381629,0.000416678,0.000387627,0.000393402,0.00037483,0.000377383,0.000366099,0.000358259,0.000404775,0.000432109,0.000411493,0.000428292,0.000395328,0.000395015,0.000405418,0.000421927,0.000409256,0.000398226,0.000390588,0.000400264,0.000353233,0.000369912,0.000371699,0.000412649,0.000369251,0.000397952,0.000403617,0.000395102,0.000425653,0.000415487,0.000411836,0.000407688,0.000379556,0.000392585,0.000387448,0.000445303,0.000427188,0.000386449,0.000411694,0.000453198,0.000418708,0.000459481,0.000381052,0.000427417,0.000404427,0.000461652,0.000427171,0.000509165,0.000462951,0.000449897,0.000463958,0.000517842,0.000502281,0.000507983,0.000531434,0.000475007,0.000516563,0.000478315,0.000483876
-20.4913,0.000365451,0.000398495,0.000373218,0.000369036,0.000357557,0.000360289,0.000355315,0.000350196,0.0003921,0.000413419,0.00039956,0.000412448,0.000384295,0.000382372,0.000392622,0.000406187,0.000395674,0.00038291,0.00037731,0.0003902,0.000342644,0.000354513,0.000355181,0.00039275,0.000355212,0.000386679,0.000376724,0.000376911,0.000410419,0.000399857,0.000395352,0.000385048,0.000370764,0.000386851,0.000372182,0.000436595,0.000407407,0.000364016,0.000397103,0.000446684,0.000405538,0.00044408,0.000370469,0.000413294,0.000393943,0.000445209,0.000411664,0.000490343,0.000458005,0.000443589,0.000438039,0.000504697,0.000492598,0.000497865,0.000520878,0.000466603,0.000501461,0.000468949,0.000468612
-19.9913,0.000351782,0.000384974,0.000364304,0.000343311,0.000344527,0.000344378,0.000345307,0.000345364,0.000383168,0.000392397,0.000389829,0.000397021,0.000375499,0.000370036,0.000378781,0.000388081,0.000381082,0.00036767,0.000363091,0.00038224,0.00033099,0.000343403,0.000339849,0.00037554,0.000345217,0.000377338,0.000355046,0.000361529,0.000392396,0.000385005,0.0003816,0.000366824,0.000357679,0.000380957,0.000352828,0.000426559,0.000383222,0.000348714,0.000385232,0.00044358,0.000391062,0.000431104,0.000359871,0.000403605,0.000388623,0.000432133,0.000396468,0.000473118,0.00045503,0.000436635,0.000418243,0.00048882,0.000485265,0.00048955,0.000510085,0.00046226,0.000490498,0.000459389,0.000454205
-19.4913,0.000344375,0.000377336,0.000364111,0.000325508,0.000338356,0.000333918,0.000337822,0.00034521,0.000379923,0.000378596,0.000380356,0.000383522,0.000370224,0.000358047,0.000368199,0.000372687,0.000369925,0.000356063,0.000351324,0.000374802,0.000319478,0.000338738,0.000330618,0.000366415,0.000342819,0.000371474,0.000342022,0.000352274,0.000375771,0.000371106,0.000372673,0.000351766,0.000345472,0.000376494,0.000338978,0.000418971,0.000362356,0.000343663,0.000378249,0.000441494,0.000378322,0.000423613,0.000352675,0.000401523,0.000388483,0.000424012,0.000385936,0.000462562,0.00045333,0.000430709,0.000408898,0.000473696,0.000480961,0.000482755,0.000502579,0.000458929,0.000484884,0.00045047,0.000443103
-18.9913,0.000345544,0.00037436,0.000370758,0.00032191,0.000341807,0.000331494,0.000337458,0.000350371,0.00038508,0.000377461,0.000373757,0.000376003,0.000370827,0.000348003,0.000365761,0.000364005,0.000365628,0.000352023,0.000346368,0.000369968,0.000314004,0.000342251,0.000330756,0.000369012,0.000349267,0.000371405,0.000341044,0.000352019,0.000365014,0.000360219,0.000369058,0.000339258,0.000340769,0.000376636,0.000340178,0.000418212,0.000351199,0.000348721,0.000378512,0.00044016,0.000371621,0.000422225,0.000353244,0.000408125,0.000393923,0.000423243,0.00038416,0.0004607,0.000453049,0.000430319,0.000409397,0.000463487,0.000478922,0.000479472,0.000501395,0.000456464,0.000483582,0.000445458,0.000437373
-18.4913,0.000352668,0.000375829,0.000379518,0.00033314,0.000355215,0.000336303,0.000347153,0.000359171,0.000397392,0.000386801,0.000375643,0.00037834,0.000377564,0.000342042,0.000371306,0.000363167,0.000367973,0.000356353,0.000350316,0.000370972,0.000318977,0.000352699,0.000340526,0.000383102,0.000362369,0.000378076,0.00035223,0.000360315,0.000362229,0.000353437,0.000370237,0.000331381,0.000345663,0.000382378,0.000357122,0.000424736,0.000351327,0.000361082,0.000386517,0.000440802,0.000373375,0.000424903,0.000364145,0.000420484,0.000404331,0.000430235,0.000390439,0.000464848,0.000455227,0.000436885,0.000414968,0.000460255,0.000478176,0.000481686,0.000507422,0.000457617,0.000484958,0.00044751,0.000437274
