Arc_length vs Data,001_16months_DTI_antsBM,001_20months_DTI_antsBM,001_24months_DTI_antsBM,001_28months_DTI_antsBM,002_16months_DTI_antsBM,002_20months_DTI_antsBM,002_24months_DTI_antsBM,002_28months_DTI_antsBM,004_16months_DTI_antsBM,004_20months_DTI_antsBM,004_24months_DTI_antsBM,004_28months_DTI_antsBM,004_32months_DTI_antsBM,005_20months_DTI_antsBM,005_24months_DTI_antsBM,005_28months_DTI_antsBM,005_32months_DTI_antsBM,005_36months_DTI_antsBM,006_20months_DTI_antsBM,006_24months_DTI_antsBM,006_28months_DTI_antsBM,006_32months_DTI_antsBM,006_36months_DTI_antsBM,007_16months_DTI_antsBM,007_20months_DTI_antsBM,007_24months_DTI_antsBM,008_16months_DTI_antsBM,008_20months_DTI_antsBM,008_24months_DTI_antsBM,010_18months_DTI_antsBM,010_22months_DTI_antsBM,011_16months_DTI_antsBM,011_20months_DTI_antsBM,011_24months_DTI_antsBM,011_28months_DTI_antsBM,011_32months_DTI_antsBM,012_18months_DTI_antsBM,012_22months_DTI_antsBM,013_17months_DTI_antsBM,013_21months_DTI_antsBM,014_17months_DTI_antsBM,014_21months_DTI_antsBM,016_16months_DTI_antsBM,016_20months_DTI_antsBM,017_15months_DTI_antsBM,017_19months_DTI_antsBM,018_15months_DTI_antsBM,018_19months_DTI_antsBM,019_16months_DTI_antsBM,019_20months_DTI_antsBM,026_15months_DTI_antsBM,026_19months_DTI_antsBM,027_15months_DTI_antsBM,027_19months_DTI_antsBM,029_16months_DTI_antsBM,029_20months_DTI_antsBM,030_16months_DTI_antsBM,030_20months_DTI_antsBM,Atlas
-31.4028,0.000578199,0.000607337,0.000599715,0.000607867,0.000643528,0.000697497,0.000710963,0.000710612,0.00067004,0.000644592,0.000648793,0.000680993,0.000663829,0.00063929,0.000670067,0.000641547,0.000637432,0.00064049,0.000656911,0.000686605,0.000675825,0.000701048,0.000643198,0.000624736,0.000637263,0.000611572,0.000675464,0.000683929,0.000668043,0.000634329,0.00068148,0.000658652,0.000644163,0.000691473,0.00063585,0.000778783,0.00063574,0.000666962,0.000699192,0.000703203,0.000664021,0.000748694,0.000642147,0.000667703,0.000695573,0.000746242,0.000691554,0.000753518,0.00068831,0.000702236,0.000649012,0.000770717,0.000709244,0.000709421,0.000778226,0.000767535,0.000729883,0.000730391,0.000693884
-30.9028,0.000580643,0.000605438,0.00060432,0.000600783,0.000650503,0.000692395,0.000707998,0.000703497,0.000673674,0.000643088,0.000640294,0.000670612,0.000660043,0.000627829,0.000657757,0.000631189,0.000627517,0.000629295,0.00065529,0.00067865,0.000671357,0.000695327,0.00063794,0.000622902,0.000634506,0.0006116,0.000667561,0.000676688,0.000659419,0.000628415,0.000670657,0.000652132,0.000637255,0.000676947,0.000626901,0.000763982,0.000630819,0.000664607,0.000693247,0.000695188,0.000661232,0.000740987,0.00065285,0.000668097,0.000691936,0.000744611,0.000689778,0.000748977,0.000688032,0.000696473,0.00064552,0.000765757,0.000706434,0.000708553,0.00075796,0.000748259,0.000728903,0.000727836,0.000686729
-30.4028,0.000579041,0.000601809,0.000603545,0.000592695,0.000652488,0.000684715,0.000700797,0.000693278,0.000674216,0.000641166,0.000633001,0.000659968,0.000654636,0.000616417,0.000646518,0.000619335,0.000616892,0.000616974,0.000650752,0.000670645,0.000663286,0.000686863,0.000631729,0.00061822,0.000631344,0.000607549,0.000660732,0.00067006,0.000652748,0.000623001,0.000658492,0.000643029,0.000629179,0.000664254,0.000619482,0.000748297,0.000627562,0.000663282,0.000685018,0.000685304,0.000656454,0.0007326,0.000655967,0.000666165,0.000685763,0.000736814,0.000684749,0.000742963,0.000687467,0.000691813,0.00063958,0.000757236,0.000703383,0.000706386,0.00073737,0.000730439,0.000726464,0.000723864,0.000679745
-29.9028,0.000576583,0.000598298,0.000601312,0.00058589,0.000651815,0.00067507,0.00069119,0.000680563,0.000672592,0.000638522,0.000626932,0.000649637,0.000647996,0.000605714,0.000635866,0.000607232,0.000607193,0.000605802,0.0006453,0.000663093,0.000653983,0.000677864,0.000625413,0.000612622,0.000628624,0.000601883,0.000654412,0.000664009,0.000647031,0.000618875,0.000645516,0.000632634,0.000620653,0.000653244,0.000612913,0.000732747,0.000625213,0.000661131,0.00067577,0.000674711,0.000651259,0.000723789,0.000656641,0.00066456,0.000678288,0.000726972,0.000678274,0.000736175,0.000687176,0.000687445,0.000633645,0.000749033,0.000700486,0.000705095,0.000717815,0.000712616,0.000723477,0.000719798,0.000672423
-29.4028,0.000574517,0.000595003,0.000597543,0.000580655,0.000648455,0.000662241,0.000679427,0.000665525,0.000667945,0.000634728,0.000621894,0.000639938,0.000639909,0.000595671,0.000625297,0.000594957,0.000598358,0.000595773,0.000639045,0.000655656,0.000644137,0.000669392,0.000619531,0.000605406,0.000625872,0.000595237,0.000648074,0.00065753,0.000641653,0.000616939,0.000632052,0.000622592,0.000612761,0.000643949,0.000607549,0.000718135,0.000623332,0.000657816,0.000665409,0.000663839,0.000645807,0.00071454,0.000654823,0.000663432,0.000670474,0.000715817,0.0006707,0.00072802,0.000686848,0.00068334,0.000628532,0.000741813,0.000698881,0.00070546,0.000699467,0.000694512,0.000720148,0.00071553,0.000664772
-28.9028,0.000577786,0.00059537,0.000594882,0.000581048,0.00064376,0.000649288,0.0006687,0.000652399,0.00066207,0.000631501,0.00062073,0.000634598,0.000632529,0.000589316,0.000618151,0.000586785,0.000594367,0.000591454,0.000634775,0.000651842,0.000638207,0.000666316,0.000616619,0.000598774,0.000624576,0.000591621,0.000643379,0.000651929,0.000637837,0.000621157,0.00062337,0.000619329,0.000611228,0.000641626,0.000608695,0.000710949,0.000625586,0.000656794,0.00065742,0.000657336,0.000642516,0.00070805,0.000651184,0.00066585,0.000667402,0.000708312,0.000664987,0.000721038,0.000687022,0.000681805,0.000627618,0.000741132,0.000702433,0.000711062,0.000688932,0.000681827,0.000719007,0.000714202,0.000659271
-28.4028,0.000588061,0.000600893,0.00059597,0.000587706,0.000641017,0.000640418,0.000662327,0.000644992,0.000658533,0.000630225,0.000624923,0.000635342,0.000628764,0.000588123,0.000615564,0.000585771,0.000597403,0.000594671,0.000634173,0.000652457,0.000638436,0.000669181,0.000617225,0.000595964,0.000626061,0.000593649,0.000641577,0.000648307,0.000636409,0.000630262,0.000622221,0.000624172,0.000618299,0.000646766,0.000617278,0.000713852,0.000631595,0.000660215,0.000654385,0.000657673,0.000644076,0.000706126,0.000648567,0.000672984,0.000672899,0.000708772,0.000663851,0.000718096,0.000688139,0.000684473,0.000632444,0.000748089,0.000709742,0.000719691,0.000689898,0.000678651,0.000722467,0.000718303,0.000656852
-27.9028,0.000601832,0.000609857,0.000599967,0.00059813,0.000641854,0.000637047,0.000660395,0.00064463,0.00065902,0.000630943,0.000632749,0.000640349,0.000629691,0.000591018,0.000617324,0.00059074,0.000605737,0.000603284,0.000636254,0.000655652,0.000643588,0.000675119,0.000619964,0.000598188,0.000631077,0.000600417,0.00064346,0.000646748,0.000637108,0.000640218,0.000626785,0.000634854,0.000630458,0.000655123,0.000629551,0.000724527,0.00063979,0.000668631,0.000655475,0.000663323,0.000650358,0.000708037,0.000647319,0.000682829,0.000686177,0.000716811,0.00066612,0.000719127,0.000689304,0.000690071,0.000641421,0.000758146,0.000717267,0.000728068,0.000699475,0.000684058,0.000729396,0.000725659,0.000656595
-27.4028,0.000613536,0.000617824,0.000603848,0.000608427,0.000644779,0.000635564,0.000659845,0.00064707,0.000661467,0.000632049,0.00063942,0.000646065,0.000632577,0.000593474,0.000620222,0.000595507,0.000614407,0.000611392,0.000638539,0.000657579,0.000648888,0.000679088,0.000622553,0.000602379,0.00063741,0.000607654,0.000647155,0.000645883,0.000638407,0.00064665,0.000631272,0.000644655,0.000640744,0.000660934,0.000638945,0.000735374,0.000646758,0.000677576,0.000656935,0.000669429,0.000658485,0.000710761,0.000645152,0.000691838,0.000699759,0.000726403,0.000668489,0.000720534,0.00068938,0.000695586,0.000650021,0.000765198,0.0007213,0.000733184,0.000709652,0.000691962,0.000735216,0.00073132,0.000656024
-26.9028,0.000620724,0.000622907,0.000606087,0.000616684,0.000647964,0.000633577,0.000659443,0.000649498,0.000663572,0.000632805,0.000643207,0.000650736,0.00063532,0.000593857,0.000622486,0.000597612,0.000620209,0.000615408,0.00064059,0.000657672,0.000652599,0.000679931,0.000624132,0.00060598,0.000643387,0.00061313,0.000651391,0.000645301,0.000639528,0.000649201,0.000632463,0.000650715,0.000646902,0.000662558,0.000643472,0.000742832,0.000651169,0.000685348,0.000656598,0.000673162,0.000666227,0.000712875,0.000641429,0.000698678,0.000709703,0.000734027,0.000669853,0.000720594,0.000688927,0.000699713,0.000656356,0.000767999,0.000721426,0.000734531,0.000716797,0.000698666,0.000737784,0.000732664,0.000653868
