Arc_length vs Data,001_16months_DTI_antsBM,001_20months_DTI_antsBM,001_24months_DTI_antsBM,001_28months_DTI_antsBM,002_16months_DTI_antsBM,002_20months_DTI_antsBM,002_24months_DTI_antsBM,002_28months_DTI_antsBM,004_16months_DTI_antsBM,004_20months_DTI_antsBM,004_24months_DTI_antsBM,004_28months_DTI_antsBM,004_32months_DTI_antsBM,005_20months_DTI_antsBM,005_24months_DTI_antsBM,005_28months_DTI_antsBM,005_32months_DTI_antsBM,005_36months_DTI_antsBM,006_20months_DTI_antsBM,006_24months_DTI_antsBM,006_28months_DTI_antsBM,006_32months_DTI_antsBM,006_36months_DTI_antsBM,007_16months_DTI_antsBM,007_20months_DTI_antsBM,007_24months_DTI_antsBM,008_16months_DTI_antsBM,008_20months_DTI_antsBM,008_24months_DTI_antsBM,010_18months_DTI_antsBM,010_22months_DTI_antsBM,011_16months_DTI_antsBM,011_20months_DTI_antsBM,011_24months_DTI_antsBM,011_28months_DTI_antsBM,011_32months_DTI_antsBM,012_18months_DTI_antsBM,012_22months_DTI_antsBM,013_17months_DTI_antsBM,013_21months_DTI_antsBM,014_17months_DTI_antsBM,014_21months_DTI_antsBM,016_16months_DTI_antsBM,016_20months_DTI_antsBM,017_15months_DTI_antsBM,017_19months_DTI_antsBM,018_15months_DTI_antsBM,018_19months_DTI_antsBM,019_16months_DTI_antsBM,019_20months_DTI_antsBM,026_15months_DTI_antsBM,026_19months_DTI_antsBM,027_15months_DTI_antsBM,027_19months_DTI_antsBM,029_16months_DTI_antsBM,029_20months_DTI_antsBM,030_16months_DTI_antsBM,030_20months_DTI_antsBM,Atlas
-15.728,0.000460782,0.000473724,0.000465842,0.00048308,0.00050926,0.000478982,0.000482028,0.000476661,0.000526885,0.000515908,0.000485686,0.000497108,0.000478992,0.000463455,0.000479278,0.000477469,0.000478215,0.000496282,0.000496428,0.000505136,0.000483928,0.000493715,0.00048677,0.00049672,0.000520693,0.000496748,0.000523269,0.00053203,0.000533756,0.000498866,0.000491039,0.000516858,0.000498885,0.000505779,0.00051626,0.000564818,0.000523374,0.000543456,0.00051685,0.000546888,0.000529412,0.000554255,0.000487069,0.000533138,0.000577325,0.000619639,0.00054543,0.000626597,0.000559483,0.000533268,0.000524903,0.000569033,0.000574521,0.000602009,0.000613132,0.000558732,0.000641239,0.000602324,0.000602671
-15.228,0.000468562,0.000471888,0.00047125,0.000479735,0.000503616,0.000472097,0.000475973,0.000473232,0.000521803,0.000507801,0.000478412,0.000490885,0.000476117,0.000454277,0.000469702,0.000467146,0.000470434,0.000486046,0.000491755,0.000495873,0.00047505,0.000487939,0.000481358,0.000496293,0.000519634,0.000498894,0.000532425,0.000530837,0.000527166,0.000491727,0.000486231,0.000507682,0.000492488,0.00050163,0.000509756,0.000561173,0.000517242,0.000537139,0.000516175,0.000545225,0.000523795,0.000554363,0.000481503,0.00053173,0.000577914,0.00061444,0.000543056,0.000616888,0.000549226,0.000526311,0.000520895,0.000567097,0.000568689,0.000595345,0.000603016,0.000553909,0.000635855,0.000602185,0.000599896
-14.728,0.000473457,0.000472721,0.000474327,0.000479782,0.000499173,0.000468665,0.000470671,0.000471049,0.00051713,0.000500863,0.000472861,0.000486216,0.000470873,0.000450584,0.000464341,0.00046173,0.00046634,0.000478781,0.00048864,0.000488582,0.000467747,0.000483333,0.000476938,0.000496038,0.000519123,0.000499791,0.000538408,0.000529981,0.000526442,0.000487164,0.000482098,0.000500985,0.000488338,0.000498923,0.000504658,0.000557524,0.000512583,0.000534535,0.000513954,0.000544496,0.000521902,0.000554079,0.000477187,0.00052881,0.000576836,0.000608145,0.000538452,0.000611105,0.000539893,0.000519144,0.000517403,0.000566304,0.00056378,0.000587908,0.000595443,0.000552409,0.000630523,0.000598553,0.00059788
-14.228,0.000477438,0.000474456,0.000476653,0.000480478,0.000495528,0.000466672,0.000466837,0.00047013,0.000512978,0.00049515,0.000469367,0.000483889,0.000465574,0.000448871,0.000460429,0.000459881,0.000462766,0.000472924,0.000486617,0.000483215,0.000462956,0.000479639,0.000474154,0.000495837,0.000518881,0.000500219,0.000542658,0.000529334,0.000528821,0.0004851,0.000479644,0.000496686,0.000486702,0.000497104,0.000502563,0.000555122,0.000508266,0.000534244,0.000510343,0.000542629,0.000522809,0.000553952,0.000473737,0.000526237,0.000577379,0.000602529,0.000533549,0.0006079,0.000531968,0.000511696,0.000515053,0.000566259,0.00056024,0.000580868,0.000588716,0.000552498,0.000626606,0.000595793,0.000596809
-13.728,0.000482302,0.000477121,0.000478838,0.000482396,0.000493472,0.00046657,0.000466542,0.000472077,0.000510485,0.000492408,0.000469822,0.000485322,0.000462612,0.000448241,0.000458362,0.000461,0.000459563,0.000469624,0.000486681,0.000479992,0.000462271,0.000478493,0.000474286,0.000496895,0.000519963,0.000502692,0.000546816,0.000529911,0.000533909,0.000486199,0.000479738,0.000496903,0.000488521,0.0004979,0.000504082,0.000555262,0.000504587,0.000537325,0.00050601,0.000540103,0.000526781,0.000556293,0.000473278,0.000526707,0.000580532,0.000600091,0.000529811,0.000608451,0.000527737,0.000505906,0.00051515,0.000568732,0.000560369,0.000576806,0.000584584,0.000555872,0.000624808,0.000595226,0.00059792
-13.228,0.000489646,0.000482113,0.00048176,0.000487617,0.000495748,0.000471431,0.000473611,0.00047953,0.000512956,0.000496026,0.000477315,0.000493903,0.000466586,0.000451307,0.000461077,0.000467246,0.00045921,0.000472064,0.000492293,0.00048134,0.000468465,0.000483085,0.000479778,0.00050247,0.000525545,0.000509184,0.000553331,0.000533948,0.000543687,0.000492789,0.000484245,0.000505535,0.00049756,0.000505438,0.000512803,0.000560988,0.000504887,0.000546325,0.000503419,0.000539293,0.000536874,0.000564917,0.000480019,0.000534376,0.000587324,0.000605866,0.00052946,0.000615538,0.000530833,0.000505958,0.000520618,0.000576549,0.0005685,0.000579777,0.00058764,0.000565801,0.000627839,0.000599668,0.000603937
-12.728,0.000501354,0.000488654,0.000486004,0.000495782,0.000505398,0.00048385,0.000491404,0.000494804,0.000524692,0.000508628,0.000493181,0.000511788,0.000481979,0.00045842,0.00047144,0.000478926,0.000464703,0.000482307,0.000506155,0.000491015,0.000484287,0.000497047,0.000493021,0.000514673,0.000538546,0.000523648,0.000563913,0.000543143,0.000555712,0.000505172,0.000494447,0.000524785,0.000515488,0.000523174,0.000530375,0.000575144,0.000513777,0.000561859,0.000506838,0.00054373,0.000553812,0.000583329,0.000497796,0.00055365,0.000598173,0.000625627,0.000536173,0.000631204,0.000545961,0.000518555,0.000534457,0.000591782,0.000588482,0.000594309,0.000603178,0.000583408,0.000639047,0.000612167,0.000616487
-12.228,0.000517734,0.000496228,0.000491808,0.000506203,0.000521562,0.000503418,0.000515792,0.000516153,0.000544078,0.000526219,0.000511971,0.00053536,0.00050595,0.000468417,0.000490027,0.000493313,0.000477554,0.000498471,0.000525734,0.000507651,0.000505679,0.000518748,0.000511171,0.000532852,0.000558286,0.000545315,0.000578119,0.000557802,0.00056663,0.000520912,0.000508446,0.0005502,0.000537702,0.00054812,0.000551814,0.000595852,0.000532222,0.000581731,0.000518392,0.000555729,0.00057583,0.00061054,0.000524496,0.000581496,0.000609436,0.000656271,0.000548358,0.000651676,0.000571392,0.00054351,0.000554513,0.00061294,0.000616312,0.000616961,0.000628842,0.000605533,0.000656552,0.000629416,0.000632284
-11.728,0.000536528,0.000504568,0.000499635,0.000516463,0.000539306,0.000525178,0.000539784,0.00053887,0.000563213,0.000541589,0.000526248,0.000556439,0.00052999,0.00047847,0.000512565,0.000507036,0.000494941,0.000514566,0.000542225,0.00052343,0.000524964,0.00054022,0.000526315,0.000551387,0.000579835,0.000567859,0.000590141,0.000572816,0.000572616,0.000537576,0.000524123,0.000570793,0.000555478,0.000569064,0.000568757,0.000615896,0.000554332,0.000600005,0.00053614,0.000573531,0.000597535,0.000639291,0.000552689,0.000607692,0.000616199,0.00068503,0.000560777,0.000667617,0.000599566,0.00057284,0.000573443,0.000634451,0.00064202,0.000637592,0.000654835,0.000623891,0.000674255,0.00064624,0.000643931
-11.228,0.000554486,0.000514755,0.00051149,0.000524811,0.000553517,0.000543098,0.000559419,0.000558269,0.000576244,0.000550236,0.000533178,0.000568484,0.000546653,0.000484249,0.000533042,0.000517423,0.000511628,0.000524853,0.000546921,0.000531394,0.000535013,0.000554079,0.000533397,0.000564261,0.000597579,0.000585875,0.000595538,0.000582998,0.000571446,0.000553829,0.000540459,0.000579638,0.00056339,0.000577172,0.000576097,0.000628304,0.000570145,0.000611532,0.000556916,0.000593226,0.000613983,0.000662153,0.000575718,0.000624475,0.00061562,0.000700461,0.000569925,0.000674443,0.000623233,0.000598281,0.000585616,0.000651156,0.000657705,0.000648953,0.000673273,0.000634453,0.000686994,0.000659366,0.000646996
