Arc_length vs Data,001_16months_DTI_antsBM,001_20months_DTI_antsBM,001_24months_DTI_antsBM,001_28months_DTI_antsBM,002_16months_DTI_antsBM,002_20months_DTI_antsBM,002_24months_DTI_antsBM,002_28months_DTI_antsBM,004_16months_DTI_antsBM,004_20months_DTI_antsBM,004_24months_DTI_antsBM,004_28months_DTI_antsBM,004_32months_DTI_antsBM,005_20months_DTI_antsBM,005_24months_DTI_antsBM,005_28months_DTI_antsBM,005_32months_DTI_antsBM,005_36months_DTI_antsBM,006_20months_DTI_antsBM,006_24months_DTI_antsBM,006_28months_DTI_antsBM,006_32months_DTI_antsBM,006_36months_DTI_antsBM,007_16months_DTI_antsBM,007_20months_DTI_antsBM,007_24months_DTI_antsBM,008_16months_DTI_antsBM,008_20months_DTI_antsBM,008_24months_DTI_antsBM,010_18months_DTI_antsBM,010_22months_DTI_antsBM,011_16months_DTI_antsBM,011_20months_DTI_antsBM,011_24months_DTI_antsBM,011_28months_DTI_antsBM,011_32months_DTI_antsBM,012_18months_DTI_antsBM,012_22months_DTI_antsBM,013_17months_DTI_antsBM,013_21months_DTI_antsBM,014_17months_DTI_antsBM,014_21months_DTI_antsBM,016_16months_DTI_antsBM,016_20months_DTI_antsBM,017_15months_DTI_antsBM,017_19months_DTI_antsBM,018_15months_DTI_antsBM,018_19months_DTI_antsBM,019_16months_DTI_antsBM,019_20months_DTI_antsBM,026_15months_DTI_antsBM,026_19months_DTI_antsBM,027_15months_DTI_antsBM,027_19months_DTI_antsBM,029_16months_DTI_antsBM,029_20months_DTI_antsBM,030_16months_DTI_antsBM,030_20months_DTI_antsBM,Atlas
-31.0576,0.00079962,0.000795519,0.000807478,0.000817824,0.000955825,0.00101462,0.000913149,0.00100176,0.000910757,0.000869199,0.000768254,0.000896745,0.00090479,0.000852963,0.000864118,0.000899174,0.000815946,0.00083318,0.000775231,0.000852607,0.000927763,0.000964995,0.000806633,0.00081352,0.000771558,0.000859449,0.00101885,0.000924698,0.000938144,0.000813037,0.000615316,0.000848284,0.000863234,0.000792046,0.000793546,0.000944502,0.000878542,0.000931181,0.000931443,0.000889934,0.000932225,0.000958619,0.000932004,0.000949309,0.000758905,0.000745501,0.000774604,0.000810075,0.000814021,0.000768649,0.000874034,0.00104286,0.000999542,0.0011013,0.000929746,0.000900509,0.00105022,0.00092718,0.000800536
-30.5576,0.000769575,0.000724764,0.00075298,0.000669377,0.000940504,0.000942156,0.000842806,0.00099252,0.000840568,0.000866861,0.000775482,0.000808761,0.000830603,0.000703552,0.000739924,0.000747787,0.000766791,0.000772493,0.000747934,0.000827498,0.000904588,0.0009005,0.000732953,0.000700932,0.00071313,0.000771422,0.000952696,0.000844134,0.000864793,0.00078786,0.00080947,0.000745958,0.000737497,0.00076933,0.000727883,0.000850652,0.000881444,0.000966712,0.000785625,0.000767587,0.00108505,0.00104197,0.000766685,0.000743502,0.00089152,0.000883488,0.000870845,0.000868684,0.000771428,0.000752375,0.000888714,0.000955413,0.000851573,0.000762736,0.000971322,0.000872975,0.00116186,0.000992071,0.000632912
-30.0576,0.000713532,0.000688032,0.000712694,0.000619265,0.000882079,0.000840906,0.000775432,0.000928185,0.00079774,0.000749398,0.000720847,0.00074392,0.000776688,0.000669413,0.000723187,0.00069276,0.00075537,0.000745354,0.000726562,0.000793233,0.000856856,0.000847101,0.000687998,0.000674006,0.000694296,0.000711837,0.000884468,0.000781848,0.000832249,0.000753703,0.000840801,0.000699048,0.000673654,0.000743354,0.000699703,0.000791074,0.000843667,0.000911265,0.000708816,0.000665538,0.00107596,0.00102549,0.00070825,0.000699302,0.000915818,0.000882911,0.000883804,0.000877214,0.00076197,0.000736354,0.000855112,0.000893373,0.000727267,0.000601622,0.000960726,0.000850799,0.00114574,0.000969117,0.000568267
-29.5576,0.000676919,0.000663935,0.000677307,0.000601389,0.000822757,0.00076882,0.000735565,0.000857522,0.000785054,0.000699297,0.000718655,0.000743621,0.000757723,0.000669221,0.000711713,0.000687862,0.000733818,0.000715621,0.000713305,0.000767131,0.000817109,0.000829063,0.000679022,0.000671095,0.000696859,0.000684321,0.000823115,0.000734044,0.000789212,0.000728032,0.000801437,0.000678169,0.000653177,0.000718144,0.000689607,0.000765041,0.000798347,0.000849559,0.000692209,0.000663768,0.000999293,0.000965567,0.000716435,0.000729557,0.000879341,0.000826708,0.000842251,0.000852628,0.000750537,0.000716745,0.00080782,0.000859083,0.000695329,0.0006315,0.000923015,0.000827905,0.00106362,0.000911406,0.000584796
-29.0576,0.000640583,0.000641061,0.000647867,0.000594983,0.000766321,0.000717367,0.000706226,0.000790294,0.000765211,0.000665531,0.000718593,0.000730624,0.00073425,0.000666568,0.000694873,0.000675899,0.000704814,0.000683325,0.000695588,0.00074134,0.000776541,0.000798809,0.000669386,0.000666042,0.000690722,0.000668816,0.000767528,0.000697495,0.000740003,0.000703315,0.000754442,0.000669294,0.00064672,0.000698586,0.000680889,0.000750778,0.000755537,0.000798454,0.000686072,0.00068126,0.000911499,0.000891973,0.000715816,0.000752734,0.000824955,0.000760756,0.000791797,0.000813369,0.000731796,0.000699179,0.0007655,0.000819923,0.000675127,0.000646998,0.0008813,0.000799255,0.000968355,0.000846867,0.000596211
-28.5576,0.00061595,0.00061796,0.000624289,0.00059493,0.000717827,0.000684077,0.000685716,0.000733451,0.000739889,0.000658596,0.000712223,0.000715069,0.000709253,0.000658517,0.000678935,0.000661743,0.000675795,0.000654008,0.000677459,0.000714929,0.000734131,0.000762031,0.000657697,0.000663443,0.000676239,0.000657782,0.00071675,0.000663221,0.000688463,0.000678958,0.00070296,0.00066349,0.00064063,0.000675835,0.000665975,0.000736996,0.000711898,0.000753522,0.000681789,0.000696483,0.000820741,0.000819363,0.000713662,0.0007522,0.000765441,0.000702208,0.0007408,0.000772813,0.000713026,0.000687238,0.000720537,0.000774765,0.000677834,0.000669668,0.000833874,0.000762891,0.000876012,0.000782112,0.000598015
-28.0576,0.000609166,0.000606605,0.000610386,0.000599733,0.000685206,0.000669496,0.000676843,0.00069376,0.000713912,0.000670856,0.00070591,0.000702127,0.000689217,0.000647533,0.000665248,0.000646921,0.000652447,0.000628109,0.000664165,0.000694456,0.000695734,0.000725865,0.000642777,0.00066427,0.000661147,0.000649614,0.000674954,0.000622978,0.000643183,0.000656646,0.00065143,0.000660856,0.000636797,0.000656024,0.000652294,0.000724543,0.000675317,0.000719213,0.000679026,0.000702657,0.000733838,0.000750693,0.000703642,0.000737953,0.000708297,0.00065476,0.000696411,0.000735702,0.000699439,0.000683774,0.000682052,0.000735607,0.000694732,0.000697432,0.000794269,0.000733562,0.000797481,0.000725869,0.000597555
-27.5576,0.000614872,0.000604008,0.000605347,0.000604413,0.000667822,0.000665465,0.000669144,0.000669946,0.000686511,0.000676431,0.000687739,0.000682134,0.00066741,0.000631791,0.000652403,0.000630379,0.000635671,0.000615551,0.000654949,0.000678508,0.000665483,0.00069258,0.000627883,0.000659363,0.000645234,0.000640321,0.000657541,0.000605843,0.000616387,0.00064383,0.000621775,0.000656527,0.000630963,0.000641343,0.000639137,0.00071249,0.000652119,0.000697397,0.000672559,0.000696808,0.000677311,0.000707368,0.000683997,0.000711953,0.000669377,0.000632963,0.00066903,0.000712905,0.000687952,0.000680122,0.000658447,0.000705014,0.0007076,0.000706845,0.000761881,0.000708338,0.000750257,0.000692642,0.000604971
-27.0576,0.000626833,0.000605623,0.000603071,0.000604851,0.000662513,0.00066456,0.000659718,0.000656637,0.000666244,0.000673131,0.000664311,0.000664898,0.00064958,0.000615103,0.000640295,0.000616248,0.000623543,0.000609961,0.000648169,0.000665355,0.000642373,0.000666566,0.00061334,0.000651041,0.000634555,0.000627905,0.000653198,0.000603125,0.000605612,0.000638797,0.000609822,0.000647862,0.00062179,0.000628574,0.000626026,0.000698686,0.000639152,0.000680231,0.000662241,0.000682711,0.000648362,0.000688217,0.000664059,0.000686144,0.000650165,0.000631247,0.000657341,0.000704082,0.000678293,0.000672757,0.000644436,0.0006859,0.000716751,0.000712644,0.000735264,0.000688681,0.000730548,0.000680601,0.000620801
-26.5576,0.000633079,0.000606664,0.000598261,0.000600554,0.000659867,0.000660005,0.000644676,0.000644098,0.000654969,0.000658441,0.00064195,0.000648647,0.000634439,0.000598255,0.000626319,0.000601438,0.000610421,0.000602756,0.000638156,0.000650929,0.000620699,0.000642421,0.000597467,0.000638327,0.000627811,0.000610874,0.000650304,0.000605294,0.000600971,0.000635702,0.000606471,0.000636129,0.00061108,0.000617314,0.000613187,0.000684406,0.000631066,0.000661781,0.000648392,0.000665459,0.000634003,0.000679878,0.000643955,0.00066892,0.000641427,0.000636136,0.000652749,0.000700027,0.000666919,0.000659613,0.000634632,0.000674094,0.000715251,0.000711656,0.000711252,0.000672584,0.000722506,0.00067819,0.000641368
-26.0576,0.000628091,0.000599832,0.000587526,0.000590454,0.000654515,0.000649843,0.00062387,0.000627549,0.000651332,0.000641504,0.000621552,0.000632314,0.000620364,0.000579501,0.000609215,0.000583862,0.000592353,0.000590252,0.000620735,0.000630517,0.000595968,0.000615854,0.00057982,0.000621391,0.000619146,0.000589533,0.000641708,0.000609437,0.000592879,0.000629352,0.000604161,0.000621457,0.000597473,0.0006052,0.000597832,0.000669011,0.00062188,0.000638637,0.000630395,0.000649029,0.000626675,0.000675212,0.000625885,0.000654384,0.000636291,0.000641043,0.000647261,0.000694469,0.000651111,0.000641027,0.000621673,0.000662306,0.000707027,0.000704368,0.000684088,0.000652746,0.000716182,0.000677132,0.000659199
-25.5576,0.000614735,0.000589153,0.000575136,0.000578375,0.000650336,0.000640761,0.000607565,0.000614978,0.000654993,0.000634262,0.000609356,0.000620954,0.000611921,0.00056326,0.000594367,0.00056651,0.000574331,0.000572327,0.000599185,0.00060825,0.000573362,0.000591733,0.000562533,0.00060803,0.000608222,0.000569428,0.000625343,0.000602668,0.00057979,0.000616664,0.000594447,0.000608989,0.000584563,0.00059544,0.000585019,0.000655922,0.000612303,0.000616913,0.000611578,0.000631361,0.000619794,0.000667683,0.00061124,0.000640866,0.000630653,0.000639676,0.000637561,0.000684014,0.000636574,0.000625548,0.000605989,0.000653416,0.00069699,0.000694923,0.000661999,0.000636173,0.000709284,0.000674932,0.000664354
