Arc_length vs Data,001_16months_DTI_antsBM,001_20months_DTI_antsBM,001_24months_DTI_antsBM,001_28months_DTI_antsBM,002_16months_DTI_antsBM,002_20months_DTI_antsBM,002_24months_DTI_antsBM,002_28months_DTI_antsBM,004_16months_DTI_antsBM,004_20months_DTI_antsBM,004_24months_DTI_antsBM,004_28months_DTI_antsBM,004_32months_DTI_antsBM,005_20months_DTI_antsBM,005_24months_DTI_antsBM,005_28months_DTI_antsBM,005_32months_DTI_antsBM,005_36months_DTI_antsBM,006_20months_DTI_antsBM,006_24months_DTI_antsBM,006_28months_DTI_antsBM,006_32months_DTI_antsBM,006_36months_DTI_antsBM,007_16months_DTI_antsBM,007_20months_DTI_antsBM,007_24months_DTI_antsBM,008_16months_DTI_antsBM,008_20months_DTI_antsBM,008_24months_DTI_antsBM,010_18months_DTI_antsBM,010_22months_DTI_antsBM,011_16months_DTI_antsBM,011_20months_DTI_antsBM,011_24months_DTI_antsBM,011_28months_DTI_antsBM,011_32months_DTI_antsBM,012_18months_DTI_antsBM,012_22months_DTI_antsBM,013_17months_DTI_antsBM,013_21months_DTI_antsBM,014_17months_DTI_antsBM,014_21months_DTI_antsBM,016_16months_DTI_antsBM,016_20months_DTI_antsBM,017_15months_DTI_antsBM,017_19months_DTI_antsBM,018_15months_DTI_antsBM,018_19months_DTI_antsBM,019_16months_DTI_antsBM,019_20months_DTI_antsBM,026_15months_DTI_antsBM,026_19months_DTI_antsBM,027_15months_DTI_antsBM,027_19months_DTI_antsBM,029_16months_DTI_antsBM,029_20months_DTI_antsBM,030_16months_DTI_antsBM,030_20months_DTI_antsBM,Atlas
-10.6204,0.000652299,0.000624761,0.000646243,0.000606595,0.000676928,0.000644215,0.000661378,0.00066304,0.000683168,0.000661483,0.000656635,0.000701567,0.000701057,0.000619895,0.000660262,0.000638005,0.000653529,0.000683727,0.000605239,0.000654132,0.00063711,0.000653525,0.000673501,0.000645067,0.000648058,0.000639393,0.000651296,0.000647994,0.000677656,0.000728352,0.000722242,0.000669416,0.000611251,0.000640444,0.000624731,0.000700717,0.000698351,0.00066678,0.000670557,0.000722214,0.000658931,0.000744113,0.000668231,0.000745966,0.00073336,0.000750061,0.000680306,0.000755378,0.000733799,0.000782217,0.000751877,0.000800244,0.000760831,0.00078645,0.000793326,0.000796602,0.000804156,0.000793025,0.000743089
-10.1204,0.000648176,0.000625188,0.000644048,0.000608375,0.00068326,0.000650384,0.000663492,0.000658406,0.000685304,0.00066312,0.000657921,0.00070346,0.000703552,0.000620729,0.000652353,0.000637236,0.000647572,0.000673414,0.000614202,0.000649518,0.000639774,0.000647106,0.000674396,0.000645602,0.000643717,0.000635241,0.000658578,0.000650947,0.000677413,0.000722429,0.000714556,0.000674537,0.000610247,0.000642842,0.000624848,0.000697691,0.000700472,0.000668409,0.00066546,0.000716349,0.000659109,0.000741836,0.000672296,0.000748066,0.000730226,0.000749472,0.000680334,0.000748403,0.000738051,0.000781589,0.000748962,0.000802494,0.000757988,0.000787821,0.000792741,0.000799362,0.000803015,0.000793292,0.000742371
-9.62041,0.000641626,0.000626583,0.000640569,0.000611376,0.000690176,0.000657017,0.000667506,0.000657292,0.000686842,0.000665739,0.000661153,0.00070419,0.000705689,0.000623017,0.000645266,0.000638958,0.00064348,0.000664236,0.000624115,0.00064782,0.000641793,0.000644128,0.000674556,0.000646926,0.000641391,0.000634109,0.00066543,0.000656928,0.000678023,0.000713739,0.000704517,0.000676315,0.000613435,0.000646759,0.000626,0.000695664,0.000699076,0.000670908,0.000660737,0.000708739,0.000658588,0.000740825,0.000677655,0.000751155,0.00072565,0.000750692,0.000681199,0.000744875,0.000740262,0.000780318,0.000744584,0.00080506,0.00075622,0.000789927,0.000791666,0.000799089,0.000803805,0.000795027,0.000742014
-9.12041,0.000633811,0.000628967,0.000635362,0.000614585,0.000696161,0.000665609,0.000674809,0.000660816,0.000689607,0.000669221,0.000664652,0.000704433,0.000707126,0.00062902,0.00063888,0.000643724,0.0006392,0.000653729,0.000637208,0.000650374,0.000646113,0.000643839,0.000675122,0.00064973,0.000641664,0.000635741,0.00067334,0.00066517,0.00068113,0.00070178,0.000690162,0.000674518,0.000619617,0.000652119,0.000628164,0.000694983,0.000694267,0.000672802,0.000655427,0.000698778,0.00065712,0.000738669,0.000686136,0.000756268,0.000719214,0.000753573,0.000683314,0.000743099,0.000742277,0.000778127,0.000737802,0.000809248,0.000755732,0.000793025,0.000790083,0.000795896,0.000805998,0.000797681,0.000742183
-8.62041,0.000628372,0.000631285,0.000631126,0.000615542,0.000698484,0.000672383,0.000683457,0.000671392,0.000691111,0.000672311,0.000665012,0.000702765,0.000704927,0.000636668,0.000638055,0.000652272,0.000640412,0.000648581,0.000648929,0.000658958,0.00065225,0.000647739,0.000675373,0.000654568,0.00064906,0.000643021,0.000677529,0.000672857,0.000685708,0.000691515,0.000676411,0.000665561,0.000628462,0.00065941,0.000630783,0.000698421,0.000684528,0.000671684,0.000652561,0.000692523,0.000655801,0.000736152,0.000693956,0.000761078,0.000714654,0.000758834,0.000687164,0.000746005,0.000741742,0.000776156,0.000732197,0.000814625,0.000758103,0.000796909,0.000788619,0.000790407,0.000808667,0.000800223,0.000743032
-8.12041,0.000628801,0.000630701,0.000630045,0.000611444,0.000696523,0.000674936,0.000688718,0.000684564,0.000690462,0.000671365,0.00065975,0.00069948,0.00069708,0.000640604,0.00064472,0.000659319,0.000645479,0.000651432,0.000654702,0.00066887,0.000658631,0.00065202,0.000675542,0.000658863,0.000663446,0.000651379,0.000676762,0.000674527,0.000688109,0.000688441,0.000669352,0.000654416,0.000634107,0.000666504,0.000633297,0.000704355,0.00067213,0.000666747,0.000655426,0.000694802,0.000656417,0.00073351,0.000692173,0.000763847,0.000715729,0.00076507,0.000690734,0.00075122,0.000738388,0.00077444,0.00072943,0.000819141,0.000763542,0.000800895,0.000788797,0.000787427,0.000808182,0.000799112,0.000744833
-7.62041,0.000633902,0.000625044,0.000630684,0.000602944,0.000692686,0.000675362,0.000686313,0.000690541,0.000687016,0.000665819,0.000653581,0.000695549,0.000685041,0.000639837,0.000656978,0.000661927,0.000651285,0.000656153,0.000648307,0.000669145,0.000659228,0.000648988,0.000673644,0.00065758,0.000679571,0.000654167,0.000672052,0.000669726,0.0006834,0.000693119,0.000670043,0.000650417,0.000633623,0.000673651,0.000637797,0.000711268,0.000660669,0.000659041,0.000663457,0.000703193,0.000661439,0.000734619,0.000674078,0.000761015,0.000721832,0.000770002,0.000690641,0.000756743,0.000732256,0.000774876,0.00073277,0.000822667,0.000767367,0.00080462,0.000792401,0.000792281,0.000802393,0.000793065,0.000746418
-7.12041,0.00063914,0.000618096,0.000629853,0.000597166,0.000688183,0.000675168,0.000677028,0.000687712,0.000682343,0.000659283,0.000652721,0.000691973,0.000673483,0.00063471,0.000668958,0.000658332,0.000653303,0.000660035,0.000630546,0.000658593,0.000649355,0.000637242,0.000664506,0.000649712,0.000688948,0.000649831,0.000665466,0.000662382,0.000672296,0.000700164,0.000674756,0.000655452,0.000627189,0.000679281,0.000645474,0.000717032,0.000654588,0.000652004,0.000671595,0.000709132,0.000667012,0.000740742,0.000645658,0.000752731,0.000727191,0.000771903,0.000685443,0.000761228,0.0007232,0.000776542,0.000739107,0.000822973,0.000764608,0.000806562,0.000796323,0.000799164,0.000794069,0.000786348,0.000746578
-6.62041,0.000642706,0.000616122,0.000627506,0.000598493,0.00068159,0.00067384,0.000666345,0.000682673,0.000680706,0.000656292,0.00065516,0.000690338,0.000665248,0.000628936,0.000674944,0.000650026,0.000652568,0.000662914,0.000609538,0.000646148,0.000634559,0.000621386,0.000649366,0.000640151,0.000689517,0.000641811,0.000659872,0.000654403,0.000661318,0.000705099,0.000679565,0.000661525,0.0006195,0.000684267,0.000655244,0.000721542,0.000653902,0.000647589,0.000676069,0.000708363,0.000668958,0.000747862,0.000621009,0.000742284,0.000729575,0.000770817,0.000678201,0.000764858,0.000713985,0.000777082,0.000743561,0.000819965,0.000758909,0.000805514,0.00079624,0.000800354,0.000786546,0.000782119,0.000745648
-6.12041,0.000645823,0.000620138,0.000625029,0.000604618,0.000672781,0.000672777,0.000657535,0.000678075,0.000682966,0.000655764,0.000655907,0.000690362,0.000660244,0.000623133,0.000674937,0.000641604,0.000652788,0.000663886,0.000591673,0.000633796,0.000620782,0.000605779,0.000631655,0.000632846,0.000683686,0.000633827,0.000655539,0.000646295,0.000651693,0.000706416,0.000683459,0.000662523,0.000614341,0.000689788,0.000663294,0.000725258,0.000655819,0.000646165,0.00067627,0.000703509,0.00066699,0.000752884,0.00060758,0.000730623,0.000730688,0.000767365,0.00067219,0.000767975,0.000708006,0.000774174,0.000744996,0.000814222,0.000752343,0.000801239,0.000790983,0.000794875,0.000780091,0.000780456,0.000743594
