Arc_length vs Data,001_16months_DTI_antsBM,001_20months_DTI_antsBM,001_24months_DTI_antsBM,001_28months_DTI_antsBM,002_16months_DTI_antsBM,002_20months_DTI_antsBM,002_24months_DTI_antsBM,002_28months_DTI_antsBM,004_16months_DTI_antsBM,004_20months_DTI_antsBM,004_24months_DTI_antsBM,004_28months_DTI_antsBM,004_32months_DTI_antsBM,005_20months_DTI_antsBM,005_24months_DTI_antsBM,005_28months_DTI_antsBM,005_32months_DTI_antsBM,005_36months_DTI_antsBM,006_20months_DTI_antsBM,006_24months_DTI_antsBM,006_28months_DTI_antsBM,006_32months_DTI_antsBM,006_36months_DTI_antsBM,007_16months_DTI_antsBM,007_20months_DTI_antsBM,007_24months_DTI_antsBM,008_16months_DTI_antsBM,008_20months_DTI_antsBM,008_24months_DTI_antsBM,010_18months_DTI_antsBM,010_22months_DTI_antsBM,011_16months_DTI_antsBM,011_20months_DTI_antsBM,011_24months_DTI_antsBM,011_28months_DTI_antsBM,011_32months_DTI_antsBM,012_18months_DTI_antsBM,012_22months_DTI_antsBM,013_17months_DTI_antsBM,013_21months_DTI_antsBM,014_17months_DTI_antsBM,014_21months_DTI_antsBM,016_16months_DTI_antsBM,016_20months_DTI_antsBM,017_15months_DTI_antsBM,017_19months_DTI_antsBM,018_15months_DTI_antsBM,018_19months_DTI_antsBM,019_16months_DTI_antsBM,019_20months_DTI_antsBM,026_15months_DTI_antsBM,026_19months_DTI_antsBM,027_15months_DTI_antsBM,027_19months_DTI_antsBM,029_16months_DTI_antsBM,029_20months_DTI_antsBM,030_16months_DTI_antsBM,030_20months_DTI_antsBM,Atlas
-13.5243,0.00060955,0.000623503,0.000624926,0.000612259,0.000721877,0.000687173,0.000700209,0.000719957,0.000704689,0.000679268,0.000686723,0.000704591,0.000708895,0.000627693,0.000647695,0.00061125,0.000666582,0.000648219,0.000664122,0.00065912,0.000619126,0.000678656,0.00067259,0.000622329,0.000648533,0.000635894,0.000635667,0.000644215,0.000667688,0.000683175,0.000698899,0.000627121,0.00060622,0.000650911,0.000647082,0.00073217,0.00065301,0.000658513,0.000659891,0.000678614,0.000692375,0.000763219,0.000657923,0.000759776,0.00072612,0.000783353,0.000695408,0.000778864,0.000731729,0.000760836,0.000730433,0.000784281,0.000765451,0.000756785,0.000801991,0.000773406,0.000794944,0.000794609,0.000731158
-13.0243,0.000610381,0.000619252,0.000628651,0.000614711,0.000720144,0.000682097,0.000692207,0.000719128,0.000702068,0.000680499,0.000687872,0.0007117,0.000705845,0.000634872,0.000642697,0.000619302,0.000670831,0.000654915,0.000661265,0.000660541,0.00062,0.000678834,0.000673427,0.000626476,0.000646257,0.00063282,0.00063714,0.00064135,0.000669114,0.000682125,0.000698039,0.000624111,0.000609804,0.000653132,0.000644382,0.000730668,0.0006538,0.00065917,0.000659917,0.000681697,0.000687598,0.000761347,0.000660673,0.000755399,0.000726708,0.000778594,0.000688865,0.000780292,0.000738787,0.000767007,0.000733689,0.000782954,0.000763738,0.000754416,0.00080455,0.000774999,0.000796446,0.000791794,0.000729674
-12.5243,0.000614056,0.000618475,0.000629441,0.000617365,0.000717505,0.00067946,0.000684302,0.000715449,0.000698016,0.000681926,0.000686829,0.000713336,0.000701984,0.000637982,0.000638209,0.000625492,0.000669564,0.000659162,0.000654287,0.000661255,0.000620811,0.000677899,0.000672533,0.000630994,0.000643143,0.000630315,0.000639858,0.000640718,0.000669202,0.000684361,0.000697926,0.000620814,0.000613473,0.000653658,0.000640485,0.000727954,0.000652848,0.00065911,0.000656891,0.000684222,0.000681519,0.000756751,0.000661995,0.00075036,0.000726855,0.000772682,0.000678057,0.000780293,0.000744102,0.00076949,0.000736574,0.000780601,0.00076146,0.000752752,0.000805943,0.000777972,0.000795853,0.000787308,0.000727846
-12.0243,0.000618947,0.000621346,0.000626844,0.000619429,0.000712743,0.000675421,0.000673072,0.000708692,0.000689482,0.000681074,0.000682242,0.000710876,0.0006956,0.00063752,0.000632918,0.000629398,0.000662208,0.00066133,0.000642584,0.000660373,0.00062104,0.000675168,0.00066945,0.000636468,0.000639126,0.000627071,0.000643122,0.000640447,0.000665534,0.000690399,0.000700352,0.00061837,0.000618353,0.00065344,0.000634702,0.000723175,0.000652746,0.000657564,0.000651447,0.000686205,0.000673037,0.000749709,0.000660209,0.000742671,0.000725818,0.000764451,0.000664503,0.000777365,0.00074641,0.000769719,0.000737498,0.000777094,0.000757305,0.000750716,0.000806059,0.000782131,0.000792925,0.000781259,0.000725415
-11.5243,0.000624395,0.00062843,0.000618348,0.00062159,0.000705835,0.000668618,0.000660604,0.000699037,0.000677772,0.000676141,0.00067235,0.000702294,0.000685812,0.000630458,0.000628469,0.000627392,0.000647509,0.000659349,0.000627561,0.000656688,0.000620361,0.000669549,0.000663998,0.000641287,0.000634147,0.00062368,0.000647799,0.000640341,0.000656922,0.000703193,0.000706825,0.000617652,0.00062433,0.000652225,0.000627927,0.000718031,0.000653934,0.000653454,0.000643502,0.00068779,0.000664414,0.000741017,0.00065307,0.000734089,0.00072308,0.000755544,0.000652524,0.000769682,0.000743128,0.000763998,0.000735713,0.000772244,0.000750777,0.000750976,0.000803056,0.000785886,0.000786889,0.000774498,0.000722127
-11.0243,0.00062643,0.000633358,0.000610398,0.000623608,0.000696194,0.00065791,0.000653079,0.000688839,0.000667115,0.000664837,0.000660297,0.00068973,0.000675522,0.000619519,0.000626162,0.000618676,0.000631405,0.000652457,0.000617206,0.000649804,0.000618547,0.000661455,0.000656925,0.000642724,0.000628529,0.000620066,0.000650521,0.000639563,0.000647095,0.000713829,0.000714408,0.000618639,0.00062694,0.000650759,0.000622891,0.000715425,0.000656837,0.000648902,0.000636423,0.000688092,0.000658429,0.000734107,0.000639472,0.000727097,0.000717443,0.000749277,0.000648205,0.000759428,0.000734131,0.000754407,0.000730663,0.000769939,0.000743834,0.000751586,0.000795759,0.000786643,0.000781811,0.000769567,0.000718804
-10.5243,0.000625,0.000632462,0.000608108,0.000623715,0.000683955,0.000644417,0.000651014,0.000679171,0.000661089,0.000651669,0.000649884,0.000677537,0.000667037,0.000609368,0.000626506,0.000608639,0.000621081,0.000646734,0.000614648,0.000641606,0.000617106,0.000653158,0.000651014,0.000642391,0.000622046,0.000615561,0.000649572,0.000637602,0.000641254,0.000713456,0.000718702,0.000619192,0.000623926,0.000648681,0.000618804,0.000713658,0.000660399,0.00064558,0.000631238,0.000687502,0.000656468,0.000730063,0.000628147,0.000723351,0.000710097,0.000745791,0.000649168,0.000750793,0.000725097,0.000746227,0.000725692,0.000770362,0.000737005,0.000750999,0.000784251,0.000783356,0.000779782,0.000766531,0.00071543
-10.0243,0.000624392,0.000627827,0.000610753,0.000620917,0.00067117,0.000631641,0.000649471,0.000669071,0.000658915,0.000641991,0.000643762,0.000667813,0.000661946,0.000602841,0.000627222,0.000601566,0.000617344,0.000643965,0.000617126,0.000634216,0.000616346,0.000647109,0.000646421,0.000643031,0.000616782,0.000610953,0.000646289,0.000635533,0.00064087,0.000701278,0.000716536,0.000616738,0.000616751,0.000645314,0.000614145,0.000710026,0.000662712,0.000643912,0.000627408,0.000686263,0.000656577,0.000727616,0.000625799,0.000721566,0.000702398,0.000743453,0.000649541,0.000745346,0.000717638,0.000740371,0.000720547,0.000773548,0.000732158,0.00074783,0.000769226,0.000776687,0.000780012,0.000763342,0.000712337
-9.52426,0.000627086,0.000622157,0.000614152,0.00061595,0.000660847,0.000623982,0.000645724,0.000656848,0.00065889,0.000638251,0.000640844,0.000661103,0.000660911,0.000600111,0.000628629,0.000599191,0.000617948,0.000643348,0.000622165,0.000627354,0.000615967,0.000643785,0.00064322,0.000646713,0.000617155,0.000606619,0.000643124,0.000634099,0.000644247,0.000682175,0.0007063,0.00061179,0.000608101,0.00064007,0.00060962,0.000703786,0.000664051,0.000642614,0.00062529,0.000684171,0.000656209,0.000724528,0.000630756,0.000720178,0.000697135,0.000740886,0.000647562,0.000742558,0.000711669,0.000735197,0.000714216,0.000777495,0.000730188,0.000743244,0.000754392,0.000768175,0.000780329,0.000759429,0.000709353
-9.02426,0.000633448,0.000617255,0.000614632,0.00061037,0.000655141,0.000626132,0.000638863,0.000643904,0.000660216,0.000642733,0.000640151,0.000658401,0.000662093,0.000601482,0.000630738,0.000602139,0.000620604,0.000642295,0.000626465,0.000621526,0.000613784,0.00064186,0.000641932,0.000652016,0.000625612,0.000604361,0.000644142,0.000634626,0.000649228,0.000666457,0.000690145,0.000606727,0.000600662,0.000634126,0.000607939,0.000696359,0.000664899,0.00064058,0.000627495,0.000683969,0.000655316,0.000720632,0.000637904,0.000719013,0.000696433,0.000737921,0.000644517,0.000741441,0.000707415,0.00072982,0.000706208,0.00077912,0.000729685,0.000739823,0.000744382,0.000760922,0.000779341,0.000754864,0.000707353
