Arc_length vs Data,001_16months_DTI_antsBM,001_20months_DTI_antsBM,001_24months_DTI_antsBM,001_28months_DTI_antsBM,002_16months_DTI_antsBM,002_20months_DTI_antsBM,002_24months_DTI_antsBM,002_28months_DTI_antsBM,004_16months_DTI_antsBM,004_20months_DTI_antsBM,004_24months_DTI_antsBM,004_28months_DTI_antsBM,004_32months_DTI_antsBM,005_20months_DTI_antsBM,005_24months_DTI_antsBM,005_28months_DTI_antsBM,005_32months_DTI_antsBM,005_36months_DTI_antsBM,006_20months_DTI_antsBM,006_24months_DTI_antsBM,006_28months_DTI_antsBM,006_32months_DTI_antsBM,006_36months_DTI_antsBM,007_16months_DTI_antsBM,007_20months_DTI_antsBM,007_24months_DTI_antsBM,008_16months_DTI_antsBM,008_20months_DTI_antsBM,008_24months_DTI_antsBM,010_18months_DTI_antsBM,010_22months_DTI_antsBM,011_16months_DTI_antsBM,011_20months_DTI_antsBM,011_24months_DTI_antsBM,011_28months_DTI_antsBM,011_32months_DTI_antsBM,012_18months_DTI_antsBM,012_22months_DTI_antsBM,013_17months_DTI_antsBM,013_21months_DTI_antsBM,014_17months_DTI_antsBM,014_21months_DTI_antsBM,016_16months_DTI_antsBM,016_20months_DTI_antsBM,017_15months_DTI_antsBM,017_19months_DTI_antsBM,018_15months_DTI_antsBM,018_19months_DTI_antsBM,019_16months_DTI_antsBM,019_20months_DTI_antsBM,026_15months_DTI_antsBM,026_19months_DTI_antsBM,027_15months_DTI_antsBM,027_19months_DTI_antsBM,029_16months_DTI_antsBM,029_20months_DTI_antsBM,030_16months_DTI_antsBM,030_20months_DTI_antsBM,Atlas
-14.3111,0.000763031,0.00090138,0.000743692,0.000812008,0.000841723,0.000612817,0.000645616,0.00102938,0.00023175,0.000116967,0.00051916,0.000364856,0.000979106,0.000767519,0.000183935,0.000828463,0.000664287,0.000581468,0.000869019,0.000660094,0.000371676,0.00071817,0.000231226,0.000812577,0.00095571,0.000742595,0.000614897,0.000443202,0.000539163,0.00142016,0.00166408,0.00029137,0.000467564,0.000207384,0.000130025,0.000820665,0.000559701,0.000638408,0.000273512,0.000659849,0.00038618,0.000286093,0.00105564,0.000715595,0.000666551,0.000830626,3.92545e-05,0.000489927,0.00045694,0.000768765,0.00074837,0.000876034,0.000673214,0.000632481,0.000929589,0.000969117,0.000737217,0.000766234,5.5488e-06
-13.8111,0.000748333,0.000990055,0.000628734,0.000761535,0.000890965,0.000663457,0.000681675,0.000981903,0.00031273,0.00020503,0.000487876,0.000591006,0.000882465,0.000889474,0.000299181,0.000904291,0.000714778,0.000588163,0.000794115,0.000611861,0.000425774,0.000578779,0.000275668,0.000869059,0.000747203,0.000675701,0.000560747,0.000389606,0.000583377,0.00142558,0.001609,0.000512314,0.000488671,0.000345026,0.000315696,0.00087507,0.000408169,0.000589952,0.000262374,0.000627236,0.000552665,0.000308947,0.000877823,0.00086557,0.000783176,0.000711207,0.000146543,0.000353919,0.000556101,0.000777074,0.000831432,0.000879335,0.000744337,0.000711677,0.000850087,0.000912042,0.000880399,0.000853374,1.02976e-05
-13.3111,0.000792008,0.0010766,0.000667503,0.000727161,0.000962052,0.000793371,0.000781897,0.00101775,0.00046865,0.00026108,0.000468698,0.000751834,0.000753855,0.00108514,0.000490753,0.00107803,0.000812276,0.00082264,0.00078671,0.000581214,0.000452105,0.000582235,0.000400191,0.00102689,0.000733896,0.000839371,0.000561226,0.000505881,0.000613467,0.00144003,0.00159198,0.00068866,0.000610907,0.000481724,0.000513219,0.00101325,0.000453,0.000629079,0.000270016,0.00068601,0.000819528,0.000504543,0.000811256,0.00109591,0.00097766,0.000671461,0.00035481,0.000451838,0.000589787,0.000872279,0.00101917,0.0010115,0.000885364,0.000888369,0.000932866,0.00106694,0.0010149,0.000993346,2.42864e-05
-12.8111,0.000866293,0.00114443,0.000726301,0.0006909,0.00101026,0.000903471,0.00081786,0.00105002,0.00061852,0.000273814,0.000472959,0.000854942,0.000598273,0.00122816,0.000709949,0.00122345,0.000897046,0.00100688,0.000824389,0.000570432,0.000465268,0.000660991,0.000485745,0.00115336,0.000832878,0.0009769,0.000621411,0.000659431,0.000647091,0.00141982,0.00154182,0.000805184,0.000762655,0.000618906,0.000694462,0.00113871,0.000580288,0.000720083,0.000391676,0.000785121,0.00104934,0.00072801,0.000832616,0.00129115,0.00114379,0.000772533,0.000584186,0.000685943,0.000537267,0.000950821,0.0011602,0.00112636,0.00101806,0.00111802,0.00106239,0.00121114,0.00109753,0.00106452,5.87899e-05
-12.3111,0.000935014,0.00118097,0.000799161,0.000712595,0.00103117,0.000999956,0.000844253,0.00107405,0.000743801,0.000314304,0.000491972,0.000879764,0.000459111,0.00132466,0.000898174,0.00131628,0.000978042,0.00113773,0.000876569,0.000608204,0.000492714,0.000736204,0.000582224,0.00124036,0.000929284,0.0010648,0.000710044,0.000785597,0.000732428,0.00137231,0.00146813,0.00089828,0.000894594,0.000730538,0.000836288,0.00122089,0.000713384,0.000809046,0.000567421,0.000883022,0.00123596,0.000932198,0.000908927,0.00143622,0.00127245,0.000898449,0.000788175,0.0009333,0.000554914,0.0010093,0.00124792,0.00122433,0.00112399,0.00131355,0.00116555,0.00132034,0.00116891,0.001121,0.000123695
-11.8111,0.000988937,0.00117786,0.000890917,0.00075575,0.00101768,0.00107724,0.000878719,0.00108271,0.000865608,0.000401713,0.000571836,0.000843148,0.000353405,0.00137708,0.00104559,0.00134686,0.00102327,0.00122571,0.000935847,0.000703594,0.000532674,0.000797021,0.000694686,0.00129319,0.00102657,0.00115038,0.000819528,0.000921646,0.000841069,0.00128593,0.00136678,0.000953671,0.000996381,0.000814909,0.000939433,0.00126054,0.000867798,0.000896697,0.000766573,0.000984966,0.00139502,0.0011379,0.00103016,0.0015176,0.00135952,0.000997584,0.000975168,0.00118278,0.000701784,0.00104968,0.0013042,0.00132212,0.00121196,0.00145953,0.00125486,0.00140835,0.00121975,0.00115309,0.000232398
-11.3111,0.000999876,0.00110325,0.000932965,0.000802008,0.000950589,0.0010757,0.00085683,0.00105027,0.000919732,0.000500812,0.000725854,0.000746662,0.000317104,0.00132097,0.00107248,0.00124315,0.000981345,0.00116763,0.000960792,0.000839716,0.000563085,0.000792862,0.000738788,0.00125293,0.00106582,0.00113825,0.00091091,0.000988371,0.000931189,0.00116414,0.00123928,0.000927599,0.00101138,0.000840798,0.00094712,0.00119231,0.000946021,0.000927243,0.000947432,0.00104169,0.0014369,0.00124085,0.00113743,0.00145621,0.00132966,0.00105703,0.00105571,0.00131236,0.000914761,0.00102462,0.00126556,0.00136291,0.00122487,0.00146268,0.00126325,0.00137833,0.00120388,0.001117,0.000362803
-10.8111,0.000965544,0.000985647,0.000925188,0.000839223,0.000855597,0.0010126,0.000807897,0.000991837,0.000913031,0.0006052,0.000898029,0.000667192,0.000351771,0.00119594,0.000977874,0.00105676,0.000878782,0.00103219,0.000940153,0.00098353,0.000590955,0.000702992,0.000713931,0.00115771,0.00102524,0.00108383,0.000936273,0.000977134,0.00097479,0.00104012,0.00112936,0.00085715,0.000950233,0.000826861,0.000894831,0.00106046,0.000913334,0.000874968,0.00102504,0.00104266,0.00138848,0.00122954,0.00116073,0.0012933,0.0012337,0.00101835,0.00103085,0.00126256,0.0011505,0.000961769,0.00118553,0.00135314,0.00117457,0.00131789,0.00118671,0.00125408,0.00114322,0.00106218,0.000480532
-10.3111,0.000933801,0.000890017,0.000890979,0.000838392,0.000771383,0.000926954,0.000751044,0.000927862,0.000896264,0.000649083,0.00104392,0.000680425,0.00041127,0.00105988,0.000863498,0.00088231,0.000771619,0.000895706,0.000899152,0.00107241,0.000635571,0.000608948,0.000637718,0.00106288,0.000980612,0.00103758,0.000906507,0.00093774,0.000943934,0.000942815,0.00105181,0.000792024,0.00087869,0.000825397,0.000850336,0.000948296,0.000841225,0.000803972,0.00102593,0.0010266,0.00130418,0.00115993,0.00109966,0.00111917,0.00114368,0.0009567,0.000978503,0.00113775,0.00124613,0.000901744,0.00111249,0.00130451,0.00110226,0.00114875,0.00108349,0.00110335,0.00105888,0.00100387,0.000573045
-9.81114,0.000924245,0.000851239,0.000871543,0.000858421,0.000717641,0.00085247,0.000707728,0.000877414,0.000888825,0.000627838,0.00110496,0.000745709,0.000455055,0.000949156,0.000790598,0.000773389,0.000713285,0.000802049,0.000871888,0.00109875,0.000704303,0.00059541,0.000570268,0.000987507,0.000961962,0.00100143,0.000865796,0.000884651,0.000889658,0.000884053,0.00101978,0.000769441,0.000835324,0.000850358,0.000832521,0.000890993,0.00078678,0.000761342,0.00100968,0.00100915,0.0012084,0.00107143,0.00101648,0.000993785,0.00109124,0.000937881,0.000938912,0.00102675,0.00118517,0.000874433,0.00105955,0.00123798,0.00103381,0.00103333,0.000991092,0.000977626,0.000976632,0.000963617,0.000661052
