Arc_length vs Data,001_16months_DTI_antsBM,001_20months_DTI_antsBM,001_24months_DTI_antsBM,001_28months_DTI_antsBM,002_16months_DTI_antsBM,002_20months_DTI_antsBM,002_24months_DTI_antsBM,002_28months_DTI_antsBM,004_16months_DTI_antsBM,004_20months_DTI_antsBM,004_24months_DTI_antsBM,004_28months_DTI_antsBM,004_32months_DTI_antsBM,005_20months_DTI_antsBM,005_24months_DTI_antsBM,005_28months_DTI_antsBM,005_32months_DTI_antsBM,005_36months_DTI_antsBM,006_20months_DTI_antsBM,006_24months_DTI_antsBM,006_28months_DTI_antsBM,006_32months_DTI_antsBM,006_36months_DTI_antsBM,007_16months_DTI_antsBM,007_20months_DTI_antsBM,007_24months_DTI_antsBM,008_16months_DTI_antsBM,008_20months_DTI_antsBM,008_24months_DTI_antsBM,010_18months_DTI_antsBM,010_22months_DTI_antsBM,011_16months_DTI_antsBM,011_20months_DTI_antsBM,011_24months_DTI_antsBM,011_28months_DTI_antsBM,011_32months_DTI_antsBM,012_18months_DTI_antsBM,012_22months_DTI_antsBM,013_17months_DTI_antsBM,013_21months_DTI_antsBM,014_17months_DTI_antsBM,014_21months_DTI_antsBM,016_16months_DTI_antsBM,016_20months_DTI_antsBM,017_15months_DTI_antsBM,017_19months_DTI_antsBM,018_15months_DTI_antsBM,018_19months_DTI_antsBM,019_16months_DTI_antsBM,019_20months_DTI_antsBM,026_15months_DTI_antsBM,026_19months_DTI_antsBM,027_15months_DTI_antsBM,027_19months_DTI_antsBM,029_16months_DTI_antsBM,029_20months_DTI_antsBM,030_16months_DTI_antsBM,030_20months_DTI_antsBM,Atlas
-14.4637,0.00108662,0.00119257,0.000708587,0.000911006,0.00122842,0.00106185,0.00125329,0.00114428,0.000790624,0.000566665,0.000374241,0.00117044,0.000220238,0.00152564,0.0014873,0.00151632,0.00139574,0.00143908,0.00112247,0.000248711,0.000752429,0.000742654,0.000542102,0.00143452,0.00136408,0.00144429,0.000934568,0.000902145,0.00075841,0.00144096,0.00144393,0.00097256,0.00134691,0.000987782,0.000990816,0.00127006,0.000919286,0.000892029,0.000763673,0.000856036,0.0015169,0.00134649,0.00152687,0.001733,0.00122715,0.00153083,0.00129304,0.00136478,0.00108291,0.000617985,0.0013655,0.00116311,0.00120564,0.00158129,0.00149138,0.00142839,0.00115199,0.00120047,0.000166222
-13.9637,0.0010677,0.00114772,0.000791199,0.000933526,0.00119743,0.00110005,0.00117972,0.00116016,0.000850464,0.00068752,0.000586634,0.00114283,0.000373024,0.00149001,0.00143812,0.00145063,0.00133512,0.0013982,0.00111918,0.000281243,0.000845945,0.000777318,0.000554187,0.0014127,0.00132235,0.00145944,0.0009899,0.000918286,0.000845333,0.00141105,0.00137579,0.00100867,0.00129517,0.000992856,0.000881872,0.00124294,0.000994938,0.000968543,0.00086097,0.000912421,0.00148859,0.00134382,0.00152221,0.00164705,0.00123771,0.00152049,0.00125479,0.00139594,0.00120353,0.000707875,0.00137743,0.00126535,0.00122514,0.00156445,0.00153191,0.00146752,0.00121257,0.00118476,0.000266068
-13.4637,0.00102096,0.00107644,0.000812526,0.000899493,0.00113506,0.00109451,0.0010687,0.00112398,0.000876971,0.000740349,0.000693848,0.00109459,0.000428949,0.00143598,0.00136589,0.00135707,0.00124073,0.00132316,0.00106474,0.00034412,0.000890648,0.000720869,0.000488549,0.00136836,0.00125932,0.00141844,0.000997709,0.000923297,0.00089468,0.00126533,0.00124782,0.00100526,0.00120359,0.000971098,0.000797839,0.00117525,0.00102687,0.000995391,0.000910803,0.000954861,0.00143365,0.0013122,0.00145813,0.00151726,0.00122846,0.00145914,0.00119348,0.00138194,0.00129617,0.000793652,0.00136612,0.00131209,0.00121871,0.00149398,0.00151749,0.00145099,0.00124304,0.00114026,0.000379586
-12.9637,0.000945796,0.000974336,0.000800955,0.000836567,0.00105036,0.00105915,0.000973771,0.00106053,0.000884667,0.000772702,0.000774657,0.00103747,0.000449348,0.00136062,0.00127466,0.00123836,0.00112103,0.00121615,0.000983137,0.000402297,0.000908237,0.000635205,0.000411336,0.00130952,0.00117341,0.00134904,0.000984068,0.000915712,0.000918132,0.00103383,0.00108185,0.000974207,0.00109093,0.000930856,0.000747842,0.00107998,0.00100891,0.000975057,0.00094351,0.000977084,0.00135287,0.00125639,0.00134887,0.00135993,0.00119395,0.00135882,0.00110697,0.0013237,0.00133258,0.000863631,0.0013354,0.00132513,0.00118782,0.00138793,0.00146544,0.00139253,0.00123249,0.00108451,0.000499717
-12.4637,0.000829357,0.000832766,0.000768699,0.000746809,0.000928165,0.00098888,0.000849411,0.00096256,0.000878811,0.000793157,0.000893637,0.000961172,0.000506561,0.00123,0.00113572,0.00105843,0.000965496,0.00105841,0.000868827,0.000442763,0.000913305,0.000525953,0.00031479,0.00121737,0.00105038,0.00122365,0.000943762,0.000888493,0.0009179,0.000744974,0.000878512,0.000919666,0.000944204,0.00086971,0.000677768,0.000958949,0.00094003,0.000906299,0.000966126,0.000987311,0.00123328,0.00116929,0.00118249,0.00114622,0.00112632,0.0012004,0.000980897,0.0012235,0.00131606,0.000939818,0.00127686,0.00129358,0.0011179,0.00122441,0.0013606,0.00128281,0.00118557,0.00100794,0.000641338
-11.9637,0.00073689,0.00071817,0.000714975,0.000680985,0.000809277,0.000884552,0.000752676,0.00085379,0.000845299,0.000760844,0.000935232,0.000897555,0.000527521,0.00107873,0.00100114,0.000887783,0.000841087,0.000906318,0.000759887,0.000430673,0.000875941,0.000439128,0.000231548,0.00111614,0.000937284,0.00108335,0.000868273,0.00083495,0.000856151,0.000544356,0.000750561,0.000854644,0.000842095,0.000822011,0.00066505,0.000866121,0.000818499,0.000798737,0.00094522,0.000963081,0.00111287,0.00107819,0.00102249,0.000977827,0.00103872,0.0010312,0.000866626,0.00108084,0.00118643,0.000968792,0.00119399,0.00119259,0.00101974,0.00106331,0.00121557,0.00113271,0.00108329,0.000934317,0.000728234
-11.4637,0.000706559,0.000672303,0.000704705,0.000683963,0.000723724,0.000789876,0.000700067,0.00077961,0.000814465,0.000727556,0.000932876,0.000851858,0.000562963,0.000940896,0.000904807,0.000774017,0.000777436,0.000806415,0.000699215,0.000375798,0.000843344,0.000447124,0.000217292,0.0010212,0.000858821,0.000977942,0.000800344,0.000770653,0.000777566,0.000520973,0.000745279,0.000820951,0.000810019,0.000807971,0.000674547,0.000830349,0.000731685,0.000727715,0.000920207,0.000926888,0.00102402,0.00101283,0.000929553,0.000898571,0.000962581,0.000911831,0.000792561,0.000963184,0.00103462,0.000972583,0.00111723,0.00109771,0.00093244,0.000963216,0.00108969,0.0010068,0.000970249,0.000878682,0.000773496
-10.9637,0.000726832,0.000686385,0.000731679,0.000724997,0.000667582,0.000718285,0.000650871,0.00073549,0.000786225,0.000698508,0.000868677,0.000799461,0.000584275,0.000836224,0.00084582,0.00072143,0.000754894,0.000762419,0.000674018,0.000323985,0.00082035,0.00050066,0.000238824,0.000930134,0.000806723,0.000904016,0.000744579,0.000713542,0.000709839,0.000616429,0.000809179,0.000818288,0.000808159,0.000811657,0.000670934,0.000825928,0.000714242,0.000721793,0.000898929,0.000897198,0.000964377,0.000973199,0.000893048,0.000877765,0.000910072,0.000846105,0.00075502,0.000891959,0.000943877,0.000980124,0.0010569,0.0010438,0.000882376,0.0009224,0.000998,0.000922971,0.000874813,0.000825348,0.000809642
-10.4637,0.000752693,0.000709289,0.00075697,0.000749825,0.000626682,0.000661431,0.000612896,0.000700681,0.00074811,0.000663885,0.000742048,0.000730671,0.000553541,0.000771399,0.000811735,0.000709989,0.00073264,0.000745008,0.000654563,0.000302314,0.00077867,0.000547304,0.000294102,0.00083938,0.000762549,0.000843917,0.000698325,0.000668812,0.000659716,0.000693578,0.000852672,0.000815972,0.000788167,0.000801545,0.000667312,0.000810654,0.000734306,0.000740731,0.000868805,0.00086145,0.000910647,0.000932906,0.000863868,0.000868073,0.000866294,0.000808556,0.000730485,0.000852327,0.000919823,0.00098312,0.0010026,0.00102192,0.000861169,0.000908858,0.000929892,0.000863241,0.000794412,0.000769828,0.000851133
-9.96372,0.000738577,0.00070468,0.000743366,0.000724253,0.000590337,0.000610877,0.00058324,0.000660592,0.000693055,0.000615688,0.00062539,0.00065688,0.000523816,0.000728851,0.000776354,0.000702717,0.000699517,0.00072687,0.000627563,0.000312751,0.000711557,0.000569332,0.000362148,0.000750927,0.00071615,0.00077479,0.000656695,0.000634924,0.000617028,0.00069993,0.000834965,0.000789172,0.000733011,0.000756852,0.000644753,0.000777315,0.000739588,0.000730064,0.000817483,0.000804442,0.000852271,0.000876153,0.000808357,0.000834818,0.000813822,0.000770872,0.000708788,0.000824687,0.000912667,0.000961722,0.000945082,0.000999021,0.000845115,0.000887446,0.000865351,0.000809648,0.000728639,0.000719909,0.000879659
-9.46372,0.000690408,0.000663208,0.000692279,0.000665892,0.000554051,0.000563611,0.000552039,0.000612802,0.00063197,0.000560518,0.000558077,0.000600933,0.000512761,0.000684483,0.000723151,0.000671452,0.000652333,0.000688505,0.000591184,0.00034095,0.000632205,0.000568048,0.000432895,0.000670735,0.000664374,0.000690361,0.00061467,0.000606736,0.000578512,0.000667944,0.000768896,0.000733966,0.000662324,0.000697192,0.000606928,0.000737105,0.000711547,0.000680321,0.000742665,0.000732395,0.000783213,0.000802483,0.000731087,0.000771242,0.00075092,0.000727631,0.000687888,0.00079889,0.00087793,0.000905223,0.000872142,0.000942194,0.000816796,0.000844592,0.000796734,0.000748906,0.000691006,0.000688544,0.000873438
-8.96372,0.000634461,0.000607414,0.000632571,0.000609648,0.000521988,0.000528601,0.000526719,0.000568442,0.000584183,0.000517995,0.000536773,0.000577644,0.000521946,0.0006313,0.000656379,0.000618817,0.000599874,0.000634566,0.000558613,0.000394184,0.00056926,0.000567866,0.000490967,0.00060488,0.00061283,0.000606655,0.000580472,0.000582031,0.000548862,0.000626709,0.000686387,0.000667854,0.000601671,0.00064616,0.00056963,0.000704497,0.000677569,0.000617905,0.000666464,0.000662921,0.000717871,0.000729519,0.000656287,0.000696477,0.000691954,0.000688559,0.000675069,0.000779038,0.000810196,0.00082592,0.000793287,0.000863825,0.000775497,0.000789922,0.000729555,0.000688984,0.000690909,0.000682781,0.00084168
-8.46372,0.000595222,0.000564079,0.00059155,0.000576545,0.000506264,0.00051868,0.000521544,0.000546972,0.000561101,0.000508066,0.000542345,0.00058494,0.000539615,0.000581479,0.000596375,0.000566939,0.00055835,0.000586659,0.000544972,0.000463127,0.000546595,0.000577439,0.000527284,0.000564206,0.000568898,0.000548408,0.000559243,0.00056577,0.000535363,0.000599503,0.000626279,0.000613637,0.000565195,0.00061362,0.000544165,0.000683376,0.000660582,0.000578793,0.000617855,0.000621249,0.00067101,0.000678249,0.000606445,0.000638377,0.000655114,0.000670911,0.000671281,0.000770023,0.000730964,0.000753308,0.000729021,0.000794131,0.000735951,0.00074062,0.000680511,0.000648607,0.000720356,0.000698538,0.000806843
