Arc_length vs Data,001_16months_DTI_antsBM,001_20months_DTI_antsBM,001_24months_DTI_antsBM,001_28months_DTI_antsBM,002_16months_DTI_antsBM,002_20months_DTI_antsBM,002_24months_DTI_antsBM,002_28months_DTI_antsBM,004_16months_DTI_antsBM,004_20months_DTI_antsBM,004_24months_DTI_antsBM,004_28months_DTI_antsBM,004_32months_DTI_antsBM,005_20months_DTI_antsBM,005_24months_DTI_antsBM,005_28months_DTI_antsBM,005_32months_DTI_antsBM,005_36months_DTI_antsBM,006_20months_DTI_antsBM,006_24months_DTI_antsBM,006_28months_DTI_antsBM,006_32months_DTI_antsBM,006_36months_DTI_antsBM,007_16months_DTI_antsBM,007_20months_DTI_antsBM,007_24months_DTI_antsBM,008_16months_DTI_antsBM,008_20months_DTI_antsBM,008_24months_DTI_antsBM,010_18months_DTI_antsBM,010_22months_DTI_antsBM,011_16months_DTI_antsBM,011_20months_DTI_antsBM,011_24months_DTI_antsBM,011_28months_DTI_antsBM,011_32months_DTI_antsBM,012_18months_DTI_antsBM,012_22months_DTI_antsBM,013_17months_DTI_antsBM,013_21months_DTI_antsBM,014_17months_DTI_antsBM,014_21months_DTI_antsBM,016_16months_DTI_antsBM,016_20months_DTI_antsBM,017_15months_DTI_antsBM,017_19months_DTI_antsBM,018_15months_DTI_antsBM,018_19months_DTI_antsBM,019_16months_DTI_antsBM,019_20months_DTI_antsBM,026_15months_DTI_antsBM,026_19months_DTI_antsBM,027_15months_DTI_antsBM,027_19months_DTI_antsBM,029_16months_DTI_antsBM,029_20months_DTI_antsBM,030_16months_DTI_antsBM,030_20months_DTI_antsBM,Atlas
-20.3931,0.000632347,0.000640419,0.000611123,0.000622428,0.00041074,0.00056288,0.000706695,0.000677149,0.000714081,0.000561006,0.00056529,0.000613878,0.000632421,0.000612717,0.000618264,0.000586226,0.000631335,0.000687553,0.000593723,0.00060809,0.000641039,0.000849236,0.000636379,0.000613221,0.000535778,0.000615797,0.000617845,0.000567862,0.000613812,0.000585336,0.000325082,0.000649195,0.000598702,0.000704937,0.000737881,0.000585937,0.000655248,0.000440926,0.000540377,0.00057638,0.000633492,0.000710044,0.000655343,0.000659658,0.00061269,0.000672853,0.000632226,0.000745249,0.00068551,0.000666688,0.000654567,0.000729443,0.000753828,0.000681312,0.000644936,0.000728573,0.00074779,0.00076439,0.000593391
-19.8931,0.000635427,0.000639266,0.000610799,0.000628157,0.000437219,0.000592462,0.000752302,0.000737014,0.000723959,0.000564008,0.000565967,0.000605205,0.00061163,0.000609534,0.000629537,0.000596891,0.000631675,0.000676929,0.000594945,0.000606071,0.000685141,0.000958147,0.000620452,0.000614644,0.000545401,0.000624329,0.000627912,0.000569705,0.000622586,0.000606987,0.000351447,0.000641458,0.00060069,0.000707299,0.000745227,0.000593064,0.00065803,0.000463607,0.000549297,0.000594364,0.000630794,0.000701118,0.00065036,0.000664047,0.000613974,0.000672152,0.000649918,0.000756535,0.000675017,0.000655564,0.00064114,0.000721282,0.000752445,0.000664433,0.000638398,0.000723702,0.000754596,0.000759999,0.000588726
-19.3931,0.000634421,0.000634668,0.000607307,0.000622247,0.000450054,0.000638474,0.000830354,0.000869978,0.000730005,0.000578704,0.000569212,0.000607606,0.000594321,0.000604754,0.00063785,0.000616547,0.000628368,0.000668004,0.000592754,0.000599867,0.000697454,0.00109691,0.000595315,0.000614377,0.000562109,0.000634151,0.00063702,0.000584275,0.000644022,0.000644471,0.000409474,0.000630781,0.000599863,0.000701035,0.000714501,0.000604903,0.000669661,0.000463484,0.000564112,0.000622683,0.000617272,0.000689724,0.000640429,0.000656996,0.000626017,0.000680436,0.000671553,0.000776247,0.000659707,0.000644036,0.000646171,0.000703405,0.000746224,0.00063755,0.000643546,0.000719214,0.000777976,0.000753143,0.000554134
-18.8931,0.00062028,0.00062756,0.000614149,0.000611238,0.000453407,0.000688946,0.000975353,0.00102941,0.000733259,0.000592765,0.000574828,0.000603773,0.000578891,0.00060084,0.000638776,0.000633953,0.000621407,0.000662728,0.00058765,0.000588124,0.000666937,0.00119459,0.000573983,0.000608179,0.000569402,0.000635609,0.000645735,0.000594554,0.000668879,0.000677602,0.000475121,0.000621788,0.000594972,0.000685782,0.000656237,0.000621491,0.000666808,0.00047661,0.000573585,0.000639985,0.000606402,0.000680591,0.000634203,0.000631849,0.00063941,0.00069027,0.000667306,0.000787114,0.000645816,0.000636554,0.000663207,0.000682889,0.000735292,0.000617028,0.000658221,0.000721157,0.000796026,0.000742388,0.000559569
-18.3931,0.000604899,0.000618428,0.000633892,0.000605794,0.000453726,0.000724904,0.00114453,0.00108573,0.000721119,0.000602518,0.000583305,0.000597365,0.000573869,0.000599242,0.000633646,0.000639038,0.000612894,0.000662255,0.000588269,0.000574829,0.00061919,0.00115763,0.000562534,0.00060581,0.000573208,0.000631172,0.000656285,0.000604393,0.00068507,0.000694338,0.000522135,0.00061658,0.000591784,0.000666309,0.0006059,0.000641357,0.000653968,0.000522157,0.000579514,0.000652395,0.000606863,0.000680394,0.000643453,0.000608429,0.000646523,0.00069775,0.000650004,0.000787082,0.000642668,0.000635577,0.000679809,0.000668535,0.000723834,0.000613644,0.000681519,0.000730784,0.000799815,0.000727916,0.000589444
-17.8931,0.000593053,0.000609004,0.000669858,0.000614467,0.00046457,0.000741927,0.00124112,0.00103122,0.0007009,0.00060881,0.000592837,0.000592236,0.000578881,0.000598678,0.000627382,0.000633717,0.000608583,0.000663406,0.000595669,0.000566861,0.000581638,0.00101888,0.000558667,0.000613252,0.000579522,0.000626049,0.000664483,0.000614397,0.000692301,0.000697092,0.000544659,0.000617291,0.000592267,0.000647211,0.000579334,0.000661863,0.000635862,0.000600708,0.000584792,0.00066203,0.000616913,0.000687459,0.000668311,0.000593271,0.000644924,0.000702316,0.000634519,0.000781799,0.000651547,0.000640681,0.000689975,0.000658885,0.000712606,0.000618345,0.000703701,0.000742981,0.000792377,0.000713357,0.000626819
-17.3931,0.000584441,0.000600325,0.000719544,0.000634645,0.000489709,0.000743208,0.00123598,0.00091283,0.000679599,0.000614874,0.00060263,0.000590513,0.000587291,0.000597339,0.000622278,0.000623705,0.000609437,0.000663101,0.000608502,0.000565371,0.000559249,0.000848517,0.000560325,0.000627071,0.000589736,0.000623889,0.000670116,0.000621526,0.000694733,0.000691605,0.0005513,0.000621154,0.000597919,0.000628331,0.000570152,0.00068279,0.000616157,0.00068874,0.00059187,0.000667519,0.000632152,0.000697702,0.000725671,0.000585024,0.000638834,0.000705076,0.00062867,0.000777594,0.000669776,0.000650057,0.000695107,0.00065238,0.000701482,0.000625549,0.000719243,0.000754963,0.000778727,0.000699092,0.00066504
-16.8931,0.0005805,0.000593965,0.000767782,0.00066101,0.000526015,0.000729671,0.00112555,0.000765865,0.000662164,0.000624385,0.000612685,0.000597218,0.000597416,0.000599014,0.000622713,0.000611665,0.000617275,0.000661791,0.000624449,0.000570763,0.000552008,0.00068319,0.000566466,0.000642186,0.000604185,0.000626511,0.000668874,0.000624541,0.000691355,0.000680326,0.000546082,0.000625295,0.000608087,0.000614595,0.000574777,0.000703997,0.000600255,0.000758992,0.000601459,0.00066895,0.000648712,0.00070803,0.000823306,0.000584204,0.000631907,0.000706363,0.000634813,0.000775587,0.000694036,0.000663047,0.000696932,0.000650707,0.000691266,0.000631739,0.000724381,0.000763598,0.000762945,0.000686315,0.000694462
-16.3931,0.000579834,0.000591475,0.000792921,0.000683284,0.000568532,0.000709777,0.000938079,0.000649609,0.000656705,0.000639964,0.000623852,0.000614059,0.000607184,0.000611486,0.000633675,0.000600817,0.000650084,0.000662009,0.000637649,0.000581788,0.000553373,0.000567998,0.00057415,0.000650475,0.000618439,0.000633776,0.000657082,0.000620909,0.000683441,0.000666902,0.00053666,0.000627654,0.000619526,0.000610084,0.000586709,0.000721626,0.000588804,0.00077582,0.000612632,0.000663495,0.000661402,0.000714512,0.000918208,0.000587527,0.000627546,0.00070642,0.000648241,0.000773948,0.000717688,0.000677401,0.000698574,0.00065455,0.000683667,0.000635806,0.000716067,0.000764024,0.000749028,0.000678212,0.000712467
-15.8931,0.000580577,0.00059258,0.000775851,0.000687433,0.00060488,0.000695184,0.000757771,0.00059998,0.000664094,0.000659276,0.00063688,0.000637731,0.000617474,0.000645635,0.000657458,0.000594784,0.000732989,0.000659679,0.000641406,0.000592977,0.000554118,0.000519411,0.000581341,0.000645364,0.000626606,0.000641458,0.000637872,0.000609862,0.000673717,0.000656775,0.000534346,0.000625497,0.000626317,0.000613489,0.000599116,0.000730047,0.000584911,0.000722952,0.000622131,0.000653366,0.000664626,0.0007133,0.000941691,0.000592267,0.000629332,0.000705915,0.000658978,0.000766682,0.00073157,0.000687639,0.000702447,0.000662383,0.000679919,0.000640068,0.000698597,0.000754104,0.000738078,0.000676471,0.000720544
