Arc_length vs Data,001_16months_DTI_antsBM,001_20months_DTI_antsBM,001_24months_DTI_antsBM,001_28months_DTI_antsBM,002_16months_DTI_antsBM,002_20months_DTI_antsBM,002_24months_DTI_antsBM,002_28months_DTI_antsBM,004_16months_DTI_antsBM,004_20months_DTI_antsBM,004_24months_DTI_antsBM,004_28months_DTI_antsBM,004_32months_DTI_antsBM,005_20months_DTI_antsBM,005_24months_DTI_antsBM,005_28months_DTI_antsBM,005_32months_DTI_antsBM,005_36months_DTI_antsBM,006_20months_DTI_antsBM,006_24months_DTI_antsBM,006_28months_DTI_antsBM,006_32months_DTI_antsBM,006_36months_DTI_antsBM,007_16months_DTI_antsBM,007_20months_DTI_antsBM,007_24months_DTI_antsBM,008_16months_DTI_antsBM,008_20months_DTI_antsBM,008_24months_DTI_antsBM,010_18months_DTI_antsBM,010_22months_DTI_antsBM,011_16months_DTI_antsBM,011_20months_DTI_antsBM,011_24months_DTI_antsBM,011_28months_DTI_antsBM,011_32months_DTI_antsBM,012_18months_DTI_antsBM,012_22months_DTI_antsBM,013_17months_DTI_antsBM,013_21months_DTI_antsBM,014_17months_DTI_antsBM,014_21months_DTI_antsBM,016_16months_DTI_antsBM,016_20months_DTI_antsBM,017_15months_DTI_antsBM,017_19months_DTI_antsBM,018_15months_DTI_antsBM,018_19months_DTI_antsBM,019_16months_DTI_antsBM,019_20months_DTI_antsBM,026_15months_DTI_antsBM,026_19months_DTI_antsBM,027_15months_DTI_antsBM,027_19months_DTI_antsBM,029_16months_DTI_antsBM,029_20months_DTI_antsBM,030_16months_DTI_antsBM,030_20months_DTI_antsBM,Atlas
-20.3041,0.000514718,0.000677335,0.000569222,0.000584772,0.000785242,0.000608359,0.000546789,0.000710407,0.000426737,0.000534486,0.000546142,0.000461985,0.000583629,0.000658732,0.000496035,0.000672471,0.000541009,0.000580848,0.000518003,0.000560304,0.000374765,0.000496413,0.000546038,0.000580437,0.000633882,0.00054424,0.000601772,0.000614765,0.000622617,0.00047228,0.000303911,0.000496219,0.000571655,0.000492897,0.000459862,0.000567268,0.000569907,0.000302764,0.00048499,0.000586263,0.000600396,0.000614432,0.000615367,0.000489026,0.000550368,0.000636507,0.000564653,0.000680324,0.000628861,0.000749218,0.000690563,0.000530718,0.000623021,0.00065813,0.000592798,0.000616911,0.000709788,0.000580111,0.000713851
-19.8041,0.000511657,0.000671524,0.000522817,0.000542525,0.000775526,0.000572387,0.000502303,0.000658599,0.000403237,0.000545202,0.00054791,0.000472855,0.00059217,0.000638576,0.000483505,0.000672507,0.000513624,0.000564186,0.00049911,0.000567551,0.000350456,0.000446518,0.000551176,0.000579941,0.000632409,0.000546107,0.00059397,0.000616286,0.000622483,0.000462187,0.000301747,0.000498887,0.000568104,0.000491046,0.00048208,0.000569025,0.000567849,0.000299359,0.000492225,0.000562739,0.000607007,0.000616126,0.000596819,0.000501221,0.000561241,0.000639845,0.000571126,0.000668681,0.000632418,0.000751794,0.000678853,0.000549118,0.000637523,0.000659274,0.000596956,0.000599265,0.000704515,0.000587588,0.000709592
-19.3041,0.000526036,0.000665337,0.00049334,0.000512786,0.000764611,0.000555356,0.000482185,0.000624572,0.000385733,0.000552099,0.000548579,0.000483108,0.00059716,0.000616927,0.000475062,0.000669896,0.000496087,0.00055736,0.000485358,0.000570264,0.000336241,0.000408001,0.000556988,0.000579439,0.000629459,0.000548841,0.000591342,0.000621666,0.000621792,0.000456448,0.00030769,0.000505212,0.000565442,0.000500174,0.000503431,0.000577887,0.000566889,0.000323818,0.000503112,0.00055465,0.000614996,0.00062047,0.000583955,0.000517793,0.000570558,0.000642053,0.000582597,0.000659799,0.000636509,0.000752477,0.000669044,0.000571682,0.000649044,0.000661589,0.000601745,0.000587201,0.000701494,0.000597274,0.000702182
-18.8041,0.000546727,0.000653284,0.000473394,0.00048699,0.000746329,0.000538881,0.000464998,0.000590799,0.000389533,0.000558684,0.000548339,0.00049592,0.000599501,0.000591034,0.000469976,0.000661253,0.000479293,0.000555626,0.000473865,0.00057295,0.000330628,0.000378798,0.000563848,0.000580228,0.000624017,0.000554141,0.00059133,0.00062688,0.000616656,0.000456942,0.000324734,0.000518096,0.000561839,0.000517032,0.000530912,0.000594449,0.000561716,0.000363264,0.000519182,0.000551395,0.000623243,0.000627818,0.000572168,0.000535023,0.000580551,0.000644625,0.000596134,0.00065263,0.000642152,0.000749313,0.000657912,0.000596838,0.00065944,0.00066265,0.000605844,0.000576878,0.000699658,0.000612658,0.000688326
-18.3041,0.000570758,0.000633394,0.000467581,0.000471729,0.000725037,0.000533262,0.00046613,0.00056841,0.000418348,0.000564969,0.000548223,0.000515074,0.000600122,0.000560317,0.000472032,0.000643928,0.000468289,0.000560043,0.000471709,0.000574292,0.000345382,0.000374739,0.000571351,0.000581023,0.00061788,0.000562602,0.000594742,0.000631419,0.000610326,0.000468365,0.000358112,0.000535156,0.000558426,0.000538656,0.000560178,0.000621043,0.000559751,0.000411014,0.000541557,0.000558422,0.000631453,0.000642697,0.000566175,0.000554493,0.000591273,0.000648136,0.000613349,0.000650456,0.000651873,0.000741876,0.000647277,0.000620171,0.000668407,0.000666512,0.000611271,0.000575808,0.000701941,0.000634023,0.000669455
-17.8041,0.000591392,0.000607675,0.000476,0.000467582,0.000702974,0.000537403,0.000480833,0.0005603,0.000466866,0.000569299,0.000547985,0.000537407,0.000597257,0.000525646,0.000481392,0.000620008,0.000466716,0.000568246,0.000478226,0.000573859,0.00037662,0.000394337,0.000577995,0.000581741,0.000611341,0.000573238,0.00060071,0.000633146,0.000602695,0.000487962,0.000401961,0.000553076,0.000556742,0.000560685,0.000584724,0.000649787,0.000559708,0.000458598,0.000565628,0.000574842,0.000637207,0.000665949,0.000564815,0.000572732,0.000599981,0.000651624,0.00062905,0.000653697,0.000664327,0.000730002,0.000637101,0.000636227,0.000675312,0.000672838,0.000616899,0.000585579,0.000707197,0.00065674,0.000646951
-17.3041,0.000602143,0.000579743,0.000497485,0.000475242,0.000685368,0.000551706,0.000510714,0.000570827,0.000526679,0.000570588,0.000548922,0.000561809,0.000592261,0.00049306,0.00049949,0.000593644,0.000477822,0.000575979,0.000496185,0.000571945,0.000422544,0.000437568,0.000582209,0.000581529,0.000605994,0.000584415,0.000607421,0.000631215,0.000594986,0.000514316,0.000451512,0.000569222,0.000558526,0.000578636,0.000599221,0.000669874,0.000564361,0.000495724,0.000587318,0.000595824,0.000637848,0.000695317,0.000568651,0.000586795,0.000605652,0.000654562,0.000639643,0.000662604,0.000677774,0.000714443,0.000627286,0.000642032,0.000680571,0.000681372,0.000622307,0.000608236,0.000714947,0.000676605,0.000625127
-16.8041,0.000601577,0.000554585,0.000524498,0.000490554,0.000675305,0.000573857,0.000551384,0.000597103,0.000579671,0.000568807,0.000551819,0.000585017,0.000587232,0.000469242,0.000523339,0.000569972,0.000501999,0.000579764,0.000523749,0.000568625,0.000470251,0.000488926,0.000583114,0.000579026,0.000602667,0.000593523,0.000612364,0.000626729,0.0005875,0.000542087,0.000498378,0.000580749,0.000563772,0.000589403,0.000600997,0.000677023,0.00057387,0.000515405,0.000602316,0.000617119,0.000634086,0.000723922,0.000575343,0.000596622,0.00060787,0.000656123,0.000643881,0.000673662,0.000688921,0.000698202,0.000616995,0.000639121,0.000685784,0.000690593,0.000627071,0.000640978,0.000722666,0.000688394,0.000608154
-16.3041,0.000593237,0.000535286,0.000547102,0.000506559,0.000670351,0.000594195,0.00058973,0.000625599,0.000614529,0.000565761,0.000555795,0.000602915,0.00058406,0.000460876,0.000546701,0.000550026,0.000530762,0.000578536,0.000550826,0.000565724,0.000505169,0.000530499,0.000582088,0.000574174,0.000600574,0.000598108,0.000614012,0.000621089,0.000577943,0.000565554,0.000535426,0.000589302,0.000569915,0.000595147,0.000594658,0.00067233,0.00058382,0.000524268,0.000609571,0.000632075,0.000628687,0.000741641,0.000580007,0.000602212,0.000606906,0.000656136,0.00064324,0.000682279,0.000693909,0.000683992,0.00060524,0.000634217,0.000691926,0.000696891,0.000629732,0.000673473,0.00072666,0.000691561,0.000597921
-15.8041,0.000582593,0.000522086,0.00056056,0.000519299,0.000667604,0.00060861,0.000619458,0.000646605,0.000633309,0.00056463,0.000560163,0.000615544,0.000584929,0.000469774,0.000565241,0.000532156,0.000555165,0.000573783,0.000570291,0.000564998,0.000524331,0.000557803,0.000581125,0.000568172,0.000599732,0.000597237,0.000612956,0.000614996,0.00056561,0.00058325,0.000562896,0.000597159,0.000572638,0.000598757,0.000586278,0.000663918,0.000592804,0.00052997,0.000611842,0.000640366,0.000625544,0.000744043,0.000581088,0.000605199,0.000604745,0.000655032,0.000641774,0.000686539,0.000692,0.000673328,0.000593681,0.000631628,0.000698174,0.000700011,0.000630353,0.000697988,0.000726237,0.000689773,0.000596154
