Arc_length vs Data,001_16months_DTI_antsBM,001_20months_DTI_antsBM,001_24months_DTI_antsBM,001_28months_DTI_antsBM,002_16months_DTI_antsBM,002_20months_DTI_antsBM,002_24months_DTI_antsBM,002_28months_DTI_antsBM,004_16months_DTI_antsBM,004_20months_DTI_antsBM,004_24months_DTI_antsBM,004_28months_DTI_antsBM,004_32months_DTI_antsBM,005_20months_DTI_antsBM,005_24months_DTI_antsBM,005_28months_DTI_antsBM,005_32months_DTI_antsBM,005_36months_DTI_antsBM,006_20months_DTI_antsBM,006_24months_DTI_antsBM,006_28months_DTI_antsBM,006_32months_DTI_antsBM,006_36months_DTI_antsBM,007_16months_DTI_antsBM,007_20months_DTI_antsBM,007_24months_DTI_antsBM,008_16months_DTI_antsBM,008_20months_DTI_antsBM,008_24months_DTI_antsBM,010_18months_DTI_antsBM,010_22months_DTI_antsBM,011_16months_DTI_antsBM,011_20months_DTI_antsBM,011_24months_DTI_antsBM,011_28months_DTI_antsBM,011_32months_DTI_antsBM,012_18months_DTI_antsBM,012_22months_DTI_antsBM,013_17months_DTI_antsBM,013_21months_DTI_antsBM,014_17months_DTI_antsBM,014_21months_DTI_antsBM,016_16months_DTI_antsBM,016_20months_DTI_antsBM,017_15months_DTI_antsBM,017_19months_DTI_antsBM,018_15months_DTI_antsBM,018_19months_DTI_antsBM,019_16months_DTI_antsBM,019_20months_DTI_antsBM,026_15months_DTI_antsBM,026_19months_DTI_antsBM,027_15months_DTI_antsBM,027_19months_DTI_antsBM,029_16months_DTI_antsBM,029_20months_DTI_antsBM,030_16months_DTI_antsBM,030_20months_DTI_antsBM,Atlas
-10.9135,0.000590276,0.000607114,0.000596403,0.000575363,0.000602572,0.000561499,0.000614774,0.000655959,0.000605896,0.000596467,0.000604809,0.000629553,0.000643259,0.000532855,0.000624577,0.000589934,0.000593907,0.000627898,0.000620107,0.000625304,0.000584135,0.000603089,0.000604747,0.000654087,0.000647278,0.000673314,0.000685145,0.000655703,0.000675366,0.000680359,0.000688077,0.000661771,0.000617651,0.000648624,0.00062851,0.000682554,0.000668038,0.000660305,0.00063472,0.000688649,0.000632568,0.000706517,0.000631869,0.000693205,0.000675898,0.000720943,0.000599203,0.000758572,0.000701563,0.000705033,0.000714736,0.000792702,0.000694884,0.000704275,0.000708945,0.000685731,0.000752239,0.000690704,0.000698362
-10.4135,0.000584142,0.000589902,0.000580851,0.00056859,0.000600475,0.000576841,0.00061715,0.000641711,0.000599735,0.000583975,0.000588692,0.000605919,0.000623929,0.000547928,0.000611619,0.000588726,0.00058946,0.000610333,0.000603354,0.000611705,0.000556168,0.000589751,0.000592251,0.000653189,0.000630499,0.000664576,0.000643254,0.000628838,0.000649076,0.000669563,0.000718594,0.00065042,0.000606335,0.000626284,0.000618561,0.000661878,0.000664311,0.000647831,0.000635907,0.000690029,0.00063149,0.000704126,0.000614781,0.000673778,0.000671487,0.000713644,0.00060072,0.000756997,0.000681819,0.000680478,0.000692227,0.000759131,0.000683923,0.000690764,0.000700913,0.000670593,0.000735725,0.000665465,0.000679196
-9.91353,0.00057918,0.000573095,0.000569664,0.000560749,0.000595875,0.000584659,0.000613712,0.000622568,0.000590396,0.000579617,0.000576321,0.000585558,0.000605432,0.000547147,0.000596142,0.000579071,0.000583007,0.000587921,0.000579732,0.000598498,0.000534751,0.000575967,0.000575855,0.000646296,0.000614793,0.000650906,0.000613129,0.000600502,0.000620656,0.000639134,0.000688535,0.000625806,0.00058492,0.000599961,0.000599685,0.000645072,0.000655173,0.000635042,0.000628527,0.000678913,0.000628041,0.000695075,0.000606812,0.000662477,0.000664008,0.000707387,0.000593035,0.000744077,0.00066926,0.000663601,0.000670855,0.000733561,0.000676853,0.000688808,0.000689964,0.000653877,0.000715183,0.000645714,0.00066225
-9.41353,0.000575712,0.000560459,0.00056556,0.000556091,0.000593649,0.000587003,0.000607859,0.000608601,0.000582175,0.000578719,0.000567709,0.000573569,0.000593003,0.00054347,0.000585743,0.000572128,0.000577166,0.000572247,0.000564314,0.00059293,0.000529931,0.000567371,0.000564482,0.000637218,0.000606269,0.000637255,0.000594566,0.000579092,0.000596056,0.000616839,0.000654855,0.000603585,0.000571595,0.000582518,0.000582575,0.000633986,0.00064422,0.000624325,0.000618982,0.00066567,0.000623254,0.000682306,0.00060072,0.000659408,0.000654332,0.000703793,0.000585104,0.000725302,0.000661098,0.00065116,0.000655463,0.000718597,0.00067142,0.000690359,0.000679918,0.000638573,0.000695883,0.000638427,0.000647461
-8.91353,0.000572443,0.000550894,0.000565041,0.000554809,0.000592718,0.000580872,0.00059861,0.000593916,0.000574066,0.000578096,0.000555901,0.000568695,0.000583508,0.000537707,0.000577704,0.000567604,0.0005711,0.000563631,0.000553427,0.000588486,0.00052783,0.000560509,0.000555071,0.0006247,0.000599256,0.000621525,0.000584459,0.000564059,0.000573312,0.000595404,0.000619364,0.000583946,0.000562687,0.000568092,0.000565838,0.000626103,0.000628187,0.00061407,0.00060538,0.000651447,0.000614015,0.000664879,0.000589911,0.000655677,0.000641655,0.000699389,0.000576365,0.000702527,0.00065357,0.000641093,0.000642724,0.000706518,0.000662686,0.000690677,0.000669539,0.000624911,0.000678436,0.000641018,0.000631008
-8.41353,0.000566027,0.000546289,0.000567994,0.000555459,0.00059372,0.000564111,0.000586379,0.000579976,0.000568976,0.000574609,0.000540438,0.000568837,0.000576906,0.000527397,0.000572376,0.000564529,0.000564315,0.000565138,0.00055002,0.000583632,0.000526828,0.000555437,0.000547792,0.000609114,0.000593514,0.000605739,0.000584644,0.000558661,0.000560047,0.00057801,0.000584029,0.000570976,0.000559404,0.000558325,0.000554187,0.000623558,0.000605684,0.000604443,0.000588834,0.000637479,0.000599518,0.000642425,0.000572763,0.000648024,0.000624513,0.000691862,0.000568797,0.000681219,0.000646572,0.000635597,0.000635966,0.000698174,0.000650339,0.000684863,0.000658778,0.000615645,0.000665462,0.000652402,0.000615629
-7.91353,0.000553504,0.000543158,0.000564773,0.000551893,0.00059158,0.000538351,0.000570717,0.000563262,0.000565941,0.000563773,0.000518011,0.000565625,0.000568607,0.000514128,0.000563693,0.000559888,0.000552391,0.000571324,0.000552284,0.000573886,0.000520289,0.000547286,0.00053993,0.000590745,0.000582504,0.000589189,0.000585379,0.000558237,0.000553727,0.000564454,0.000563151,0.000564063,0.000553736,0.000548422,0.000547508,0.000621655,0.00057919,0.000593111,0.000569532,0.000624793,0.000577138,0.000618457,0.000545864,0.0006272,0.0006031,0.000676104,0.000561134,0.000668126,0.000633644,0.000630625,0.000631337,0.000685165,0.000630253,0.000663487,0.000645928,0.000610317,0.000654406,0.000658643,0.000601353
-7.41353,0.000532849,0.000531304,0.000545528,0.000534688,0.000579771,0.000510984,0.000551059,0.00053897,0.000557991,0.000544373,0.000491228,0.000550632,0.000547957,0.000496247,0.000542441,0.000544878,0.000532177,0.000565359,0.000547983,0.000553747,0.000502165,0.000530746,0.000524534,0.000567679,0.000556774,0.000569439,0.000573225,0.000547259,0.000543478,0.000541697,0.000545565,0.000552363,0.000534129,0.000528956,0.000540225,0.000613049,0.000550401,0.000577139,0.000547343,0.000605479,0.000546342,0.000593332,0.000510632,0.00059372,0.000579485,0.000651136,0.000546993,0.000661071,0.000612707,0.000620828,0.000621213,0.000662772,0.000601473,0.00062868,0.00062748,0.000604378,0.0006379,0.000644908,0.000588878
-6.91353,0.000508816,0.000507966,0.000514312,0.000505929,0.000557874,0.000489705,0.000525202,0.00050923,0.000541604,0.000520559,0.0004678,0.000523726,0.0005157,0.000476491,0.000509543,0.000519071,0.000502697,0.000541084,0.000533375,0.000528021,0.000482599,0.000510513,0.000503835,0.000538247,0.000520701,0.000546413,0.000546274,0.000521752,0.000518439,0.000510378,0.000520093,0.000532407,0.000503958,0.000505481,0.00052946,0.000597137,0.000526051,0.000561444,0.00052355,0.000574681,0.000513167,0.000567306,0.000478779,0.000560092,0.000554571,0.000624936,0.000525501,0.000650344,0.000587582,0.000603977,0.000606562,0.000636978,0.000571074,0.000593385,0.000606395,0.000594569,0.000615545,0.000612951,0.000582743
-6.41353,0.000493327,0.000482355,0.000480922,0.000473531,0.00053547,0.000477691,0.000502113,0.000486976,0.000519722,0.00049569,0.000456651,0.000501328,0.000481116,0.000460319,0.000477356,0.000495178,0.000473138,0.000510661,0.000515708,0.000509195,0.000472399,0.000495875,0.000487394,0.000508992,0.00048628,0.000525861,0.000517733,0.000488333,0.000483106,0.000479376,0.000493462,0.000513596,0.000480176,0.000492723,0.000517051,0.000580419,0.000517427,0.000554264,0.000501262,0.000542399,0.000486417,0.000548037,0.000461375,0.000542598,0.000533181,0.000609552,0.000500737,0.000634397,0.000568425,0.000584092,0.000594419,0.000620073,0.000549134,0.000571858,0.000589615,0.000583699,0.000602538,0.00057686,0.000587782
