ArcLength, DeltaFA
-14.9789,-0.004755463636363616
-14.4789,0.0017214999999999314
-13.9789,0.002847040000000023
-13.4789,0.0033488299999999693
-12.9789,-0.00863346000000001
-12.4789,-0.06718233333333334
-11.9789,-0.07951269999999999
-11.4789,-0.07583247619047623
-10.9789,-0.05207642857142858
-10.4789,-0.028745785714285682
-9.97891,-0.01677064285714283
-9.47891,-0.02187723809523809
-8.97891,-0.050669285714285694
-8.47891,-0.10508503174603176
-7.97891,-0.145996746031746
-7.47891,-0.18479115873015878
-6.97891,-0.22195961038961037
-6.47891,-0.2622364166666667
-5.97891,-0.29248929166666676
-5.47891,-0.3136771666666667
-4.97891,-0.3174282083333333
-4.47891,-0.2982327916666667
-3.97891,-0.24399408333333336
-3.47891,-0.1760143928571427
-2.97891,-0.10223296428571421
-2.47891,-0.0413647857142857
-1.97891,-0.006017702380952339
-1.47891,0.004554202380952277
-0.978906,0.0010470714285714111
-0.478906,-0.007805404761904694
0.021094,-0.023159125000000003
0.521094,-0.03564737499999995
1.02109,-0.045316708333333316
1.52109,-0.04739475000000001
2.02109,-0.040790041666666665
2.52109,-0.031030250000000037
3.02109,-0.024298166666666676
3.52109,-0.021515666666666627
4.02109,-0.01891279166666665
4.52109,-0.012058166666666675
5.02109,-0.0015820833333333173
5.52109,0.009044000000000024
6.02109,0.017235458333333287
6.52109,0.02111112500000001
7.02109,0.020721499999999976
7.52109,0.017545250000000012
8.02109,0.012927374999999991
8.52109,0.008158291666666595
9.02109,0.0042462916666666795
9.52109,0.002393229166666677
10.0211,0.0034139749999999996
10.5211,0.005551424999999985
11.0211,0.0075489749999999994
11.5211,0.008837383333333337
12.0211,0.008523054166666696
