ArcLength, DeltaFA
-13.5243,-0.008244624999999992
-13.0243,-0.013855166666666655
-12.5243,-0.01916177916666663
-12.0243,-0.024564620833333342
-11.5243,-0.027799358333333343
-11.0243,-0.026840374999999986
-10.5243,-0.023576999999999987
-10.0243,-0.02011433333333333
-9.52426,-0.017405300000000026
-9.02426,-0.0166996833333333
-8.52426,-0.017536883333333392
-8.02426,-0.01957198333333332
-7.52426,-0.02145310000000003
-7.02426,-0.02218939166666664
-6.52426,-0.02197011666666665
-6.02426,-0.020639083333333308
-5.52426,-0.019276533333333346
-5.02426,-0.017850466666666648
-4.52426,-0.016607250000000018
-4.02426,-0.016337000000000018
-3.52426,-0.016384749999999948
-3.02426,-0.016291375000000025
-2.52426,-0.01611695833333332
-2.02426,-0.016695374999999957
-1.52426,-0.018347333333333382
-1.02426,-0.01966866666666664
-0.524263,-0.019466416666666653
-0.0242627,-0.01714566666666667
0.475737,-0.014348875000000011
0.975737,-0.013288541666666681
1.47574,-0.01257720833333334
1.97574,-0.011152250000000002
2.47574,-0.00892416666666665
2.97574,-0.006077458333333313
3.47574,-0.0035710000000000186
3.97574,-0.002744208333333331
4.47574,-0.004428500000000002
4.97574,-0.007627441666666651
5.47574,-0.01026940833333334
5.97574,-0.010460908333333324
6.47574,-0.008160308333333338
6.97574,-0.00590839999999998
7.47574,-0.005579683333333335
7.97574,-0.00753591666666667
8.47574,-0.0098867916666667
8.97574,-0.010471083333333325
9.47574,-0.00930695833333331
9.97574,-0.0076004583333333375
10.4757,-0.007305100000000009
10.9757,-0.008790641666666682
11.4757,-0.010599541666666656
11.9757,-0.010497120833333304
12.4757,-0.007206116666666637
