ArcLength, DeltaFA
-28.7101,-0.07501909777777777
-28.2101,-0.07108594000000013
-27.7101,-0.06992684888888889
-27.2101,-0.07049893555555559
-26.7101,-0.07450730222222224
-26.2101,-0.08026547333333317
-25.7101,-0.08492889555555566
-25.2101,-0.0868707844444444
-24.7101,-0.08581445111111108
-24.2101,-0.08281773111111107
-23.7101,-0.07958609111111115
-23.2101,-0.07695414
-22.7101,-0.07424952222222223
-22.2101,-0.07049360888888884
-21.7101,-0.06523922888888892
-21.2101,-0.05903763333333334
-20.7101,-0.052698244444444514
-20.2101,-0.04642433333333329
-19.7101,-0.040039620000000026
-19.2101,-0.03346292000000006
-18.7101,-0.026941611111111097
-18.2101,-0.0210549222222223
-17.7101,-0.016112693333333372
-17.2101,-0.012174937777777811
-16.7101,-0.009014457777777762
-16.2101,-0.0069620222222222805
-15.7101,-0.0058879666666666886
-15.2101,-0.005761108888888866
-14.7101,-0.006467057777777757
-14.2101,-0.007773660000000043
-13.7101,-0.009667939999999958
-13.2101,-0.011804251111111053
-12.7101,-0.013614151111111056
-12.2101,-0.014747984444444445
-11.7101,-0.015320655555555507
-11.2101,-0.01549542000000001
-10.7101,-0.015434277777777755
-10.2101,-0.014933328888888847
-9.71011,-0.013251088888888873
-9.21011,-0.010586315555555559
-8.71011,-0.007522526666666612
-8.21011,-0.005558751111111149
-7.71011,-0.006497357777777796
-7.21011,-0.01138167555555547
-6.71011,-0.020158137777777696
-6.21011,-0.030679595555555605
-5.71011,-0.040312457777777866
-5.21011,-0.04676389111111118
-4.71011,-0.04979126000000006
-4.21011,-0.049875537777777645
-3.71011,-0.04774188666666668
-3.21011,-0.04381095111111105
-2.71011,-0.03754510222222224
-2.21011,-0.0290891511111111
-1.71011,-0.01991485999999998
-1.21011,-0.013004295555555545
-0.71011,-0.012697128888888909
-0.21011,-0.019911208888888754
0.28989,-0.03250760444444445
0.78989,-0.0447477111111112
1.28989,-0.05068553333333331
1.78989,-0.05010489555555553
2.28989,-0.04530449777777773
2.78989,-0.04025978222222221
3.28989,-0.03624288222222233
3.78989,-0.031434693333333374
4.28989,-0.024143208888888823
4.78989,-0.0143036577777777
5.28989,-0.0046665244444444864
5.78989,0.0014224000000000458
6.28989,0.0031640377777777395
6.78989,9.914111111110624E-4
7.28989,-0.0035009422222222475
7.78989,-0.009239171111111139
8.28989,-0.015538051555555599
8.78989,-0.02105250222222227
9.28989,-0.02482523999999997
9.78989,-0.026769711111111094
10.2899,-0.027221133333333314
10.7899,-0.026704626666666648
11.2899,-0.025030106666666635
11.7899,-0.021748368888888925
12.2899,-0.016812566666666612
12.7899,-0.010629802222222318
13.2899,-0.004472211111111096
13.7899,5.917311111111323E-4
14.2899,0.004066735555555562
14.7899,0.005827715555555529
15.2899,0.0063924711111110755
15.7899,0.005654035555555603
16.2899,0.003544764444444487
16.7899,3.64095555555638E-4
17.2899,-0.0035129666666666726
17.7899,-0.007411888888888912
18.2899,-0.011628626666666725
18.7899,-0.01719314444444442
19.2899,-0.024793993333333264
19.7899,-0.0345535533333334
20.2899,-0.04549568666666676
20.7899,-0.05609415777777779
21.2899,-0.06512040666666663
21.7899,-0.07182122666666663
22.2899,-0.07559008
22.7899,-0.07620857777777779
23.2899,-0.07419719999999985
23.7899,-0.0713800355555555
24.2899,-0.06928004222222228
24.7899,-0.06803501111111115
25.2899,-0.06719951555555564
25.7899,-0.06627891555555565
26.2899,-0.0657773866666666
26.7899,-0.06649773333333325
27.2899,-0.06804214222222221
27.7899,-0.0700776133333334
28.2899,-0.07210746444444435
28.7899,-0.07423622222222223
