ArcLength, DeltaFA
-28.7688,-0.028990717777777786
-28.2688,-0.026505764444444635
-27.7688,-0.027539006666666643
-27.2688,-0.030841939999999957
-26.7688,-0.0371443577777778
-26.2688,-0.04398862222222222
-25.7688,-0.04907564222222205
-25.2688,-0.051668413333333496
-24.7688,-0.05220854000000008
-24.2688,-0.052299564444444335
-23.7688,-0.05305424222222227
-23.2688,-0.0544162666666666
-22.7688,-0.05532695333333343
-22.2688,-0.055375979999999936
-21.7688,-0.054931437777777814
-21.2688,-0.054781031111111156
-20.7688,-0.05472481777777777
-20.2688,-0.0534887911111111
-19.7688,-0.0494796066666667
-19.2688,-0.042032828888888846
-18.7688,-0.03227391555555556
-18.2688,-0.021798948888888947
-17.7688,-0.012540966666666653
-17.2688,-0.005589548888888851
-16.7688,-0.0012650977777777794
-16.2688,7.191333333333438E-4
-15.7688,5.795155555555764E-4
-15.2688,-0.00151013333333333
-14.7688,-0.005432533333333267
-14.2688,-0.010465468888888885
-13.7688,-0.015441740000000037
-13.2688,-0.019055655555555523
-12.7688,-0.020557302222222212
-12.2688,-0.020678817777777803
-11.7688,-0.020885497777777845
-11.2688,-0.02241488888888893
-10.7688,-0.025314966666666716
-10.2688,-0.028021862222222332
-9.7688,-0.02910335111111112
-9.2688,-0.027654617777777835
-8.7688,-0.023833500000000007
-8.2688,-0.018783411111111092
-7.7688,-0.014582204444444441
-7.2688,-0.013269068888888846
-6.7688,-0.015184811111111196
-6.2688,-0.01838209111111111
-5.7688,-0.020342973333333236
-5.2688,-0.020180902222222186
-4.7688,-0.018419413333333412
-4.2688,-0.01619755333333328
-3.7688,-0.013518244444444438
-3.2688,-0.009378268888888874
-2.7688,-0.003274462222222163
-2.2688,0.004072811111111185
-1.7688,0.009589786666666655
-1.2688,0.009331855555555546
-0.768799,0.003369675555555618
-0.268799,-0.011750328888888772
0.231201,-0.03148614888888901
0.731201,-0.0441331622222223
1.2312,-0.04677182666666674
1.7312,-0.04456814444444446
2.2312,-0.03958496666666672
2.7312,-0.03424195555555554
3.2312,-0.02940693111111109
3.7312,-0.023888704444444464
4.2312,-0.017554742222222253
4.7312,-0.012146548888888997
5.2312,-0.011466325777777786
5.7312,-0.016515272888888904
6.2312,-0.0249430884444444
6.7312,-0.03298318311111109
7.2312,-0.03797879555555558
7.7312,-0.04031487333333339
8.2312,-0.041020495555555536
8.7312,-0.04008004888888883
9.2312,-0.03781631999999999
9.7312,-0.03530159555555562
10.2312,-0.03349319999999997
10.7312,-0.03228026666666664
11.2312,-0.030626017777777792
11.7312,-0.02732461333333333
12.2312,-0.02197506444444447
12.7312,-0.015022588888888938
13.2312,-0.007610862222222237
13.7312,-8.535488888889164E-4
14.2312,0.004753544444444452
14.7312,0.009449440000000031
15.2312,0.012671939999999993
15.7312,0.013376097777777846
16.2312,0.010974137777777754
16.7312,0.006054348888888894
17.2312,5.827444444444774E-4
17.7312,-0.004301793333333276
18.2312,-0.008493517777777765
18.7312,-0.012828306666666678
19.2312,-0.018297035555555563
19.7312,-0.02471814222222221
20.2312,-0.031352244444444455
20.7312,-0.03790356888888896
21.2312,-0.0440056066666667
21.7312,-0.04870758666666669
22.2312,-0.05060994222222226
22.7312,-0.048448097777777754
23.2312,-0.04310547555555566
23.7312,-0.03732726222222221
24.2312,-0.03331545111111117
24.7312,-0.03160277333333339
25.2312,-0.031923568888888865
25.7312,-0.03416449555555556
26.2312,-0.03843939555555553
26.7312,-0.04395131333333341
27.2312,-0.04922169777777774
27.7312,-0.05403205555555557
28.2312,-0.058033228888888955
