ArcLength, DeltaFA
-20.1959,0.006520194736842094
-19.6959,0.003403631578947408
-19.1959,0.0018635736842105566
-18.6959,0.001584690789473625
-18.1959,0.0014619710526315721
-17.6959,7.642026315789197E-4
-17.1959,-5.632960526315567E-4
-16.6959,-0.0022866059210526063
-16.1959,-0.0033025026315789408
-15.6959,-0.0023882171052631573
-15.1959,5.040526315789606E-4
-14.6959,0.004272967105263148
-14.1959,0.006922598684210551
-13.6959,0.007272513157894761
-13.1959,0.0075348815789473556
-12.6959,0.012447282894736872
-12.1959,0.024014664473684194
-11.6959,0.0392752565789474
-11.1959,0.05316303289473681
-10.6959,0.06295457236842106
-10.1959,0.06991823026315791
-9.69592,0.07725073684210532
-9.19592,0.08552028289473682
-8.69592,0.09221011842105262
-8.19592,0.09350479605263162
-7.69592,0.08701435526315793
-7.19592,0.07406800657894747
-6.69592,0.05921726315789472
-6.19592,0.047804105263157926
-5.69592,0.04205631578947372
-5.19592,0.04103382236842107
-4.69592,0.0423958092105263
-4.19592,0.04361427631578954
-3.69592,0.04353494736842106
-3.19592,0.04203467105263159
-2.69592,0.039866394736842115
-2.19592,0.037874888157894776
-1.69592,0.036306789473684264
-1.19592,0.03511534868421057
-0.695923,0.03385998684210523
-0.195923,0.03116396710526323
0.304077,0.026609019736842127
0.804077,0.02127176315789478
1.30408,0.015812000000000048
1.80408,0.008297006578947358
2.30408,6.74414473684215E-4
2.80408,-0.003965388157894767
3.30408,-0.004602480263158015
3.80408,-0.002268874999999948
4.30408,5.8263157894589135E-5
4.80408,-5.975921052631672E-4
5.30408,-0.005248421052631569
5.80408,-0.012816203947368487
6.30408,-0.02081445394736836
6.80408,-0.02684346710526314
7.30408,-0.029318861842105248
7.80408,-0.028259894736842095
8.30408,-0.024984940789473664
8.80408,-0.02170850000000002
9.30408,-0.020023138157894693
9.80408,-0.020334151315789473
10.3041,-0.022457427631578875
10.8041,-0.025784513157894817
11.3041,-0.02974982236842111
11.8041,-0.03344019736842102
12.3041,-0.0355340723684211
12.8041,-0.03599522368421049
13.3041,-0.03492044736842098
13.8041,-0.03301204605263153
14.3041,-0.03240399999999999
14.8041,-0.03455142105263148
15.3041,-0.04118950657894743
15.8041,-0.05294957236842107
16.3041,-0.06896698684210523
16.8041,-0.08821870394736847
17.3041,-0.10969378947368402
17.8041,-0.1293118618421052
18.3041,-0.14476403947368405
18.8041,-0.15490232894736838
19.3041,-0.16187261184210522
