ArcLength, DeltaFA
-10.9135,0.04742395977011496
-10.4135,0.047378376436781666
-9.91353,0.05168531609195404
-9.41353,0.05688253448275857
-8.91353,0.06315512643678162
-8.41353,0.06961287931034477
-7.91353,0.07660247126436784
-7.41353,0.08771535919540227
-6.91353,0.10556969252873569
-6.41353,0.12740691666666665
-5.91353,0.1456823965517242
-5.41353,0.1535873132183909
-4.91353,0.1493482873563218
-4.41353,0.1362568649425286
-3.91353,0.12040781896551722
-3.41353,0.10758546839080468
-2.91353,0.10206484770114951
-2.41353,0.10358459770114933
-1.91353,0.10725577298850553
-1.41353,0.10853750000000006
-0.913531,0.1069115833333334
-0.413531,0.10605275574712653
0.086469,0.11034786206896549
0.586469,0.11554083333333331
1.08647,0.11796721839080451
1.58647,0.12323033908045983
2.08647,0.1395534166666668
2.58647,0.17097222701149425
3.08647,0.21355508045976998
3.58647,0.2549810660919539
4.08647,0.2839330488505747
4.58647,0.29373855459770093
5.08647,0.2825452385057472
5.58647,0.2547746896551724
6.08647,0.21687654885057472
6.58647,0.1743815747126436
7.08647,0.1287018850574711
7.58647,0.07837530459770137
8.08647,0.02577718390804601
8.58647,-0.018630060344827615
9.08647,-0.05921447701149424
9.58647,-0.09682722126436794
10.0865,-0.11632478214285707
10.5865,-0.1029943240740741
11.0865,-0.08549023066666672
11.5865,-0.06625263405797097
12.0865,-0.039691926406926425
12.5865,-0.013961197727272723
13.0865,0.015451461363636398
