ArcLength,DeltaRD
-31.4028,-6.424629166666663E-5
-30.9028,-6.145525000000006E-5
-30.4028,-6.0084208333333294E-5
-29.9028,-5.982283333333318E-5
-29.4028,-6.056974999999994E-5
-28.9028,-6.208537499999994E-5
-28.4028,-6.329620833333334E-5
-27.9028,-6.28955416666668E-5
-27.4028,-6.0496125000000095E-5
-26.9028,-5.674050000000017E-5
-26.4028,-5.236979166666682E-5
-25.9028,-4.8080583333333284E-5
-25.4028,-4.5010791666666634E-5
-24.9028,-4.393654166666666E-5
-24.4028,-4.562658333333335E-5
-23.9028,-5.009141666666682E-5
-23.4028,-5.7010999999999824E-5
-22.9028,-6.574679166666678E-5
-22.4028,-7.579258333333312E-5
-21.9028,-8.668450000000002E-5
-21.4028,-9.743845833333335E-5
-20.9028,-1.0754566666666666E-4
-20.4028,-1.1650100000000019E-4
-19.9028,-1.2406437500000003E-4
-19.4028,-1.3006483333333338E-4
-18.9028,-1.342540833333335E-4
-18.4028,-1.363434166666666E-4
-17.9028,-1.3632437499999997E-4
-17.4028,-1.3415041666666665E-4
-16.9028,-1.297825E-4
-16.4028,-1.2388525E-4
-15.9028,-1.174283333333332E-4
-15.4028,-1.1141187499999982E-4
-14.9028,-1.0589337500000004E-4
-14.4028,-1.0004454166666658E-4
-13.9028,-9.322820833333322E-5
-13.4028,-8.581708333333337E-5
-12.9028,-7.898841666666666E-5
-12.4028,-7.361866666666665E-5
-11.9028,-6.997433333333326E-5
-11.4028,-6.811341666666663E-5
-10.9028,-6.816725000000003E-5
-10.4028,-7.037916666666677E-5
-9.90278,-7.418558333333318E-5
-9.40278,-7.760483333333311E-5
-8.90278,-7.95172916666666E-5
-8.40278,-7.840195833333345E-5
-7.90278,-7.374112500000004E-5
-7.40278,-6.720924999999991E-5
-6.90278,-6.012187499999987E-5
-6.40278,-5.7560041666666656E-5
-5.90278,-6.199608333333343E-5
-5.40278,-7.63387083333333E-5
-4.90278,-9.814383333333319E-5
-4.40278,-1.2117899999999985E-4
-3.90278,-1.3894724999999997E-4
-3.40278,-1.4652516666666652E-4
-2.90278,-1.4779754166666673E-4
-2.40278,-1.5026525E-4
-1.90278,-1.6210812500000015E-4
-1.40278,-1.865167083333333E-4
-0.902781,-2.1963545833333323E-4
-0.402781,-2.4991466666666676E-4
0.0972189,-2.6466595833333335E-4
0.597219,-2.569154583333334E-4
1.09722,-2.3244316666666667E-4
1.59722,-2.0402020833333335E-4
2.09722,-1.7902262500000009E-4
2.59722,-1.5812245833333338E-4
3.09722,-1.371608749999999E-4
3.59722,-1.1537104166666645E-4
4.09722,-9.611854166666678E-5
4.59722,-8.441887500000003E-5
5.09722,-8.194687499999982E-5
5.59722,-8.602129166666655E-5
6.09722,-9.163837500000003E-5
6.59722,-9.60764999999999E-5
7.09722,-9.904037500000013E-5
7.59722,-1.0178200000000002E-4
8.09722,-1.057252083333332E-4
8.59722,-1.1026204166666661E-4
9.09722,-1.1412216666666672E-4
9.59722,-1.1527124999999988E-4
10.0972,-1.1216345833333329E-4
10.5972,-1.0515445833333319E-4
11.0972,-9.625616666666676E-5
11.5972,-8.734812500000005E-5
12.0972,-7.962191666666682E-5
12.5972,-7.277600000000009E-5
13.0972,-6.634254166666665E-5
13.5972,-6.023295833333328E-5
14.0972,-5.536504166666668E-5
14.5972,-5.305670833333329E-5
15.0972,-5.374862500000005E-5
15.5972,-5.678695833333334E-5
16.0972,-6.076537500000008E-5
16.5972,-6.415774999999995E-5
17.0972,-6.635404166666678E-5
17.5972,-6.723145833333326E-5
18.0972,-6.667487500000005E-5
18.5972,-6.451054166666675E-5
19.0972,-6.014429166666677E-5
19.5972,-5.379325000000009E-5
20.0972,-4.6484916666666575E-5
20.5972,-3.92830000000002E-5
21.0972,-3.307733333333333E-5
21.5972,-2.8222208333333388E-5
22.0972,-2.4502708333333316E-5
22.5972,-2.230712499999999E-5
23.0972,-2.1896708333333376E-5
23.5972,-2.3301291666666607E-5
24.0972,-2.614199999999994E-5
24.5972,-2.9383833333333233E-5
25.0972,-3.2043666666666795E-5
25.5972,-3.358058333333342E-5
26.0972,-3.4404875000000005E-5
26.5972,-3.522058333333344E-5
27.0972,-3.776262499999988E-5
27.5972,-4.283316666666662E-5
28.0972,-4.978504166666675E-5
28.5972,-5.6623E-5
29.0972,-6.189004166666653E-5
29.5972,-6.496183333333343E-5
30.0972,-6.61207916666666E-5
30.5972,-6.646029166666669E-5
31.0972,-6.674479166666656E-5
