ArcLength,DeltaRD
-20.1959,-3.8884250000000074E-5
-19.6959,-5.017216666666671E-5
-19.1959,-5.4488000000000106E-5
-18.6959,-5.229645833333349E-5
-18.1959,-4.214054166666646E-5
-17.6959,-2.1755250000000015E-5
-17.1959,7.874749999999876E-6
-16.6959,3.4425958333333625E-5
-16.1959,4.477995833333348E-5
-15.6959,3.571591666666658E-5
-15.1959,1.5150666666666548E-5
-14.6959,-3.722833333333277E-6
-14.1959,-8.42029166666649E-6
-13.6959,3.7186249999997733E-6
-13.1959,2.430600000000009E-5
-12.6959,3.81285416666665E-5
-12.1959,3.473687499999992E-5
-11.6959,1.5828125E-5
-11.1959,-9.384208333333309E-6
-10.6959,-3.17122499999998E-5
-10.1959,-4.7962875E-5
-9.69592,-6.040475000000005E-5
-9.19592,-7.112787500000012E-5
-8.69592,-8.062149999999986E-5
-8.19592,-8.880270833333331E-5
-7.69592,-9.479258333333336E-5
-7.19592,-9.81327916666667E-5
-6.69592,-9.913533333333335E-5
-6.19592,-9.82508749999999E-5
-5.69592,-9.644712499999998E-5
-5.19592,-9.535808333333321E-5
-4.69592,-9.578454166666672E-5
-4.19592,-9.82384999999999E-5
-3.69592,-1.0440574999999994E-4
-3.19592,-1.1393612500000029E-4
-2.69592,-1.257294583333333E-4
-2.19592,-1.357590416666667E-4
-1.69592,-1.3627783333333308E-4
-1.19592,-1.2734529166666658E-4
-0.695923,-1.115138333333337E-4
-0.195923,-7.621949999999994E-5
0.304077,-3.8718000000000086E-5
0.804077,-2.182520833333328E-5
1.30408,-2.107249999999997E-5
1.80408,-2.5721583333333277E-5
2.30408,-3.4924333333333354E-5
2.80408,-4.413249999999996E-5
3.30408,-4.8719708333333413E-5
3.80408,-4.799770833333321E-5
4.30408,-4.18718333333334E-5
4.80408,-3.383041666666644E-5
5.30408,-2.679454166666672E-5
5.80408,-2.1947958333333505E-5
6.30408,-1.9593333333333307E-5
6.80408,-1.7387833333333113E-5
7.30408,-1.5670874999999937E-5
7.80408,-1.5549000000000118E-5
8.30408,-1.6958666666666718E-5
8.80408,-1.8530208333333224E-5
9.30408,-1.771912499999996E-5
9.80408,-1.4209583333333296E-5
10.3041,-8.752625000000105E-6
10.8041,-1.2395833333332358E-6
11.3041,8.380124999999932E-6
11.8041,2.0172583333333293E-5
12.3041,3.241908333333329E-5
12.8041,4.3130249999999925E-5
13.3041,5.1414541666666876E-5
13.8041,5.81935416666666E-5
14.3041,6.551466666666666E-5
14.8041,7.474066666666665E-5
15.3041,8.553024999999998E-5
15.8041,9.628541666666665E-5
16.3041,1.0523354166666664E-4
16.8041,1.1195774999999992E-4
17.3041,1.1724612500000015E-4
17.8041,1.2107420833333343E-4
18.3041,1.2381800000000004E-4
18.8041,1.254364166666668E-4
19.3041,1.2634883333333341E-4
