ArcLength,DeltaRD
-14.9789,0.0010573014096666668
-14.4789,8.845569323333335E-4
-13.9789,6.798998481666665E-4
-13.4789,4.397902458333334E-4
-12.9789,1.4574544500000003E-4
-12.4789,-6.950360000000004E-5
-11.9789,-1.63380725E-4
-11.4789,-1.989087416666667E-4
-10.9789,-1.933485416666669E-4
-10.4789,-1.4167491666666678E-4
-9.97891,-5.060312500000002E-5
-9.47891,7.202545833333328E-5
-8.97891,2.1658616666666653E-4
-8.47891,3.3717333333333334E-4
-7.97891,4.1142370833333335E-4
-7.47891,4.3564062499999983E-4
-6.97891,4.2184512500000005E-4
-6.47891,3.9413658333333325E-4
-5.97891,3.688310833333334E-4
-5.47891,3.519487916666666E-4
-4.97891,3.383592083333335E-4
-4.47891,3.174991666666666E-4
-3.97891,2.824932083333334E-4
-3.47891,2.294895E-4
-2.97891,1.6506704166666672E-4
-2.47891,1.0455475000000001E-4
-1.97891,5.979370833333333E-5
-1.47891,3.5513541666666636E-5
-0.978906,2.40267916666667E-5
-0.478906,1.8482583333333355E-5
0.021094,1.6230833333333327E-5
0.521094,2.0114958333333267E-5
1.02109,2.680612500000003E-5
1.52109,2.6960624999999914E-5
2.02109,1.8082958333333365E-5
2.52109,1.985333333333187E-6
3.02109,-1.3710499999999956E-5
3.52109,-2.336199999999997E-5
4.02109,-2.7360083333333326E-5
4.52109,-3.0089166666666758E-5
5.02109,-3.4082625000000054E-5
5.52109,-4.007675000000004E-5
6.02109,-4.822550000000011E-5
6.52109,-5.725266666666657E-5
7.02109,-6.568183333333349E-5
7.52109,-7.303129166666672E-5
8.02109,-8.005916666666663E-5
8.52109,-8.845208333333333E-5
9.02109,-9.85884166666666E-5
9.52109,-1.1010000000000002E-4
10.0211,-1.3113300000000018E-4
10.5211,-1.5838299999999968E-4
11.0211,-1.841043333333334E-4
11.5211,-2.113810416666665E-4
12.0211,-2.28417125E-4
