ArcLength,DeltaRD
-27.3023,-2.1764875000000045E-5
-26.8023,-3.249962499999996E-5
-26.3023,-4.562524999999996E-5
-25.8023,-5.90689583333336E-5
-25.3023,-6.874562499999994E-5
-24.8023,-8.879387499999985E-5
-24.3023,-1.083418333333333E-4
-23.8023,-1.2135720833333333E-4
-23.3023,-1.1828950000000022E-4
-22.8023,-1.0467379166666669E-4
-22.3023,-9.041579166666684E-5
-21.8023,-7.857216666666696E-5
-21.3023,-7.319266666666667E-5
-20.8023,-7.182737499999991E-5
-20.3023,-6.790562499999994E-5
-19.8023,-5.5756666666666654E-5
-19.3023,-3.1750458333333295E-5
-18.8023,9.965000000000234E-7
-18.3023,3.5511916666666516E-5
-17.8023,6.47157916666666E-5
-17.3023,8.325283333333324E-5
-16.8023,8.754687499999984E-5
-16.3023,7.598266666666669E-5
-15.8023,4.856516666666656E-5
-15.3023,1.0977791666666697E-5
-14.8023,-2.446029166666664E-5
-14.3023,-4.8582416666666695E-5
-13.8023,-5.879662500000017E-5
-13.3023,-5.9817999999999894E-5
-12.8023,-5.670245833333336E-5
-12.3023,-5.195458333333346E-5
-11.8023,-4.8005083333333234E-5
-11.3023,-4.795504166666667E-5
-10.8023,-5.452404166666667E-5
-10.3023,-6.661091666666655E-5
-9.80233,-8.108324999999989E-5
-9.30233,-9.436375000000002E-5
-8.80233,-1.0333162500000001E-4
-8.30233,-1.0538437499999994E-4
-7.80233,-9.968100000000006E-5
-7.30233,-8.84314583333334E-5
-6.80233,-7.62292916666666E-5
-6.30233,-6.73052916666666E-5
-5.80233,-6.375433333333317E-5
-5.30233,-6.498270833333334E-5
-4.80233,-6.889508333333331E-5
-4.30233,-7.329416666666664E-5
-3.80233,-7.698579166666669E-5
-3.30233,-8.011620833333325E-5
-2.80233,-8.36342916666667E-5
-2.30233,-8.862820833333349E-5
-1.80233,-9.401200000000014E-5
-1.30233,-9.815808333333323E-5
-0.802329,-1.0202004166666667E-4
-0.302329,-1.0403512499999987E-4
0.197671,-1.0577879166666669E-4
0.697671,-1.0861075000000002E-4
1.19767,-1.1176329166666664E-4
1.69767,-1.1812666666666667E-4
2.19767,-1.2515425000000002E-4
2.69767,-1.2915958333333335E-4
3.19767,-1.2861933333333344E-4
3.69767,-1.237499583333334E-4
4.19767,-1.1646104166666664E-4
4.69767,-1.0941491666666646E-4
5.19767,-1.0256820833333337E-4
5.69767,-9.628916666666674E-5
6.19767,-9.042108333333343E-5
6.69767,-8.498883333333347E-5
7.19767,-8.067366666666671E-5
7.69767,-7.665658333333349E-5
8.19767,-7.216754166666664E-5
8.69767,-6.62762916666665E-5
9.19767,-5.8653708333333376E-5
9.69767,-5.010895833333336E-5
10.1977,-4.16692499999998E-5
10.6977,-3.3700083333333295E-5
11.1977,-2.545379166666651E-5
11.6977,-1.6082833333333165E-5
12.1977,-6.848375000000073E-6
12.6977,9.104166666665725E-7
13.1977,5.352458333333335E-6
13.6977,4.3972500000000365E-6
14.1977,-4.1745833333326106E-7
14.6977,-8.667208333333403E-6
15.1977,-1.875458333333341E-5
15.6977,-2.7661791666666797E-5
16.1977,-3.0419958333333542E-5
16.6977,-2.3744541666666512E-5
17.1977,-1.0360749999999879E-5
17.6977,3.1963750000000343E-6
18.1977,7.064208333333317E-6
18.6977,-1.4832083333334804E-6
19.1977,-1.755637499999997E-5
19.6977,-3.530745833333325E-5
20.1977,-4.994979166666677E-5
20.6977,-5.904374999999987E-5
21.1977,-6.33592499999999E-5
21.6977,-6.531245833333319E-5
22.1977,-6.790537499999996E-5
22.6977,-7.166770833333326E-5
23.1977,-7.47687083333333E-5
23.6977,-7.459150000000011E-5
24.1977,-7.098462499999995E-5
24.6977,-6.314604166666657E-5
