ArcLength,DeltaRD
-16.083,-1.6451705555555537E-4
-15.583,-1.6640993055555542E-4
-15.083,-1.687968750000001E-4
-14.583,-1.7177745833333333E-4
-14.083,-1.7496248611111108E-4
-13.583,-1.7529245833333338E-4
-13.083,-1.698946111111109E-4
-12.583,-1.610654999999999E-4
-12.083,-1.5386962500000005E-4
-11.583,-1.5224306944444438E-4
-11.083,-1.5439181944444452E-4
-10.583,-1.5335731944444444E-4
-10.083,-1.4535619444444462E-4
-9.58302,-1.3224463888888895E-4
-9.08302,-1.1858036111111114E-4
-8.58302,-1.073123611111111E-4
-8.08302,-9.894537499999983E-5
-7.58302,-9.417001388888893E-5
-7.08302,-9.418105555555542E-5
-6.58302,-9.86726666666667E-5
-6.08302,-1.0514811111111098E-4
-5.58302,-1.104973472222222E-4
-5.08302,-1.1334436111111099E-4
-4.58302,-1.1435833333333343E-4
-4.08302,-1.1590062500000005E-4
-3.58302,-1.1956329166666656E-4
-3.08302,-1.254141388888888E-4
-2.58302,-1.3194247222222196E-4
-2.08302,-1.3790852777777792E-4
-1.58302,-1.4298713888888902E-4
-1.08302,-1.464696250000001E-4
-0.583018,-1.4952801388888885E-4
-0.0830181,-1.5349134722222218E-4
0.416982,-1.567740416666668E-4
0.916982,-1.5744852777777778E-4
1.41698,-1.566562777777778E-4
1.91698,-1.545293055555556E-4
2.41698,-1.5110745833333357E-4
2.91698,-1.4815256944444453E-4
3.41698,-1.4666386111111113E-4
3.91698,-1.4649855555555556E-4
4.41698,-1.466928194444445E-4
4.91698,-1.4533029166666667E-4
5.41698,-1.412743333333332E-4
5.91698,-1.3478726388888875E-4
6.41698,-1.2677051388888892E-4
6.91698,-1.1873408333333319E-4
7.41698,-1.1294216666666679E-4
7.91698,-1.1002556944444443E-4
8.41698,-1.0954854166666671E-4
8.91698,-1.1018849999999995E-4
9.41698,-1.1017315277777793E-4
9.91698,-1.0838827777777773E-4
10.417,-1.0402213888888894E-4
10.917,-9.626270833333335E-5
11.417,-8.454749999999987E-5
11.917,-7.057187499999993E-5
12.417,-5.787204166666669E-5
12.917,-5.064512499999992E-5
13.417,-5.203904166666679E-5
13.917,-6.017522222222216E-5
14.417,-7.016049999999984E-5
14.917,-7.860859722222217E-5
15.417,-8.40770833333334E-5
15.917,-8.847576388888874E-5
