ArcLength,DeltaRD
-30.2452,-1.0635672222222218E-4
-29.7452,-6.755370833333332E-5
-29.2452,-3.502418055555546E-5
-28.7452,-1.1940666666666747E-5
-28.2452,-5.165069444444453E-6
-27.7452,-8.080180555555469E-6
-27.2452,-2.1426791666666637E-5
-26.7452,-4.015365277777771E-5
-26.2452,-5.8278847222222215E-5
-25.7452,-7.840390277777777E-5
-25.2452,-9.776384722222213E-5
-24.7452,-1.1361448611111116E-4
-24.2452,-1.2352330555555563E-4
-23.7452,-1.2701787499999997E-4
-23.2452,-1.265572500000001E-4
-22.7452,-1.2431991666666674E-4
-22.2452,-1.2043825000000003E-4
-21.7452,-1.154192083333334E-4
-21.2452,-1.0998359722222233E-4
-20.7452,-1.0508808333333332E-4
-20.2452,-1.0189138888888876E-4
-19.7452,-1.0102168055555556E-4
-19.2452,-1.0233351388888882E-4
-18.7452,-1.0496743055555537E-4
-18.2452,-1.0795511111111127E-4
-17.7452,-1.1171795833333337E-4
-17.2452,-1.1711448611111098E-4
-16.7452,-1.2415086111111108E-4
-16.2452,-1.3169275000000002E-4
-15.7452,-1.3868418055555556E-4
-15.2452,-1.4667366666666675E-4
-14.7452,-1.5780781944444442E-4
-14.2452,-1.7113158333333317E-4
-13.7452,-1.8189176388888888E-4
-13.2452,-1.8518248611111104E-4
-12.7452,-1.7984234722222237E-4
-12.2452,-1.692674444444442E-4
-11.7452,-1.5740437499999995E-4
-11.2452,-1.4603649999999984E-4
-10.7452,-1.3593962499999996E-4
-10.2452,-1.2775356944444438E-4
-9.74516,-1.2086066666666662E-4
-9.24516,-1.1469859722222224E-4
-8.74516,-1.0835373611111114E-4
-8.24516,-1.0231769444444454E-4
-7.74516,-9.851219444444441E-5
-7.24516,-9.777016666666659E-5
-6.74516,-9.922190277777775E-5
-6.24516,-1.0109588888888887E-4
-5.74516,-1.0216972222222239E-4
-5.24516,-1.0194206944444444E-4
-4.74516,-1.0062540277777773E-4
-4.24516,-9.901866666666667E-5
-3.74516,-9.811809722222225E-5
-3.24516,-9.830534722222225E-5
-2.74516,-9.889540277777776E-5
-2.24516,-9.86473749999999E-5
-1.74516,-9.656455555555549E-5
-1.24516,-9.217048611111114E-5
-0.745162,-8.688034722222212E-5
-0.245162,-7.90956527777778E-5
0.254838,-7.16855277777778E-5
0.754838,-6.767936111111103E-5
1.25484,-6.63280416666668E-5
1.75484,-6.514962500000007E-5
2.25484,-6.105044444444457E-5
2.75484,-5.8290958333333275E-5
3.25484,-6.926293055555552E-5
3.75484,-1.0763295833333335E-4
4.25484,-1.7956501388888908E-4
4.75484,-2.7546537500000015E-4
5.25484,-3.740930694444445E-4
5.75484,-4.5605387499999986E-4
6.25484,-5.124960833333333E-4
6.75484,-5.484323055555553E-4
7.25484,-5.738161388888891E-4
7.75484,-5.918226388888889E-4
8.25484,-5.958509444444444E-4
8.75484,-5.742195000000003E-4
9.25484,-5.206707222222221E-4
9.75484,-4.406060972222223E-4
10.2548,-3.4958466666666665E-4
10.7548,-2.631360694444445E-4
11.2548,-1.9382206944444451E-4
11.7548,-1.460090833333334E-4
12.2548,-1.1808997222222237E-4
12.7548,-1.0515248611111107E-4
13.2548,-9.989208333333326E-5
13.7548,-9.462147222222218E-5
14.2548,-8.479170833333336E-5
14.7548,-6.932066666666674E-5
15.2548,-4.905387499999994E-5
15.7548,-2.9561305555555464E-5
16.2548,-2.0872694444444453E-5
16.7548,-2.687831944444435E-5
17.2548,-4.466983333333333E-5
17.7548,-6.625811111111112E-5
18.2548,-8.010291666666659E-5
18.7548,-8.175040277777761E-5
19.2548,-7.205594444444432E-5
19.7548,-5.510481944444442E-5
20.2548,-3.901452777777773E-5
20.7548,-3.061586111111113E-5
21.2548,-3.0405958333333538E-5
21.7548,-3.317156944444442E-5
22.2548,-3.216872222222219E-5
22.7548,-2.3471583333333412E-5
23.2548,-6.297124999999986E-6
23.7548,1.6349222222222207E-5
24.2548,3.885313888888893E-5
24.7548,5.8190562499999985E-5
25.2548,7.42660069444445E-5
25.7548,8.5508887361111E-5
26.2548,9.678504490694432E-5
26.7548,1.0742209722222238E-4
27.2548,1.1444517499999986E-4
27.7548,1.231256138888888E-4
28.2548,1.244659055555555E-4
