ArcLength,DeltaRD
-10.6204,-4.3414208333333306E-5
-10.1204,-4.084086111111112E-5
-9.62041,-3.9657916666666635E-5
-9.12041,-3.659181944444447E-5
-8.62041,-2.996708333333339E-5
-8.12041,-1.684797222222239E-5
-7.62041,2.446708333333418E-6
-7.12041,1.5916097222222177E-5
-6.62041,1.6859944444444345E-5
-6.12041,6.73066666666668E-6
-5.62041,-1.251744444444433E-5
-5.12041,-3.868099999999994E-5
-4.62041,-6.692727777777782E-5
-4.12041,-9.117534722222231E-5
-3.62041,-1.0654383333333329E-4
-3.12041,-1.1066358333333335E-4
-2.62041,-1.0673718055555551E-4
-2.12041,-1.0026313888888895E-4
-1.62041,-9.44335138888888E-5
-1.12041,-8.993623611111123E-5
-0.620412,-8.673244444444442E-5
-0.120412,-8.451215277777797E-5
0.379588,-8.310148611111114E-5
0.879588,-8.22111666666668E-5
1.37959,-8.163638888888881E-5
1.87959,-8.067152777777801E-5
2.37959,-7.956108333333342E-5
2.87959,-7.893702777777764E-5
3.37959,-7.906102777777797E-5
3.87959,-8.02905694444443E-5
4.37959,-8.255993055555552E-5
4.87959,-8.526702777777778E-5
5.37959,-8.805588888888911E-5
5.87959,-9.03168194444446E-5
6.37959,-9.13035E-5
6.87959,-9.079506944444451E-5
7.37959,-9.014337500000012E-5
7.87959,-9.01014027777778E-5
8.37959,-9.06360416666667E-5
8.87959,-9.098415277777785E-5
9.37959,-8.954968055555556E-5
9.87959,-8.635340277777788E-5
10.3796,-8.324787500000013E-5
10.8796,-8.061176388888896E-5
11.3796,-8.028773611111093E-5
