ArcLength,DeltaRD
-26.8123,1.7358205555555563E-4
-26.3123,1.3491258333333308E-4
-25.8123,6.296452777777774E-5
-25.3123,2.7607916666665556E-6
-24.8123,-3.678769444444459E-5
-24.3123,-6.459108333333353E-5
-23.8123,-8.907397222222206E-5
-23.3123,-9.981747222222225E-5
-22.8123,-9.928962500000001E-5
-22.3123,-9.205027777777787E-5
-21.8123,-8.184369444444472E-5
-21.3123,-7.539547222222228E-5
-20.8123,-7.366690277777789E-5
-20.3123,-7.400227777777787E-5
-19.8123,-7.447176388888888E-5
-19.3123,-7.529986111111083E-5
-18.8123,-7.726322222222234E-5
-18.3123,-8.087294444444437E-5
-17.8123,-8.727915277777774E-5
-17.3123,-9.699527777777789E-5
-16.8123,-1.0874995833333315E-4
-16.3123,-1.1992486111111111E-4
-15.8123,-1.2834576388888886E-4
-15.3123,-1.3307886111111114E-4
-14.8123,-1.3430780555555538E-4
-14.3123,-1.3302327777777758E-4
-13.8123,-1.2963851388888886E-4
-13.3123,-1.2446294444444451E-4
-12.8123,-1.183298472222222E-4
-12.3123,-1.1212611111111113E-4
-11.8123,-1.0708304166666665E-4
-11.3123,-1.0440233333333312E-4
-10.8123,-1.0440223611111121E-4
-10.3123,-1.063250277777778E-4
-9.81229,-1.0874122222222216E-4
-9.31229,-1.0961326388888898E-4
-8.81229,-1.0780734722222224E-4
-8.31229,-1.0411449999999994E-4
-7.81229,-1.012628611111111E-4
-7.31229,-1.0147204166666656E-4
-6.81229,-1.058114166666667E-4
-6.31229,-1.1367052777777777E-4
-5.81229,-1.222947777777778E-4
-5.31229,-1.2971048611111122E-4
-4.81229,-1.345064583333333E-4
-4.31229,-1.3650540277777775E-4
-3.81229,-1.3686697222222224E-4
-3.31229,-1.3720723611111122E-4
-2.81229,-1.390434722222223E-4
-2.31229,-1.4336223611111104E-4
-1.81229,-1.5015943055555548E-4
-1.31229,-1.5840998611111104E-4
-0.812289,-1.6651980555555543E-4
-0.312289,-1.7069137500000007E-4
0.187711,-1.6794069444444454E-4
0.687711,-1.583239027777777E-4
1.18771,-1.4462626388888895E-4
1.68771,-1.318041388888888E-4
2.18771,-1.2365773611111108E-4
2.68771,-1.2207659722222213E-4
3.18771,-1.2692776388888887E-4
3.68771,-1.3679158333333328E-4
4.18771,-1.4898068055555543E-4
4.68771,-1.6181315277777764E-4
5.18771,-1.7378948611111104E-4
5.68771,-1.8401350000000008E-4
6.18771,-1.9190024999999993E-4
6.68771,-1.9742862499999992E-4
7.18771,-2.009364583333334E-4
7.68771,-2.0260298611111114E-4
8.18771,-2.029683749999999E-4
8.68771,-2.0267155555555552E-4
9.18771,-2.0255426388888869E-4
9.68771,-2.033785277777778E-4
10.1877,-2.0562381944444453E-4
10.6877,-2.092594999999999E-4
11.1877,-2.137366666666666E-4
11.6877,-2.190166111111111E-4
12.1877,-2.249203194444444E-4
12.6877,-2.3021204166666668E-4
13.1877,-2.345049722222223E-4
13.6877,-2.374417638888889E-4
14.1877,-2.392863055555556E-4
14.6877,-2.3940138888888885E-4
15.1877,-2.3666465277777772E-4
15.6877,-2.3095747222222232E-4
16.1877,-2.223522083333332E-4
16.6877,-2.1255836111111124E-4
17.1877,-2.02771736111111E-4
17.6877,-1.9261804166666651E-4
18.1877,-1.8334870833333335E-4
18.6877,-1.7595131944444467E-4
19.1877,-1.6986201388888907E-4
19.6877,-1.6441800000000016E-4
20.1877,-1.5928251388888886E-4
20.6877,-1.5403537500000009E-4
21.1877,-1.4951265277777788E-4
21.6877,-1.4659727777777782E-4
22.1877,-1.452725694444445E-4
22.6877,-1.4505752777777784E-4
23.1877,-1.4537159722222213E-4
23.6877,-1.4495476388888876E-4
24.1877,-1.4375886111111103E-4
24.6877,-1.4292445833333364E-4
25.1877,-1.4069901388888894E-4
25.6877,-1.3600898611111092E-4
26.1877,-1.3891299999999995E-4
26.6877,-1.4038894444444428E-4
27.1877,-1.3903279166666677E-4
