ArcLength,DeltaRD
-25.5673,-5.144494444444441E-5
-25.0673,-8.62120277777777E-5
-24.5673,-1.5051456944444443E-4
-24.0673,-1.9960772222222221E-4
-23.5673,-2.3122787499999995E-4
-23.0673,-2.679478749999998E-4
-22.5673,-3.140016944444443E-4
-22.0673,-3.695927777777776E-4
-21.5673,-4.190462916666668E-4
-21.0673,-4.387721805555557E-4
-20.5673,-4.2710976388888895E-4
-20.0673,-3.9530066666666676E-4
-19.5673,-3.5823586111111117E-4
-19.0673,-3.2903324999999993E-4
-18.5673,-3.2142181944444417E-4
-18.0673,-3.46292138888889E-4
-17.5673,-4.067327222222224E-4
-17.0673,-4.934469583333334E-4
-16.5673,-5.856245277777776E-4
-16.0673,-6.571102222222223E-4
-15.5673,-6.813593194444445E-4
-15.0673,-6.442555277777777E-4
-14.5673,-5.542225277777778E-4
-14.0673,-4.3973702777777774E-4
-13.5673,-3.343852083333333E-4
-13.0673,-2.6036741666666673E-4
-12.5673,-2.1859313888888878E-4
-12.0673,-1.968450972222222E-4
-11.5673,-1.7975009722222203E-4
-11.0673,-1.614365833333333E-4
-10.5673,-1.4426330555555552E-4
-10.0673,-1.3410480555555554E-4
-9.56728,-1.3392952777777783E-4
-9.06728,-1.4090570833333332E-4
-8.56728,-1.484928750000001E-4
-8.06728,-1.5135756944444447E-4
-7.56728,-1.488616805555555E-4
-7.06728,-1.4426923611111106E-4
-6.56728,-1.4134570833333336E-4
-6.06728,-1.4162876388888892E-4
-5.56728,-1.4417336111111122E-4
-5.06728,-1.478636527777775E-4
-4.56728,-1.5324086111111114E-4
-4.06728,-1.6184616666666668E-4
-3.56728,-1.737645416666669E-4
-3.06728,-1.8705183333333326E-4
-2.56728,-1.9781405555555542E-4
-2.06728,-2.021090833333334E-4
-1.56728,-1.987250416666666E-4
-1.06728,-1.9033154166666678E-4
-0.567279,-1.8067341666666678E-4
-0.0672789,-1.730294583333333E-4
0.432721,-1.6932637500000004E-4
0.932721,-1.67719236111111E-4
1.43272,-1.6554190277777772E-4
1.93272,-1.618692222222222E-4
2.43272,-1.5936965277777793E-4
2.93272,-1.6048208333333338E-4
3.43272,-1.6643870833333348E-4
3.93272,-1.7655904166666671E-4
4.43272,-1.878720972222223E-4
4.93272,-1.9807586111111116E-4
5.43272,-2.0608195833333326E-4
5.93272,-2.1196683333333328E-4
6.43272,-2.1659290277777782E-4
6.93272,-2.2031086111111116E-4
7.43272,-2.2302152777777787E-4
7.93272,-2.2386306944444448E-4
8.43272,-2.215728333333333E-4
8.93272,-2.1563930555555536E-4
9.43272,-2.067361111111111E-4
9.93272,-1.961671666666666E-4
10.4327,-1.854375416666666E-4
10.9327,-1.7562284722222223E-4
11.4327,-1.6696011111111105E-4
11.9327,-1.595658888888889E-4
12.4327,-1.5339049999999995E-4
12.9327,-1.4845043055555557E-4
13.4327,-1.4517575000000003E-4
13.9327,-1.4421947222222227E-4
14.4327,-1.4574893055555548E-4
14.9327,-1.4920870833333335E-4
15.4327,-1.535637916666667E-4
15.9327,-1.576279305555555E-4
16.4327,-1.6107169444444448E-4
16.9327,-1.6400741666666653E-4
17.4327,-1.6614748611111128E-4
17.9327,-1.671789861111112E-4
18.4327,-1.664549305555557E-4
18.9327,-1.6342136111111103E-4
19.4327,-1.581079722222222E-4
19.9327,-1.508628888888888E-4
20.4327,-1.4289372222222208E-4
20.9327,-1.3624088888888875E-4
21.4327,-1.324995416666667E-4
21.9327,-1.314767500000001E-4
22.4327,-1.3222400000000023E-4
22.9327,-1.3352023611111106E-4
23.4327,-1.3414297222222207E-4
23.9327,-1.3447173611111092E-4
