ArcLength,DeltaRD
-18.9593,1.4787783333333325E-4
-18.4593,1.09680111111111E-4
-17.9593,7.14619166666666E-5
-17.4593,3.712761111111123E-5
-16.9593,3.6695555555555336E-6
-16.4593,-1.8519611111110978E-5
-15.9593,-2.5919166666666586E-5
-15.4593,-3.054769444444435E-5
-14.9593,-3.5155972222222255E-5
-14.4593,-3.9106583333333475E-5
-13.9593,-4.1726833333333505E-5
-13.4593,-4.3147333333333157E-5
-12.9593,-4.385191666666664E-5
-12.4593,-4.345341666666671E-5
-11.9593,-4.128266666666655E-5
-11.4593,-3.6560333333333635E-5
-10.9593,-2.9064666666666727E-5
-10.4593,-1.9517805555555783E-5
-9.95928,-8.947083333333433E-6
-9.45928,1.0602777777777694E-6
-8.95928,8.80458333333352E-6
-8.45928,1.2339333333333366E-5
-7.95928,1.0430444444444538E-5
-7.45928,3.4493055555555622E-6
-6.95928,-5.296027777777919E-6
-6.45928,-1.2040083333333452E-5
-5.95928,-1.4712944444444367E-5
-5.45928,-1.3295527777777618E-5
-4.95928,-1.150922222222222E-5
-4.45928,-1.311147222222205E-5
-3.95928,-2.0777694444444367E-5
-3.45928,-3.194572222222226E-5
-2.95928,-3.791549999999997E-5
-2.45928,-2.855750000000008E-5
-1.95928,-3.5323333333334758E-6
-1.45928,2.3628750000000078E-5
-0.959279,3.618341666666652E-5
-0.459279,2.3690138888888927E-5
0.0407205,-9.768999999999967E-6
0.540721,-4.3103027777777756E-5
1.04072,-5.981655555555552E-5
1.54072,-6.375774999999983E-5
2.04072,-6.244425000000002E-5
2.54072,-6.362341666666673E-5
3.04072,-6.920880555555539E-5
3.54072,-7.323066666666672E-5
4.04072,-6.929716666666675E-5
4.54072,-5.66591666666665E-5
5.04072,-3.9732194444444275E-5
5.54072,-2.3629083333333236E-5
6.04072,-1.158313888888901E-5
6.54072,-4.626249999999956E-6
7.04072,-1.9180833333334564E-6
7.54072,-3.38749999999994E-6
8.04072,-7.505777777777828E-6
8.54072,-1.1901777777777764E-5
9.04072,-1.4193361111111084E-5
9.54072,-1.2822611111111158E-5
10.0407,-8.383861111111064E-6
10.5407,-3.38891666666662E-6
11.0407,-2.156111111109582E-7
11.5407,-1.758888888889719E-7
12.0407,-3.4486666666667205E-6
12.5407,-9.309111111111077E-6
13.0407,-1.680663888888902E-5
13.5407,-2.5240222222222336E-5
14.0407,-3.356630555555553E-5
14.5407,-4.070872222222211E-5
15.0407,-4.574694444444457E-5
15.5407,-4.728669444444434E-5
16.0407,-4.078974999999999E-5
16.5407,-2.04733888888891E-5
17.0407,-4.287888888888664E-6
17.5407,-7.856388888887334E-7
18.0407,-2.99869444444459E-6
18.5407,-2.0325555555555626E-5
