ArcLength,DeltaRD
-28.5681,-7.18986388888891E-5
-28.0681,-7.55614444444446E-5
-27.5681,-7.89304444444443E-5
-27.0681,-8.052055555555549E-5
-26.5681,-8.02268611111111E-5
-26.0681,-7.786691666666673E-5
-25.5681,-7.312986111111136E-5
-25.0681,-6.64455833333334E-5
-24.5681,-5.912919444444448E-5
-24.0681,-5.4758416666666684E-5
-23.5681,-5.669511111111125E-5
-23.0681,-6.541063888888896E-5
-22.5681,-7.70356388888892E-5
-22.0681,-8.42972500000003E-5
-21.5681,-8.221483333333349E-5
-21.0681,-7.15288055555556E-5
-20.5681,-5.729277777777786E-5
-20.0681,-4.4462000000000104E-5
-19.5681,-3.529050000000006E-5
-19.0681,-2.9814083333333367E-5
-18.5681,-2.7392555555555604E-5
-18.0681,-2.7841916666666692E-5
-17.5681,-3.089744444444446E-5
-17.0681,-3.6056555555555574E-5
-16.5681,-4.259980555555557E-5
-16.0681,-4.921261111111102E-5
-15.5681,-5.392319444444437E-5
-15.0681,-5.457475000000009E-5
-14.5681,-5.1125611111111106E-5
-14.0681,-4.634963888888884E-5
-13.5681,-4.444599999999996E-5
-13.0681,-4.7879861111111257E-5
-12.5681,-5.5970555555555465E-5
-12.0681,-6.497925000000003E-5
-11.5681,-7.07778055555557E-5
-11.0681,-7.201097222222239E-5
-10.5681,-6.946058333333327E-5
-10.0681,-6.561622222222218E-5
-9.56807,-6.27844166666668E-5
-9.06807,-6.259961111111119E-5
-8.56807,-6.623533333333342E-5
-8.06807,-7.369869444444441E-5
-7.56807,-8.352336111111102E-5
-7.06807,-9.29811944444445E-5
-6.56807,-9.937922222222231E-5
-6.06807,-1.0141744444444454E-4
-5.56807,-9.936627777777765E-5
-5.06807,-9.419094444444449E-5
-4.56807,-8.717402777777772E-5
-4.06807,-7.958744444444446E-5
-3.56807,-7.256183333333334E-5
-3.06807,-6.73555555555554E-5
-2.56807,-6.41565833333334E-5
-2.06807,-6.150180555555568E-5
-1.56807,-5.7822138888888905E-5
-1.06807,-5.330361111111119E-5
-0.568071,-4.9540833333333156E-5
-0.0680714,-4.9080388888888985E-5
0.431929,-5.290636111111109E-5
0.931929,-5.7328805555555574E-5
1.43193,-5.846219444444428E-5
1.93193,-5.6220777777777784E-5
2.43193,-5.557436111111103E-5
2.93193,-6.695413888888892E-5
3.43193,-9.968991666666665E-5
3.93193,-1.5516572222222243E-4
4.43193,-2.2519300000000016E-4
4.93193,-2.9666063888888886E-4
5.43193,-3.564910000000001E-4
5.93193,-3.976785E-4
6.43193,-4.2043344444444436E-4
6.93193,-4.2962672222222214E-4
7.43193,-4.2961861111111103E-4
7.93193,-4.213536666666665E-4
8.43193,-3.998515000000003E-4
8.93193,-3.594219444444446E-4
9.43193,-2.9983722222222213E-4
9.93193,-2.2952388888888874E-4
10.4319,-1.5847513888888882E-4
10.9319,-9.963266666666675E-5
11.4319,-6.0181416666666636E-5
11.9319,-3.903530555555545E-5
12.4319,-3.232152777777773E-5
12.9319,-3.1799361111111064E-5
13.4319,-3.1328638888889013E-5
13.9319,-3.0013833333333395E-5
14.4319,-2.9315916666666536E-5
14.9319,-3.110374999999992E-5
15.4319,-3.580291666666665E-5
15.9319,-4.409036111111106E-5
16.4319,-5.380280555555557E-5
16.9319,-6.075730555555562E-5
17.4319,-6.087305555555584E-5
17.9319,-5.152219444444451E-5
18.4319,-3.243252777777785E-5
18.9319,-5.475222222222297E-6
19.4319,2.3532194444444315E-5
19.9319,4.705133333333326E-5
20.4319,6.008375000000031E-5
20.9319,6.315316666666662E-5
21.4319,5.8140833333333365E-5
21.9319,4.406227777777798E-5
22.4319,1.8802972222222163E-5
22.9319,-1.4506138888888739E-5
23.4319,-4.497591666666656E-5
23.9319,-6.099113888888893E-5
24.4319,-5.506577777777792E-5
24.9319,-3.0520138888888914E-5
25.4319,4.077249999999877E-6
25.9319,3.447416666666663E-5
26.4319,5.434750000000001E-5
26.9319,6.820847222222231E-5
27.4319,7.769702777777774E-5
27.9319,8.482080555555552E-5
