ArcLength,DeltaRD
-11.0665,-2.7981387000000017E-4
-10.5665,-2.5002264500000005E-4
-10.0665,-2.2063704500000013E-4
-9.56653,-1.9181880000000012E-4
-9.06653,-1.6680919999999993E-4
-8.56653,-1.5162874500000006E-4
-8.06653,-1.4536426500000007E-4
-7.56653,-1.4389087000000003E-4
-7.06653,-1.4213751E-4
-6.56653,-1.3741929999999984E-4
-6.06653,-1.3185720499999992E-4
-5.56653,-1.3065492000000002E-4
-5.06653,-1.3935003499999986E-4
-4.56653,-1.595653999999999E-4
-4.06653,-1.8994812000000028E-4
-3.56653,-2.2617484E-4
-3.06653,-2.6318695999999985E-4
-2.56653,-2.9473835999999987E-4
-2.06653,-3.1418064999999995E-4
-1.56653,-3.15504615E-4
-1.06653,-3.0707226499999995E-4
-0.566528,-3.042770100000002E-4
-0.0665279,-3.250194199999999E-4
0.433472,-3.6078340500000027E-4
0.933472,-3.831336000000001E-4
1.43347,-3.764183E-4
1.93347,-3.44515815E-4
2.43347,-3.0393681499999987E-4
2.93347,-2.670190150000001E-4
3.43347,-2.3486038000000015E-4
3.93347,-2.038534999999999E-4
4.43347,-1.7772800500000002E-4
4.93347,-1.5786523000000015E-4
5.43347,-1.446556100000002E-4
5.93347,-1.3819619500000002E-4
6.43347,-1.3726657500000023E-4
6.93347,-1.3930546500000003E-4
7.43347,-1.4026761000000018E-4
7.93347,-1.3792342000000014E-4
8.43347,-1.3273936500000005E-4
8.93347,-1.2577622999999992E-4
9.43347,-1.1750138999999996E-4
9.93347,-1.0820309500000002E-4
10.4335,-9.519964000000007E-5
10.9335,-6.234732000000027E-5
