ArcLength,DeltaRD
-13.997,-8.813649499999992E-5
-13.497,-1.0594294999999993E-4
-12.997,-1.1465349000000004E-4
-12.497,-1.192464200000001E-4
-11.997,-1.1909870000000012E-4
-11.497,-1.1663261500000001E-4
-10.997,-1.1559649999999988E-4
-10.497,-1.1659965E-4
-9.99704,-1.1626817000000007E-4
-9.49704,-1.1508137500000019E-4
-8.99704,-1.1327375000000015E-4
-8.49704,-1.110001650000002E-4
-7.99704,-1.0864945500000018E-4
-7.49704,-1.0598352000000012E-4
-6.99704,-1.0481690999999981E-4
-6.49704,-1.087523700000003E-4
-5.99704,-1.2076980000000001E-4
-5.49704,-1.409455650000001E-4
-4.99704,-1.6504655000000004E-4
-4.49704,-1.8639875500000007E-4
-3.99704,-1.9699466500000009E-4
-3.49704,-1.9002543500000002E-4
-2.99704,-1.6444086E-4
-2.49704,-1.276224050000001E-4
-1.99704,-9.252508500000008E-5
-1.49704,-6.853398999999969E-5
-0.99704,-5.567221499999989E-5
-0.49704,-4.994768499999992E-5
0.00296022,-4.9949629999999955E-5
0.50296,-5.6457295000000005E-5
1.00296,-7.220139000000005E-5
1.50296,-9.614595500000004E-5
2.00296,-1.2886933000000003E-4
2.50296,-1.6713926499999982E-4
3.00296,-2.0485977999999992E-4
3.50296,-2.335103800000002E-4
4.00296,-2.45315545E-4
4.50296,-2.3773841000000002E-4
5.00296,-2.1532176499999996E-4
5.50296,-1.8746865999999995E-4
6.00296,-1.631585300000001E-4
6.50296,-1.4617520499999985E-4
7.00296,-1.3427784999999978E-4
7.50296,-1.2417103000000017E-4
8.00296,-1.1464561000000008E-4
8.50296,-1.0540301000000008E-4
9.00296,-9.626480499999991E-5
9.50296,-8.817498499999986E-5
10.003,-8.039416000000003E-5
10.503,-7.431366000000019E-5
11.003,-7.542293500000007E-5
11.503,-7.712004000000002E-5
12.003,-7.455908500000007E-5
12.503,-7.882186E-5
