ArcLength,DeltaRD
-19.0012,-3.198596633333334E-4
-18.5012,-3.1905301E-4
-18.0012,-3.0469391333333353E-4
-17.5012,-2.9286273333333347E-4
-17.0012,-3.1182034000000014E-4
-16.5012,-3.256522266666666E-4
-16.0012,-3.1539598333333294E-4
-15.5012,-2.8373724000000007E-4
-15.0012,-2.2953913666666698E-4
-14.5012,-1.6247828000000015E-4
-14.0012,-1.0333705000000002E-4
-13.5012,-7.003164666666663E-5
-13.0012,-6.330455666666678E-5
-12.5012,-6.794574999999996E-5
-12.0012,-7.351441666666667E-5
-11.5012,-7.845743666666657E-5
-11.0012,-8.304303999999993E-5
-10.5012,-8.763372333333338E-5
-10.0012,-9.138198333333346E-5
-9.50119,-9.408406666666668E-5
-9.00119,-9.622073666666663E-5
-8.50119,-9.75874633333334E-5
-8.00119,-9.716258666666667E-5
-7.50119,-9.38017366666667E-5
-7.00119,-8.75507200000002E-5
-6.50119,-8.034078333333335E-5
-6.00119,-7.440903666666655E-5
-5.50119,-6.86807333333333E-5
-5.00119,-6.132478666666657E-5
-4.50119,-5.154414333333342E-5
-4.00119,-4.116033333333331E-5
-3.50119,-3.1730633333333256E-5
-3.00119,-1.7443386666666583E-5
-2.50119,9.204623333333261E-6
-2.00119,5.1111543333333246E-5
-1.50119,1.0004134666666688E-4
-1.00119,1.3596343666666681E-4
-0.501185,1.4212916333333314E-4
-0.00118541,1.1104987666666645E-4
0.498815,5.420628999999982E-5
0.998815,-1.7968233333333491E-6
1.49881,-4.2648259999999885E-5
1.99881,-6.967397666666662E-5
2.49881,-8.639187666666657E-5
2.99881,-9.768261666666649E-5
3.49881,-1.0495875333333305E-4
3.99881,-1.0649873999999998E-4
4.49881,-1.016065866666666E-4
4.99881,-9.380683333333343E-5
5.49881,-8.745068000000009E-5
5.99881,-8.635652000000009E-5
6.49881,-9.209670333333337E-5
6.99881,-1.0063656333333352E-4
7.49881,-1.0682783333333331E-4
7.99881,-1.0665964666666677E-4
8.49881,-9.978806666666672E-5
8.99881,-8.941833333333334E-5
9.49881,-7.900793333333333E-5
9.99881,-7.063479666666675E-5
10.4988,-6.519655666666654E-5
10.9988,-6.286610333333339E-5
11.4988,-6.355304333333317E-5
11.9988,-6.60633766666666E-5
12.4988,-6.862737000000029E-5
12.9988,-6.807026999999994E-5
13.4988,-6.006363666666661E-5
13.9988,-4.5299296666666874E-5
14.4988,-2.7343523333333143E-5
14.9988,-7.386586666666703E-6
15.4988,6.781456666666696E-6
15.9988,1.800003666666667E-5
16.4988,2.6604669999999876E-5
16.9988,1.7049196666666885E-5
17.4988,2.882962333333348E-5
17.9988,5.274080333333335E-5
