ArcLength,DeltaRD
-15.728,-1.0120738333333325E-4
-15.228,-1.0035147999999975E-4
-14.728,-9.86579900000002E-5
-14.228,-9.46571766666667E-5
-13.728,-8.77257E-5
-13.228,-7.682701666666643E-5
-12.728,-6.28041000000001E-5
-12.228,-4.719976333333322E-5
-11.728,-2.9802779999999808E-5
-11.228,-1.0614700000000175E-5
-10.728,8.845700000000077E-6
-10.228,2.6216700000000043E-5
-9.72801,3.8593326666666876E-5
-9.22801,4.420498333333354E-5
-8.72801,4.158789666666653E-5
-8.22801,3.064847666666662E-5
-7.72801,1.3769156666666683E-5
-7.22801,-4.2629266666664636E-6
-6.72801,-1.8989946666666787E-5
-6.22801,-2.912897333333343E-5
-5.72801,-3.5807833333333225E-5
-5.22801,-4.0681243333333286E-5
-4.72801,-4.499439000000009E-5
-4.22801,-4.862970333333321E-5
-3.72801,-5.090784666666667E-5
-3.22801,-5.186492000000011E-5
-2.72801,-5.201560000000008E-5
-2.22801,-5.2300039999999865E-5
-1.72801,-5.328837333333329E-5
-1.22801,-5.445800666666685E-5
-0.728009,-5.53765700000001E-5
-0.228009,-5.644377666666662E-5
0.271991,-5.853237333333324E-5
0.771991,-6.109574666666648E-5
1.27199,-6.274142999999986E-5
1.77199,-6.481626999999999E-5
2.27199,-6.825623E-5
2.77199,-7.396603000000017E-5
3.27199,-8.192948666666639E-5
3.77199,-9.120723333333339E-5
4.27199,-1.0111461666666675E-4
4.77199,-1.1186884333333339E-4
5.27199,-1.2381008000000014E-4
5.77199,-1.3556038333333346E-4
6.27199,-1.4498137000000012E-4
6.77199,-1.5126479666666668E-4
7.27199,-1.550067233333333E-4
7.77199,-1.571936E-4
8.27199,-1.580630966666667E-4
8.77199,-1.5688337333333335E-4
9.27199,-1.528967133333333E-4
9.77199,-1.4606834666666668E-4
10.272,-1.3592190999999984E-4
10.772,-1.221856266666666E-4
11.272,-1.0519886999999992E-4
11.772,-8.714481666666652E-5
12.272,-7.162677333333344E-5
12.772,-6.231044999999993E-5
13.272,-6.0148453333333214E-5
13.772,-6.235523999999996E-5
14.272,-6.415547333333334E-5
14.772,-6.297252666666677E-5
15.272,-5.594703333333326E-5
15.772,-2.540142666666628E-5
