ArcLength,DeltaRD
-13.5243,-1.4138020000000005E-4
-13.0243,-1.6363217666666657E-4
-12.5243,-1.882389666666666E-4
-12.0243,-2.1709258666666664E-4
-11.5243,-2.4540419666666663E-4
-11.0243,-2.592921033333335E-4
-10.5243,-2.607897900000001E-4
-10.0243,-2.5634671666666694E-4
-9.52426,-2.4985354333333337E-4
-9.02426,-2.447660600000001E-4
-8.52426,-2.4161536999999986E-4
-8.02426,-2.3886542333333312E-4
-7.52426,-2.3474668333333336E-4
-7.02426,-2.2700790333333336E-4
-6.52426,-2.1355927666666646E-4
-6.02426,-1.9429187999999993E-4
-5.52426,-1.692079233333334E-4
-5.02426,-1.393978633333334E-4
-4.52426,-1.0850265000000002E-4
-4.02426,-8.272497666666676E-5
-3.52426,-6.536057000000009E-5
-3.02426,-5.553215999999986E-5
-2.52426,-5.1313926666666674E-5
-2.02426,-5.046719999999996E-5
-1.52426,-5.171415666666663E-5
-1.02426,-5.391451666666655E-5
-0.524263,-5.633658666666635E-5
-0.0242627,-5.8289219999999985E-5
0.475737,-5.93166E-5
0.975737,-5.976449333333319E-5
1.47574,-5.993364666666658E-5
1.97574,-5.980233000000006E-5
2.47574,-5.974387999999975E-5
2.97574,-6.0199410000000026E-5
3.47574,-6.111159E-5
3.97574,-6.206852000000017E-5
4.47574,-6.247395666666663E-5
4.97574,-6.181592999999997E-5
5.47574,-6.020580333333347E-5
5.97574,-5.788140333333317E-5
6.47574,-5.599514333333325E-5
6.97574,-5.5911236666666584E-5
7.47574,-5.830931666666651E-5
7.97574,-6.303957666666676E-5
8.47574,-6.885842666666672E-5
8.97574,-7.569510999999997E-5
9.47574,-8.394203000000003E-5
9.97574,-9.371128999999994E-5
10.4757,-1.0539917333333331E-4
10.9757,-1.1823000666666666E-4
11.4757,-1.3108045000000004E-4
11.9757,-1.416420233333332E-4
12.4757,-1.4788304666666654E-4
