ArcLength,DeltaRD
-31.8123,5.2577117777777814E-5
-31.3123,5.737119999999992E-5
-30.8123,6.299518666666643E-5
-30.3123,6.95418666666665E-5
-29.8123,7.838313555555551E-5
-29.3123,8.69844111111111E-5
-28.8123,9.444353111111097E-5
-28.3123,1.0037049111111132E-4
-27.8123,1.0456011333333335E-4
-27.3123,1.0695735333333348E-4
-26.8123,1.0721948666666669E-4
-26.3123,1.0545448666666676E-4
-25.8123,1.0086427999999995E-4
-25.3123,9.343390666666652E-5
-24.8123,8.35518044444444E-5
-24.3123,7.201037555555558E-5
-23.8123,6.051195333333314E-5
-23.3123,4.994722666666683E-5
-22.8123,4.083464666666673E-5
-22.3123,3.299771999999994E-5
-21.8123,2.6425242222222266E-5
-21.3123,2.1060540000000056E-5
-20.8123,1.652983555555567E-5
-20.3123,1.2760042222222144E-5
-19.8123,9.585093333333247E-6
-19.3123,6.809348888888898E-6
-18.8123,4.212188888889088E-6
-18.3123,1.580491111111246E-6
-17.8123,-1.1118066666669863E-6
-17.3123,-2.9242044444442988E-6
-16.8123,-3.0914733333334537E-6
-16.3123,-2.083002222222352E-6
-15.8123,-3.1400666666663284E-7
-15.3123,1.2475377777778317E-6
-14.8123,1.934611111111136E-6
-14.3123,1.85069111111112E-6
-13.8123,2.9853111111106684E-7
-13.3123,-3.2602066666665742E-6
-12.8123,-8.543228888888924E-6
-12.3123,-1.5064535555555378E-5
-11.8123,-2.2245457777777763E-5
-11.3123,-3.0720357777777704E-5
-10.8123,-4.207548444444434E-5
-10.3123,-5.697051999999981E-5
-9.81233,-7.318580444444435E-5
-9.31233,-8.5302533333333E-5
-8.81233,-8.658786444444458E-5
-8.31233,-7.465693555555554E-5
-7.81233,-5.2733535555555535E-5
-7.31233,-2.6379504444444426E-5
-6.81233,-8.272288888888646E-7
-6.31233,2.0780077777777573E-5
-5.81233,3.633877777777775E-5
-5.31233,4.465544444444446E-5
-4.81233,4.9832857777777715E-5
-4.31233,5.944415333333341E-5
-3.81233,7.907138666666657E-5
-3.31233,1.0640357333333331E-4
-2.81233,1.3000969333333329E-4
-2.31233,1.355031688888888E-4
-1.81233,1.199171866666667E-4
-1.31233,9.514032888888863E-5
-0.812329,7.813908444444457E-5
-0.312329,8.384274222222204E-5
0.187671,1.1273258888888898E-4
0.687671,1.4454846444444448E-4
1.18767,1.5739923777777784E-4
1.68767,1.5156855777777767E-4
2.18767,1.2681088888888891E-4
2.68767,9.178028000000004E-5
3.18767,5.7141924444444525E-5
3.68767,2.7099873333333324E-5
4.18767,2.6614266666665637E-6
4.68767,-1.6443073333333104E-5
5.18767,-3.130029111111086E-5
5.68767,-4.324175555555547E-5
6.18767,-5.4239151111111234E-5
6.68767,-6.353330888888892E-5
7.18767,-6.448604666666673E-5
7.68767,-5.1725433333333704E-5
8.18767,-2.8849242222222268E-5
8.68767,-6.361897777777659E-6
9.18767,5.457235555555474E-6
9.68767,5.342855555555523E-6
10.1877,-5.987644444445774E-7
10.6877,-6.702464444444415E-6
11.1877,-1.2155408888888915E-5
11.6877,-1.7392377777777782E-5
12.1877,-2.2575873333333216E-5
12.6877,-2.6974097777777875E-5
13.1877,-3.005927333333332E-5
13.6877,-3.256880000000013E-5
14.1877,-3.522863333333347E-5
14.6877,-3.7978199999999887E-5
15.1877,-4.026512222222219E-5
15.6877,-4.116323777777781E-5
16.1877,-4.049153555555566E-5
16.6877,-3.877528888888884E-5
17.1877,-3.665445333333312E-5
17.6877,-3.478588666666659E-5
18.1877,-3.34559088888889E-5
18.6877,-3.3065857777777935E-5
19.1877,-3.382307333333332E-5
19.6877,-3.593949555555538E-5
20.1877,-3.96586333333334E-5
20.6877,-4.496278444444447E-5
21.1877,-5.18030288888889E-5
21.6877,-5.962886000000019E-5
22.1877,-6.745522222222251E-5
22.6877,-7.400020222222232E-5
23.1877,-7.770921555555563E-5
23.6877,-7.706000666666657E-5
24.1877,-7.063638888888898E-5
24.6877,-5.817627999999992E-5
25.1877,-4.051847333333349E-5
25.6877,-1.9319759999999846E-5
26.1877,2.734955555555585E-6
26.6877,2.2471817777777606E-5
27.1877,3.8186913333333066E-5
27.6877,4.898535333333338E-5
28.1877,5.5127762222222164E-5
28.6877,5.818053777777773E-5
29.1877,5.92973355555556E-5
29.6877,5.918580222222215E-5
30.1877,5.910230222222219E-5
30.6877,6.107969555555555E-5
31.1877,6.577855777777791E-5
