ArcLength,DeltaRD
-19.028,-1.1527959999999633E-5
-18.528,-1.862045555555585E-5
-18.028,-2.25094799999998E-5
-17.528,-2.597825333333322E-5
-17.028,-2.994379333333332E-5
-16.528,-3.205604666666666E-5
-16.028,-2.7901804444444424E-5
-15.528,-2.4378591111111044E-5
-15.028,-2.3662175555555585E-5
-14.528,-2.5459175555555364E-5
-14.028,-2.8983882222222146E-5
-13.528,-3.261429111111138E-5
-13.028,-3.488851333333337E-5
-12.528,-3.538973333333333E-5
-12.028,-3.419942888888887E-5
-11.528,-3.189150222222218E-5
-11.028,-2.899988888888875E-5
-10.528,-2.5932355555555587E-5
-10.028,-2.3203988888888922E-5
-9.52798,-2.1042046666666604E-5
-9.02798,-1.905640000000007E-5
-8.52798,-1.607785999999979E-5
-8.02798,-1.1556026666666619E-5
-7.52798,-6.903535555555576E-6
-7.02798,-4.111933333333039E-6
-6.52798,-3.915926666666529E-6
-6.02798,-5.679166666666658E-6
-5.52798,-8.590788888889053E-6
-5.02798,-1.4427780000000044E-5
-4.52798,-2.6126811111111124E-5
-4.02798,-4.354286444444434E-5
-3.52798,-6.196681111111089E-5
-3.02798,-7.637554666666652E-5
-2.52798,-8.455305999999994E-5
-2.02798,-8.736309555555563E-5
-1.52798,-8.84872133333332E-5
-1.02798,-9.157918888888901E-5
-0.527979,-1.0095703333333342E-4
-0.0279793,-1.2148307555555555E-4
0.472021,-1.4631175111111112E-4
0.972021,-1.6484804222222218E-4
1.47202,-1.703849066666666E-4
1.97202,-1.6402572666666704E-4
2.47202,-1.512538933333332E-4
2.97202,-1.357937666666665E-4
3.47202,-1.1966921333333351E-4
3.97202,-1.0297317999999984E-4
4.47202,-8.676722666666674E-5
4.97202,-7.178540000000013E-5
5.47202,-5.739876222222225E-5
5.97202,-4.2775975555555497E-5
6.47202,-2.9495724444444254E-5
6.97202,-1.951305555555568E-5
7.47202,-1.3685559999999973E-5
7.97202,-1.0957173333333388E-5
8.47202,-8.609448888888976E-6
8.97202,-5.614611111111074E-6
9.47202,-2.770202222222287E-6
9.97202,-8.976377777776675E-7
10.472,-8.363533333332306E-7
10.972,-2.939860000000013E-6
11.472,-6.839506666666759E-6
11.972,-1.1861931111111336E-5
12.472,-1.678111333333317E-5
12.972,-2.0889811111111174E-5
13.472,-2.4166873333333113E-5
13.972,-2.7274233333333215E-5
14.472,-3.0668171111111146E-5
14.972,-3.488656000000007E-5
15.472,-3.9968035555555496E-5
15.972,-4.468967111111101E-5
16.472,-4.654719111111096E-5
16.972,-4.349636222222223E-5
17.472,-3.950466444444423E-5
17.972,-3.537255333333346E-5
18.472,-3.1039760000000065E-5
18.972,-1.8111195555555598E-5
