ArcLength,DeltaRD
-26.1154,-1.97001555555553E-5
-25.6154,-2.067804666666662E-5
-25.1154,-1.82674844444445E-5
-24.6154,-1.591710666666655E-5
-24.1154,-1.3727639999999773E-5
-23.6154,-1.2906628888889236E-5
-23.1154,1.3365075555555293E-5
-22.6154,2.4194097777778013E-5
-22.1154,2.43738533333332E-5
-21.6154,2.1188713333333484E-5
-21.1154,1.5471651111111182E-5
-20.6154,8.32078666666684E-6
-20.1154,1.4703355555558328E-6
-19.6154,-5.368724444444598E-6
-19.1154,-1.2690466666666561E-5
-18.6154,-2.014512222222242E-5
-18.1154,-2.7080920000000083E-5
-17.6154,-3.224881555555562E-5
-17.1154,-3.5787382222222204E-5
-16.6154,-3.765577111111099E-5
-16.1154,-3.7959359999999815E-5
-15.6154,-3.752396444444469E-5
-15.1154,-3.7020642222222256E-5
-14.6154,-3.696522444444439E-5
-14.1154,-3.7015791111111025E-5
-13.6154,-3.616635555555572E-5
-13.1154,-3.351411777777777E-5
-12.6154,-2.9342135555555514E-5
-12.1154,-2.385497111111114E-5
-11.6154,-1.825667111111115E-5
-11.1154,-1.397071555555554E-5
-10.6154,-1.1925388888888843E-5
-10.1154,-1.2508382222222239E-5
-9.61538,-1.5804255555555572E-5
-9.11538,-2.13691444444445E-5
-8.61538,-2.89130266666668E-5
-8.11538,-3.8224522222222285E-5
-7.61538,-4.8534179999999965E-5
-7.11538,-5.92117044444446E-5
-6.61538,-6.924307777777779E-5
-6.11538,-7.729712000000016E-5
-5.61538,-8.262252888888903E-5
-5.11538,-8.464670666666655E-5
-4.61538,-8.434278533333341E-5
-4.11538,-8.344718222222218E-5
-3.61538,-8.309694444444459E-5
-3.11538,-8.384366044444442E-5
-2.61538,-8.55457079999999E-5
-2.11538,-8.818958933333324E-5
-1.61538,-9.160828711111106E-5
-1.11538,-9.538783066666647E-5
-0.615376,-9.907656799999982E-5
-0.115376,-1.0304824044444442E-4
0.384624,-1.0688682133333337E-4
0.884624,-1.1041335062222224E-4
1.38462,-1.1334504275555565E-4
1.88462,-1.1478856960000009E-4
2.38462,-1.1431260444444451E-4
2.88462,-1.1256478844444439E-4
3.38462,-1.1039610666666662E-4
3.88462,-1.0898999777777765E-4
4.38462,-1.080377088888889E-4
4.88462,-1.0654710444444433E-4
5.38462,-1.0383824888888875E-4
5.88462,-9.971654000000003E-5
6.38462,-9.536435555555561E-5
6.88462,-9.23321311111111E-5
7.38462,-9.144901333333353E-5
7.88462,-9.244052000000015E-5
8.38462,-9.36129133333332E-5
8.88462,-9.28923844444445E-5
9.38462,-8.901201333333343E-5
9.88462,-8.269338222222241E-5
10.3846,-7.596161777777787E-5
10.8846,-7.033167333333351E-5
11.3846,-6.662449111111113E-5
11.8846,-6.519940666666654E-5
12.3846,-6.557158444444461E-5
12.8846,-6.6237008888889E-5
13.3846,-6.561492222222206E-5
13.8846,-6.332413111111103E-5
14.3846,-6.04548266666668E-5
14.8846,-5.838315777777767E-5
15.3846,-5.765837555555566E-5
15.8846,-5.713110888888888E-5
16.3846,-5.503510222222205E-5
16.8846,-5.0183366666666515E-5
17.3846,-4.1958842222222337E-5
17.8846,-3.214682888888899E-5
18.3846,-2.453604888888873E-5
18.8846,-1.7742624444444348E-5
19.3846,-1.0978966666666556E-5
