ArcLength,DeltaRD
-28.7101,1.3637776315789465E-4
-28.2101,1.24124480263158E-4
-27.7101,1.1117565789473677E-4
-27.2101,9.40181776315789E-5
-26.7101,7.519949999999981E-5
-26.2101,6.0821269736841986E-5
-25.7101,5.1167078947368465E-5
-25.2101,4.591349342105279E-5
-24.7101,4.427859210526296E-5
-24.2101,4.3927842105263046E-5
-23.7101,4.3298039473684186E-5
-23.2101,4.064030263157897E-5
-22.7101,3.3830848684210575E-5
-22.2101,2.241018421052644E-5
-21.7101,5.0117499999999E-6
-21.2101,-1.8087901315789654E-5
-20.7101,-4.312844736842087E-5
-20.2101,-6.245015131578935E-5
-19.7101,-6.94212960526317E-5
-19.2101,-6.329145394736845E-5
-18.7101,-4.843366447368426E-5
-18.2101,-3.1560730263158025E-5
-17.7101,-1.6235605263157813E-5
-17.2101,-2.4344276315788537E-6
-16.7101,1.1192861842105207E-5
-16.2101,2.481438815789467E-5
-15.7101,3.961130263157881E-5
-15.2101,5.56543552631579E-5
-14.7101,7.280588815789467E-5
-14.2101,8.95543289473682E-5
-13.7101,1.0427673026315826E-4
-13.2101,1.138213026315785E-4
-12.7101,1.1877717105263173E-4
-12.2101,1.2061374999999992E-4
-11.7101,1.2346769736842097E-4
-11.2101,1.3164743421052597E-4
-10.7101,1.4743263157894764E-4
-10.2101,1.7174894736842112E-4
-9.71011,2.0156506578947425E-4
-9.21011,2.369698684210528E-4
-8.71011,2.76563065789474E-4
-8.21011,3.1880935526315784E-4
-7.71011,3.5989613157894756E-4
-7.21011,3.918053618421054E-4
-6.71011,4.064076052631583E-4
-6.21011,4.0179490789473684E-4
-5.71011,3.814786578947367E-4
-5.21011,3.5037213157894744E-4
-4.71011,3.101627631578944E-4
-4.21011,2.6053176315789456E-4
-3.71011,1.9867032236842164E-4
-3.21011,1.226567894736842E-4
-2.71011,3.349882894736851E-5
-2.21011,-5.7598092105263154E-5
-1.71011,-1.3205611842105245E-4
-1.21011,-1.7437868421052568E-4
-0.71011,-1.8014539473684222E-4
-0.21011,-1.6596480263157904E-4
0.28989,-1.4649835526315798E-4
0.78989,-1.2909401315789422E-4
1.28989,-1.1021193421052603E-4
1.78989,-7.831718421052623E-5
2.28989,-3.37582631578944E-5
2.78989,2.0954921052631628E-5
3.28989,7.731680263157884E-5
3.78989,1.280898157894738E-4
4.28989,1.700351447368419E-4
4.78989,2.0854615131578975E-4
5.28989,2.500861052631583E-4
5.78989,2.9660657236842093E-4
6.28989,3.431258947368416E-4
6.78989,3.78392322368421E-4
7.28989,3.9480123684210535E-4
7.78989,3.9143210526315793E-4
8.28989,3.726608552631582E-4
8.78989,3.4473164473684207E-4
9.28989,3.141168421052635E-4
9.78989,2.857701973684216E-4
10.2899,2.6372578947368437E-4
10.7899,2.4976552631578944E-4
11.2899,2.4014164473684175E-4
11.7899,2.2933589473684234E-4
12.2899,2.1296715789473667E-4
12.7899,1.9119748026315796E-4
13.2899,1.687052763157896E-4
13.7899,1.494155394736838E-4
14.2899,1.3603000657894722E-4
14.7899,1.270582368421055E-4
15.2899,1.2040524342105282E-4
15.7899,1.1320465789473651E-4
16.2899,1.0318375657894724E-4
16.7899,8.92777565789473E-5
17.2899,7.099728947368422E-5
17.7899,4.894635526315799E-5
18.2899,2.3345914473684197E-5
18.7899,-3.7891578947368094E-6
19.2899,-2.9209835526315653E-5
19.7899,-5.039696052631568E-5
20.2899,-6.576848026315803E-5
20.7899,-7.510476973684207E-5
21.2899,-7.879878289473693E-5
21.7899,-7.723338157894738E-5
22.2899,-7.047484210526297E-5
22.7899,-5.871931578947361E-5
23.2899,-4.246936842105251E-5
23.7899,-2.311736184210534E-5
24.2899,-2.6198355263158148E-6
24.7899,1.7851697368421082E-5
25.2899,3.6143118421052786E-5
25.7899,5.091015789473704E-5
26.2899,6.183338157894744E-5
26.7899,7.126950000000006E-5
27.2899,8.082255263157888E-5
27.7899,8.946037499999988E-5
28.2899,9.879020394736862E-5
28.7899,1.0711900657894738E-4
