ArcLength,DeltaRD
-10.9135,-1.4967188815789465E-4
-10.4135,-1.151661578947371E-4
-9.91353,-8.883357894736831E-5
-9.41353,-6.688384868421048E-5
-8.91353,-5.265290131578951E-5
-8.41353,-5.920998026315782E-5
-7.91353,-9.7747717105263E-5
-7.41353,-1.690543618421053E-4
-6.91353,-2.627479671052634E-4
-6.41353,-3.6066155921052627E-4
-5.91353,-4.4389497368421053E-4
-5.41353,-4.978501447368421E-4
-4.91353,-5.149923421052632E-4
-4.41353,-4.969616644736842E-4
-3.91353,-4.548880986842105E-4
-3.41353,-4.048549144736841E-4
-2.91353,-3.624188815789473E-4
-2.41353,-3.359385131578949E-4
-1.91353,-3.182534539473684E-4
-1.41353,-2.910995197368424E-4
-0.913531,-2.533643552631577E-4
-0.413531,-1.795508750000002E-4
0.086469,-7.072285526315788E-5
0.586469,2.5661052631578848E-5
1.08647,8.325479605263164E-5
1.58647,1.2266412500000002E-4
2.08647,1.346999802631577E-4
2.58647,1.1878312500000006E-4
3.08647,8.149363815789477E-5
3.58647,2.6832125000000005E-5
4.08647,-4.29721907894738E-5
4.58647,-1.1800721710526307E-4
5.08647,-1.8359876315789472E-4
5.58647,-2.2637498026315786E-4
6.08647,-2.4894421052631575E-4
6.58647,-2.533588026315789E-4
7.08647,-2.393769013157896E-4
7.58647,-2.115133881578947E-4
8.08647,-1.7071725657894746E-4
8.58647,-1.5405134868421073E-4
9.08647,-1.8004553289473744E-4
9.58647,-2.8096029605263187E-4
10.0865,-4.991458157894738E-4
10.5865,-6.681686052631578E-4
11.0865,-7.705186973684211E-4
11.5865,-8.421369473684206E-4
12.0865,-8.918825394736842E-4
12.5865,-9.15894965789474E-4
13.0865,-9.038054197368421E-4
