ArcLength,DeltaRD
-44.7134,-1.322719561403507E-4
-44.2134,-1.291358026315791E-4
-43.7134,-1.2761739035087706E-4
-43.2134,-1.2641528070175432E-4
-42.7134,-1.2612362280701756E-4
-42.2134,-1.26764192982456E-4
-41.7134,-1.26958403508772E-4
-41.2134,-1.270523026315791E-4
-40.7134,-1.2701734210526317E-4
-40.2134,-1.2645836403508775E-4
-39.7134,-1.2516075438596486E-4
-39.2134,-1.2196644298245621E-4
-38.7134,-1.1614711403508751E-4
-38.2134,-1.0820917543859649E-4
-37.7134,-9.94569561403508E-5
-37.2134,-9.157515789473677E-5
-36.7134,-8.556085087719324E-5
-36.2134,-8.134783771929823E-5
-35.7134,-7.815306578947355E-5
-35.2134,-7.525041666666657E-5
-34.7134,-7.253283771929805E-5
-34.2134,-7.084509649122814E-5
-33.7134,-7.071762719298253E-5
-33.2134,-7.210435526315811E-5
-32.7134,-7.43317105263157E-5
-32.2134,-7.657410087719314E-5
-31.7134,-7.833475438596494E-5
-31.2134,-7.948638157894707E-5
-30.7134,-8.018785087719293E-5
-30.2134,-8.066808333333307E-5
-29.7134,-8.10458815789474E-5
-29.2134,-8.092311842105291E-5
-28.7134,-7.974849561403498E-5
-28.2134,-7.698469736842114E-5
-27.7134,-7.223971929824562E-5
-27.2134,-6.539065789473676E-5
-26.7134,-5.604856578947392E-5
-26.2134,-4.4620456140351066E-5
-25.7134,-3.278495175438559E-5
-25.2134,-2.3204640350877226E-5
-24.7134,-1.8310561403508973E-5
-24.2134,-1.9531096491227917E-5
-23.7134,-2.6531802631578924E-5
-23.2134,-3.745919736842119E-5
-22.7134,-4.871909210526332E-5
-22.2134,-5.642875877192959E-5
-21.7134,-5.8252030701754247E-5
-21.2134,-5.493103508771944E-5
-20.7134,-4.9410701754385995E-5
-20.2134,-4.465173245614038E-5
-19.7134,-4.1847421052631584E-5
-19.2134,-4.027702192982473E-5
-18.7134,-3.8673517543859684E-5
-18.2134,-3.692310964912269E-5
-17.7134,-3.581339473684216E-5
-17.2134,-3.5813872807017515E-5
-16.7134,-3.681078947368431E-5
-16.2134,-3.784998245614027E-5
-15.7134,-3.872024561403509E-5
-15.2134,-3.9698552631578965E-5
-14.7134,-4.062828508771951E-5
-14.2134,-4.027432017543865E-5
-13.7134,-3.772624561403494E-5
-13.2134,-3.488912719298246E-5
-12.7134,-3.596921491228074E-5
-12.2134,-3.901874561403529E-5
-11.7134,-3.818847368421054E-5
-11.2134,-3.113818859649096E-5
-10.7134,-2.0426114035087617E-5
-10.2134,-1.4194105263157925E-5
-9.71343,-1.6979052631578974E-5
-9.21343,-2.675955263157896E-5
-8.71343,-4.1729649122806945E-5
-8.21343,-5.8680793859649106E-5
-7.71343,-7.370728070175438E-5
-7.21343,-8.523610087719281E-5
-6.71343,-9.319459210526304E-5
-6.21343,-9.8009135964912E-5
-5.71343,-9.658060964912282E-5
-5.21343,-8.228544736842115E-5
-4.71343,-5.222779824561388E-5
-4.21343,-1.1616245614034853E-5
-3.71343,2.969206140350847E-5
-3.21343,6.253351754385936E-5
-2.71343,8.029597807017604E-5
-2.21343,8.026992543859685E-5
-1.71343,5.914338596491216E-5
-1.21343,1.992303508771933E-5
-0.713433,-2.3277605263157886E-5
-0.213433,-6.858046929824539E-5
0.286567,-8.56432280701752E-5
0.786567,-6.25694561403507E-5
1.28657,-1.967903070175395E-5
1.78657,2.8156065789473796E-5
2.28657,5.989289473684188E-5
2.78657,6.382462280701698E-5
3.28657,4.4662543859649156E-5
3.78657,1.5155092105263073E-5
4.28657,-1.3147596491227967E-5
4.78657,-3.473120175438607E-5
5.28657,-4.9198662280701606E-5
5.78657,-6.05853991228069E-5
6.28657,-6.90438114035087E-5
6.78657,-6.952042105263145E-5
7.28657,-6.006224561403491E-5
7.78657,-4.4465609649122786E-5
8.28657,-3.0311570175438536E-5
8.78657,-2.4355307017543868E-5
9.28657,-2.7058337719298325E-5
9.78657,-3.53028640350878E-5
10.2866,-4.2127565789473525E-5
10.7866,-4.0566223684210495E-5
11.2866,-3.071128070175437E-5
11.7866,-1.8959719298245674E-5
12.2866,-1.2991776315789388E-5
12.7866,-1.638405263157882E-5
13.2866,-2.497416666666667E-5
13.7866,-3.433851754385973E-5
14.2866,-4.203293859649101E-5
14.7866,-4.740156578947395E-5
15.2866,-5.0372719298245666E-5
15.7866,-5.091528947368418E-5
16.2866,-4.903276315789491E-5
16.7866,-4.504521052631574E-5
17.2866,-4.0683096491228E-5
17.7866,-3.8578543859649206E-5
18.2866,-4.060195175438605E-5
18.7866,-4.6505763157894914E-5
19.2866,-5.402868421052636E-5
19.7866,-6.075075877192966E-5
20.2866,-6.482622368421062E-5
20.7866,-6.497680263157894E-5
21.2866,-6.0125320175438636E-5
21.7866,-4.9316811403508714E-5
22.2866,-3.336583771929827E-5
22.7866,-1.5154350877193156E-5
23.2866,1.6183771929826826E-6
23.7866,1.3439732456140409E-5
24.2866,1.8609087719298023E-5
24.7866,1.6506864035087734E-5
25.2866,7.67726315789466E-6
25.7866,-6.071083333333252E-6
26.2866,-2.2345017543859706E-5
26.7866,-3.8149570175438565E-5
27.2866,-5.0967223684210547E-5
27.7866,-5.9192311403508894E-5
28.2866,-6.298853947368419E-5
28.7866,-6.398618859649154E-5
29.2866,-6.404067105263167E-5
29.7866,-6.427735526315804E-5
30.2866,-6.461228508771919E-5
30.7866,-6.450784210526334E-5
31.2866,-6.398406140350858E-5
31.7866,-6.346825877192978E-5
32.2866,-6.359877192982464E-5
32.7866,-6.458347807017546E-5
33.2866,-6.622935526315798E-5
33.7866,-6.840576754385964E-5
34.2866,-7.107891666666686E-5
34.7866,-7.4383197368421E-5
35.2866,-7.850396491228089E-5
35.7866,-8.371852631578933E-5
36.2866,-9.022809649122802E-5
36.7866,-9.808033771929834E-5
37.2866,-1.0692798245614014E-4
37.7866,-1.1588817982456157E-4
38.2866,-1.2420987719298244E-4
38.7866,-1.3119893421052612E-4
39.2866,-1.3590295175438605E-4
39.7866,-1.3703694298245633E-4
40.2866,-1.3348725438596483E-4
40.7866,-1.254822763157896E-4
41.2866,-1.1627241666666672E-4
41.7866,-1.0912960087719286E-4
42.2866,-1.0501572807017562E-4
42.7866,-1.0504954824561402E-4
