ArcLength,DeltaRD
-20.3931,-2.3496881578947667E-5
-19.8931,-3.1955815789473695E-5
-19.3931,-4.0202135964912213E-5
-18.8931,-5.09210087719299E-5
-18.3931,-5.687718421052649E-5
-17.8931,-6.001195614035093E-5
-17.3931,-6.338667982456157E-5
-16.8931,-6.731079385964903E-5
-16.3931,-7.220100877192994E-5
-15.8931,-7.815977631578928E-5
-15.3931,-8.44571271929824E-5
-14.8931,-9.26020921052632E-5
-14.3931,-1.010816535087721E-4
-13.8931,-1.0882150438596501E-4
-13.3931,-1.1600390789473698E-4
-12.8931,-1.1972210087719294E-4
-12.3931,-1.2204910526315794E-4
-11.8931,-1.2517682456140316E-4
-11.3931,-1.3042896929824576E-4
-10.8931,-1.3805597807017551E-4
-10.3931,-1.4690446052631565E-4
-9.89307,-1.5503661842105265E-4
-9.39307,-1.6056573684210533E-4
-8.89307,-1.6195265350877187E-4
-8.39307,-1.5826880263157908E-4
-7.89307,-1.4925360964912265E-4
-7.39307,-1.3527342543859645E-4
-6.89307,-1.1780496929824551E-4
-6.39307,-9.884121052631579E-5
-5.89307,-8.078458333333333E-5
-5.39307,-6.751085526315772E-5
-4.89307,-6.268998245614053E-5
-4.39307,-6.754145614035092E-5
-3.89307,-7.901176315789488E-5
-3.39307,-9.104225438596515E-5
-2.89307,-9.834878947368418E-5
-2.39307,-9.933977192982458E-5
-1.89307,-9.508638157894745E-5
-1.39307,-8.741266666666679E-5
-0.893068,-7.893815789473686E-5
-0.393068,-7.067385964912255E-5
0.106932,-6.489862719298231E-5
0.606932,-6.36189166666666E-5
1.10693,-6.541940350877169E-5
1.60693,-6.70305394736843E-5
2.10693,-6.541118421052642E-5
2.60693,-5.9016210526315624E-5
3.10693,-4.963191666666658E-5
3.60693,-4.069815789473671E-5
4.10693,-3.440252631578967E-5
4.60693,-3.072887719298247E-5
5.10693,-2.7643754385964876E-5
5.60693,-2.2719149122806914E-5
6.10693,-1.3606403508771635E-5
6.60693,6.635921052631794E-7
7.10693,1.62931754385965E-5
7.60693,2.6194605263157736E-5
8.10693,2.3497750000000075E-5
8.60693,6.496083333333222E-6
9.10693,-1.79717324561401E-5
9.60693,-3.899067105263146E-5
10.1069,-4.842812280701737E-5
10.6069,-4.5500109649122865E-5
11.1069,-3.558628947368417E-5
11.6069,-2.578539473684202E-5
12.1069,-2.0202372807017442E-5
12.6069,-1.8353640350877174E-5
13.1069,-1.8227535087719142E-5
13.6069,-1.8723842105262804E-5
14.1069,-2.0693390350877395E-5
14.6069,-2.5944885964912295E-5
15.1069,-3.5419429824561544E-5
15.6069,-4.76091973684213E-5
16.1069,-5.6889934210526284E-5
16.6069,-6.43233245614036E-5
