ArcLength,DeltaRD
-14.3111,-4.381923567251462E-4
-13.8111,-4.656997134502922E-4
-13.3111,-4.443347485380122E-4
-12.8111,-3.9390154678362586E-4
-12.3111,-3.055536578947366E-4
-11.8111,-1.91126081871345E-4
-11.3111,-1.0892907894736819E-4
-10.8111,-7.975186257309962E-5
-10.3111,-9.52318625730992E-5
-9.81114,-1.0379758479532207E-4
-9.31114,-7.133609064327497E-5
-8.81114,-2.0090891812865478E-5
-8.31114,2.4735637426900664E-5
-7.81114,4.8656640350877036E-5
-7.31114,4.428235964912264E-5
-6.81114,1.5493397660818766E-5
-6.31114,-2.631165204678321E-5
-5.81114,-6.491828070175456E-5
-5.31114,-8.389608479532178E-5
-4.81114,-7.127581578947361E-5
-4.31114,-2.594391228070178E-5
-3.81114,3.981084502923966E-5
-3.31114,1.0328147953216375E-4
-2.81114,1.4371349707602342E-4
-2.31114,1.539222602339182E-4
-1.81114,1.4382151754385947E-4
-1.31114,1.2898381578947357E-4
-0.811136,1.2034897076023396E-4
-0.311136,1.1632683625731007E-4
0.188864,1.1470766081871347E-4
0.688864,1.1431412573099399E-4
1.18886,1.1422833918128654E-4
1.68886,1.135795409356725E-4
2.18886,1.0862849707602329E-4
2.68886,9.754713742690072E-5
3.18886,8.189656140350878E-5
3.68886,6.557450584795314E-5
4.18886,5.1748032163742705E-5
4.68886,4.187175438596501E-5
5.18886,3.520392982456146E-5
5.68886,3.0402029239766002E-5
6.18886,2.680393567251456E-5
6.68886,2.3896921052631546E-5
7.18886,2.137962573099412E-5
7.68886,1.82037046783627E-5
8.18886,1.3582614035087472E-5
8.68886,7.974266081871273E-6
9.18886,2.862932748538198E-6
9.68886,-7.201491228072624E-7
10.1889,-2.1857894736839432E-6
10.6889,-1.695377192982594E-6
11.1889,1.0271900584796038E-6
11.6889,4.497052631579116E-6
12.1889,3.727070175438621E-6
12.6889,-3.9469415204679325E-6
13.1889,-1.6905307017543877E-5
13.6889,-3.285342690058444E-5
14.1889,-4.9022605263157755E-5
14.6889,-6.468861988304108E-5
15.1889,-8.110639181286552E-5
15.6889,-9.361159356725162E-5
16.1889,-1.048474122807018E-4
16.6889,-1.113320497076023E-4
