ArcLength,DeltaRD
-29.464,3.856995789473772E-6
-28.964,2.1661484210525267E-6
-28.464,1.2296021052632692E-6
-27.964,-1.010676842105331E-6
-27.464,-6.046415789473709E-6
-26.964,-1.3992389473683987E-5
-26.464,-2.397407473684189E-5
-25.964,-3.315758210526332E-5
-25.464,-3.81168926315785E-5
-24.964,-3.734577578947383E-5
-24.464,-3.178492105263171E-5
-23.964,-2.4109507368420737E-5
-23.464,-1.6498203157894577E-5
-22.964,-9.705889473684529E-6
-22.464,-3.451459999999915E-6
-21.964,2.141241052631515E-6
-21.464,6.832777894736708E-6
-20.964,1.0794563157894618E-5
-20.464,1.4225228421052777E-5
-19.964,1.7630703157894682E-5
-19.464,2.121641263157898E-5
-18.964,2.462597578947387E-5
-18.464,2.7071595789473677E-5
-17.964,2.783496842105246E-5
-17.464,2.7016226315789284E-5
-16.964,2.534749789473705E-5
-16.464,2.3572434736842144E-5
-15.964,2.1921190526315803E-5
-15.464,1.9523046315789334E-5
-14.964,1.580123368421073E-5
-14.464,1.1965646315789473E-5
-13.964,9.712472631578993E-6
-13.464,1.0088182105262946E-5
-12.964,1.1834116842105282E-5
-12.464,1.2249094736842053E-5
-11.964,9.935761052631375E-6
-11.464,5.711272631578812E-6
-10.964,1.2210642105261451E-6
-10.464,-3.7483105263157396E-6
-9.96398,-9.103984210526227E-6
-9.46398,-1.375370526315769E-5
-8.96398,-1.4244129473684332E-5
-8.46398,-8.938134736842236E-6
-7.96398,-4.2605894736845625E-7
-7.46398,7.731101052631836E-6
-6.96398,1.2826456842105231E-5
-6.46398,1.526503263157917E-5
-5.96398,1.6711462105263217E-5
-5.46398,1.9118379999999826E-5
-4.96398,2.5031083157894644E-5
-4.46398,3.4098454736842024E-5
-3.96398,4.2024361052631683E-5
-3.46398,4.3445203157894724E-5
-2.96398,3.596541578947338E-5
-2.46398,2.4910951578947316E-5
-1.96398,2.0124984210526066E-5
-1.46398,2.7976109473684327E-5
-0.963982,4.39380368421052E-5
-0.463982,6.4618506315789E-5
0.0360181,7.994236842105273E-5
0.536018,7.635809999999993E-5
1.03602,6.297122526315751E-5
1.53602,5.424763578947369E-5
2.03602,5.920141684210493E-5
2.53602,8.276540736842117E-5
3.03602,1.1283658631578938E-4
3.53602,1.3165537578947392E-4
4.03602,1.298972263157896E-4
4.53602,1.1104250631578942E-4
5.03602,8.689640631578965E-5
5.53602,6.619090315789487E-5
6.03602,5.057617894736841E-5
6.53602,3.517489052631568E-5
7.03602,1.6085135789473625E-5
7.53602,-7.78126315789478E-6
8.03602,-3.461343684210553E-5
8.53602,-5.805998000000016E-5
9.03602,-7.065241894736837E-5
9.53602,-6.858356842105273E-5
10.036,-5.327150421052655E-5
10.536,-3.31313042105265E-5
11.036,-1.6340250526315943E-5
11.536,-5.334651578947549E-6
12.036,3.758105263157105E-7
12.536,3.1275968421051563E-6
13.036,4.445330526315792E-6
13.536,4.905327368420818E-6
14.036,5.3858947368421286E-6
14.536,7.192485263158048E-6
15.036,1.1317850526315989E-5
15.536,1.6578622105263086E-5
16.036,2.0462592631578856E-5
16.536,2.0899860000000037E-5
17.036,1.7719670526315703E-5
17.536,1.264383368421054E-5
18.036,7.754167368421213E-6
18.536,4.23361684210536E-6
19.036,2.136931578947468E-6
19.536,1.1052978947369242E-6
20.036,8.340915789473461E-7
20.536,1.1372736842109408E-6
21.036,1.8561526315789834E-6
21.536,2.5263147368422565E-6
22.036,2.7740799999997727E-6
22.536,2.64346526315806E-6
23.036,2.3510221052627615E-6
23.536,2.393057894736696E-6
24.036,2.8865915789473E-6
24.536,4.007738947368455E-6
25.036,6.033047368420941E-6
25.536,8.623027368420818E-6
26.036,1.1776589473684184E-5
26.536,1.5382332631579273E-5
27.036,1.8985977894736767E-5
27.536,2.2439065263158016E-5
28.036,2.5254584210526363E-5
28.536,2.6924486315789398E-5
29.036,2.7858537894736527E-5
29.536,2.8363233684210328E-5
