ArcLength,DeltaRD
-31.0576,9.823313684210826E-6
-30.5576,-6.900970210526323E-5
-30.0576,-9.331495894736839E-5
-29.5576,-7.858712526315778E-5
-29.0576,-5.944387684210539E-5
-28.5576,-4.04487757894739E-5
-28.0576,-2.1338602105263303E-5
-27.5576,-9.749647368421216E-6
-27.0576,-3.695412631579036E-6
-26.5576,9.038421052635741E-8
-26.0576,2.25880105263177E-6
-25.5576,4.2929599999999915E-6
-25.0576,6.382738947368336E-6
-24.5576,8.160016842105296E-6
-24.0576,9.445298947368232E-6
-23.5576,1.0242375789473583E-5
-23.0576,1.0403687368421054E-5
-22.5576,9.928003157894604E-6
-22.0576,8.943644210526475E-6
-21.5576,7.638836842105076E-6
-21.0576,6.34227157894732E-6
-20.5576,5.65327578947361E-6
-20.0576,5.974551578947509E-6
-19.5576,7.456998947368324E-6
-19.0576,9.781273684210379E-6
-18.5576,1.2121288421052749E-5
-18.0576,1.388890947368412E-5
-17.5576,1.4873353684210654E-5
-17.0576,1.5475867368421156E-5
-16.5576,1.5898720000000026E-5
-16.0576,1.5908941052631624E-5
-15.5576,1.5189957894736817E-5
-15.0576,1.3787321052631334E-5
-14.5576,1.2448330526315709E-5
-14.0576,1.162579789473696E-5
-13.5576,1.1003005263157846E-5
-13.0576,1.012385999999999E-5
-12.5576,9.33171578947371E-6
-12.0576,9.875652631578943E-6
-11.5576,1.3293520000000033E-5
-11.0576,1.8927262105263075E-5
-10.5576,2.437235789473673E-5
-10.0576,2.7235514736842145E-5
-9.55756,2.6124694736842148E-5
-9.05756,2.2343365263157908E-5
-8.55756,1.8161171578947384E-5
-8.05756,1.535366736842101E-5
-7.55756,1.4648629473684141E-5
-7.05756,1.5705815789473652E-5
-6.55756,1.7489152631579015E-5
-6.05756,1.8832924210526346E-5
-5.55756,1.9037053684210412E-5
-5.05756,1.8020542105263017E-5
-4.55756,1.6384555789473673E-5
-4.05756,1.496341578947365E-5
-3.55756,1.4363218947368466E-5
-3.05756,1.4414762105263094E-5
-2.55756,1.425813999999994E-5
-2.05756,1.2846341052631508E-5
-1.55756,9.724168421052675E-6
-1.05756,5.859584210526295E-6
-0.557564,3.049247368420917E-6
-0.057564,3.1417568421053337E-6
0.442436,6.2025063157894445E-6
0.942436,1.0173249473684047E-5
1.44244,1.3463554736842145E-5
1.94244,1.57955715789474E-5
2.44244,1.7349090526315718E-5
2.94244,1.77538652631578E-5
3.44244,1.6024581052631582E-5
3.94244,1.1842726315789277E-5
4.44244,6.404011578947438E-6
4.94244,1.7047757894735104E-6
5.44244,-6.540589473684683E-7
5.94244,-9.906031578946987E-7
6.44244,-1.1056873684211306E-6
6.94244,-2.425435789473753E-6
7.44244,-4.963716842105287E-6
7.94244,-6.935916842105614E-6
8.44244,-6.5672010526315406E-6
8.94244,-3.6605431578944775E-6
9.44244,1.2453473684210072E-6
9.94244,7.2903210526314944E-6
10.4424,1.344776421052644E-5
10.9424,1.8845535789473633E-5
11.4424,2.218261684210532E-5
11.9424,2.3187511578947315E-5
12.4424,2.2346341052631577E-5
12.9424,2.0558645263158066E-5
13.4424,1.8699044210526467E-5
13.9424,1.6874033684210533E-5
14.4424,1.4582166315789446E-5
14.9424,1.1666816842105152E-5
15.4424,8.77519263157902E-6
15.9424,6.348350526315751E-6
16.4424,4.102395789473755E-6
16.9424,1.370922105263018E-6
17.4424,-1.9894663157893518E-6
17.9424,-3.758939999999578E-6
18.4424,-1.4171547368420226E-6
18.9424,5.586015789473594E-6
19.4424,1.5510933684210397E-5
19.9424,2.4941030526315746E-5
20.4424,3.082070736842109E-5
20.9424,3.0882774736841825E-5
21.4424,2.4226044210526538E-5
21.9424,1.2656897894736856E-5
22.4424,5.390263157894213E-7
22.9424,-7.72491052631588E-6
23.4424,-1.0704682105263058E-5
23.9424,-1.1002563157894532E-5
24.4424,-1.334568315789473E-5
24.9424,-2.102290421052643E-5
25.4424,-3.370954315789468E-5
25.9424,-4.877882526315802E-5
26.4424,-6.581483157894771E-5
26.9424,-8.320415894736853E-5
27.4424,-9.93107052631579E-5
27.9424,-1.1566996263157926E-4
28.4424,-1.2845530789473692E-4
28.9424,-1.309822278947369E-4
