ArcLength,DeltaRD
-13.335,-1.628362210526332E-5
-12.835,-3.6449042105263533E-6
-12.335,4.611383157894695E-6
-11.835,9.988647368420968E-6
-11.335,1.3198434736842301E-5
-10.835,1.7128104210526428E-5
-10.335,1.9262781052631567E-5
-9.83502,1.9158247368421017E-5
-9.33502,1.7805886315789502E-5
-8.83502,1.556436000000011E-5
-8.33502,1.3638168421052665E-5
-7.83502,1.3277955789473732E-5
-7.33502,1.4510262105263297E-5
-6.83502,1.674373578947378E-5
-6.33502,1.917372210526332E-5
-5.83502,2.0998323157894803E-5
-5.33502,2.1181745263157826E-5
-4.83502,1.8748467368421055E-5
-4.33502,1.265861052631562E-5
-3.83502,3.7710694736842534E-6
-3.33502,-4.606541052631506E-6
-2.83502,-8.102930526315789E-6
-2.33502,-3.591895789473577E-6
-1.83502,7.975749473683978E-6
-1.33502,2.2174484210526406E-5
-0.835016,3.360858315789455E-5
-0.335016,4.0931705263158005E-5
0.164984,4.37006242105264E-5
0.664984,4.3540684210526133E-5
1.16498,4.1785864210526404E-5
1.66498,3.841478105263144E-5
2.16498,3.4136781052631574E-5
2.66498,3.0122487368421113E-5
3.16498,2.776495157894742E-5
3.66498,2.7198225263157987E-5
4.16498,2.774553368421062E-5
4.66498,2.9059832631578818E-5
5.16498,3.0901386315789424E-5
5.66498,3.306362315789503E-5
6.16498,3.5546986315789365E-5
6.66498,3.862589789473678E-5
7.16498,4.253062000000006E-5
7.66498,4.685661473684201E-5
8.16498,4.962383052631563E-5
8.66498,4.878247157894726E-5
9.16498,4.57611178947369E-5
9.66498,4.216115578947375E-5
10.165,3.8517477894737086E-5
10.665,3.738484210526335E-5
11.165,4.085329263157878E-5
11.665,4.548214105263161E-5
