ArcLength,DeltaRD
-26.477,-1.279111249999999E-4
-25.977,-1.2683753879310332E-4
-25.477,-1.313667241379311E-4
-24.977,-1.4971416379310355E-4
-24.477,-1.8612640086206902E-4
-23.977,-2.3437312931034473E-4
-23.477,-2.761459568965517E-4
-22.977,-2.915733146551726E-4
-22.477,-2.8480964655172396E-4
-21.977,-2.602605043103448E-4
-21.477,-2.2965855603448255E-4
-20.977,-2.106644482758619E-4
-20.477,-2.0474599568965518E-4
-19.977,-2.0853278448275836E-4
-19.477,-2.196745474137928E-4
-18.977,-2.3634255603448317E-4
-18.477,-2.5621187068965536E-4
-17.977,-2.7512753448275873E-4
-17.477,-2.887017025862068E-4
-16.977,-2.947459396551726E-4
-16.477,-2.9481381034482775E-4
-15.977,-2.9334128879310344E-4
-15.477,-2.937304137931033E-4
-14.977,-2.9661079310344836E-4
-14.477,-3.0071659482758614E-4
-13.977,-3.040368318965516E-4
-13.477,-3.0522601724137903E-4
-12.977,-3.0416627155172406E-4
-12.477,-3.025132241379312E-4
-11.977,-3.0145965517241406E-4
-11.477,-2.998062370689655E-4
-10.977,-2.9526024999999997E-4
-10.477,-2.850925129310345E-4
-9.97699,-2.6888746982758595E-4
-9.47699,-2.485053146551725E-4
-8.97699,-2.270457284482758E-4
-8.47699,-2.115980905172414E-4
-7.97699,-2.1400057758620683E-4
-7.47699,-2.3661126724137949E-4
-6.97699,-2.7354826293103456E-4
-6.47699,-3.136816206896553E-4
-5.97699,-3.4288486206896537E-4
-5.47699,-3.5595063793103445E-4
-4.97699,-3.5115963793103447E-4
-4.47699,-3.2783566379310334E-4
-3.97699,-2.908621034482761E-4
-3.47699,-2.505712801724138E-4
-2.97699,-2.1792725431034478E-4
-2.47699,-2.0088033620689648E-4
-1.97699,-2.0163424568965527E-4
-1.47699,-2.158885431034484E-4
-0.976994,-2.3539090086206895E-4
-0.476994,-2.548194568965516E-4
0.0230064,-2.696471293103449E-4
0.523006,-2.7539926293103454E-4
1.02301,-2.716770474137931E-4
1.52301,-2.624117198275861E-4
2.02301,-2.538108922413792E-4
2.52301,-2.5266881896551715E-4
3.02301,-2.6152400431034484E-4
3.52301,-2.7813281896551715E-4
4.02301,-2.9596112931034484E-4
4.52301,-3.1180443534482773E-4
5.02301,-3.2304491379310356E-4
5.52301,-3.244850689655172E-4
6.02301,-3.1020307327586205E-4
6.52301,-2.7684164655172416E-4
7.02301,-2.385554913793104E-4
7.52301,-2.1512283189655164E-4
8.02301,-2.1806834051724144E-4
8.52301,-2.4572494827586203E-4
9.02301,-2.818431163793105E-4
9.52301,-3.129414612068964E-4
10.023,-3.329578577586209E-4
10.523,-3.404247844827586E-4
11.023,-3.3766278448275867E-4
11.523,-3.301546249999999E-4
12.023,-3.234695215517244E-4
12.523,-3.209873318965517E-4
13.023,-3.2303397844827593E-4
13.523,-3.277258103448276E-4
14.023,-3.3253947844827603E-4
14.523,-3.356039827586208E-4
15.023,-3.362850603448277E-4
15.523,-3.350857672413792E-4
16.023,-3.319181422413792E-4
16.523,-3.248034698275862E-4
17.023,-3.1211879310344827E-4
17.523,-2.943708405172415E-4
18.023,-2.749851422413792E-4
18.523,-2.564562025862069E-4
19.023,-2.382762629310343E-4
19.523,-2.2130016379310355E-4
20.023,-2.121095646551726E-4
20.523,-2.2123751293103467E-4
21.023,-2.523834612068966E-4
21.523,-2.94107125E-4
22.023,-3.2015396551724135E-4
22.523,-3.097587844827584E-4
23.023,-2.676861120689655E-4
23.523,-2.1062124137931012E-4
24.023,-1.6269125431034445E-4
24.523,-1.4574362499999993E-4
25.023,-1.334830000000001E-4
25.523,-1.261280689655173E-4
