ArcLength,DeltaRD
-28.7688,-1.812136206896548E-5
-28.2688,-3.169837931034467E-5
-27.7688,-4.0330801724137804E-5
-27.2688,-4.802511206896548E-5
-26.7688,-5.174727155172413E-5
-26.2688,-5.2535487068965494E-5
-25.7688,-5.3029310344827646E-5
-25.2688,-5.438281034482765E-5
-24.7688,-5.676516810344844E-5
-24.2688,-5.863596120689633E-5
-23.7688,-5.946345258620706E-5
-23.2688,-5.922567672413809E-5
-22.7688,-5.87344568965518E-5
-22.2688,-5.9821443965517285E-5
-21.7688,-6.422685775862088E-5
-21.2688,-7.261793534482782E-5
-20.7688,-8.19621465517243E-5
-20.2688,-8.761249137931033E-5
-19.7688,-8.687823706896556E-5
-19.2688,-8.067548706896534E-5
-18.7688,-7.426570258620678E-5
-18.2688,-6.992638362068946E-5
-17.7688,-6.631581465517237E-5
-17.2688,-5.9971646551724186E-5
-16.7688,-4.6867724137931175E-5
-16.2688,-2.6333012931034627E-5
-15.7688,1.4561163793104254E-6
-15.2688,3.46918189655166E-5
-14.7688,6.994491810344804E-5
-14.2688,1.0593311206896511E-4
-13.7688,1.4187709913793104E-4
-13.2688,1.809232241379308E-4
-12.7688,2.2324378448275862E-4
-12.2688,2.6728754310344736E-4
-11.7688,3.1322086206896516E-4
-11.2688,3.575021551724131E-4
-10.7688,3.9845659482758665E-4
-10.2688,4.3100896551724133E-4
-9.7688,4.5489374999999987E-4
-9.2688,4.7348573275862076E-4
-8.7688,4.925369827586212E-4
-8.2688,5.143901293103454E-4
-7.7688,5.375995689655168E-4
-7.2688,5.532225862068959E-4
-6.7688,5.530700431034489E-4
-6.2688,5.318751724137935E-4
-5.7688,4.8718883620689664E-4
-5.2688,4.1721815517241356E-4
-4.7688,3.205056810344825E-4
-4.2688,1.9548593965517248E-4
-3.7688,4.81918706896553E-5
-3.2688,-1.1024100862068974E-4
-2.7688,-2.614223060344829E-4
-2.2688,-3.8560756034482723E-4
-1.7688,-4.62012672413793E-4
-1.2688,-4.844641724137932E-4
-0.768799,-4.716273448275865E-4
-0.268799,-4.355616637931035E-4
0.231201,-3.9457972413793087E-4
0.731201,-3.640977068965517E-4
1.2312,-3.354728965517239E-4
1.7312,-2.8585523275862076E-4
2.2312,-2.115744224137927E-4
2.7312,-1.1933836637931044E-4
3.2312,-2.4762400862068804E-5
3.7312,5.9819129310345E-5
4.2312,1.247694267241385E-4
4.7312,1.799669267241377E-4
5.2312,2.4160617672413782E-4
5.7312,3.223405560344836E-4
6.2312,4.1584685344827634E-4
6.7312,5.067332327586209E-4
7.2312,5.764689655172414E-4
7.7312,6.174057758620685E-4
8.2312,6.308956465517239E-4
8.7312,6.195065517241374E-4
9.2312,5.877715517241383E-4
9.7312,5.419836206896555E-4
10.2312,4.893252155172417E-4
10.7312,4.3885681034482775E-4
11.2312,3.9101224137931003E-4
11.7312,3.443203275862066E-4
12.2312,2.964052155172412E-4
12.7312,2.482770603448273E-4
13.2312,2.0470726293103409E-4
13.7312,1.700544137931035E-4
14.2312,1.448843577586212E-4
14.7312,1.2470926293103477E-4
15.2312,1.0579528448275896E-4
15.7312,8.567230603448298E-5
16.2312,6.411825862068991E-5
16.7312,4.1039952586207165E-5
17.2312,1.799490517241382E-5
17.7312,-5.855030172413427E-6
18.2312,-3.029807327586194E-5
18.7312,-5.426825862068997E-5
19.2312,-7.733099999999993E-5
19.7312,-9.864064655172404E-5
20.2312,-1.1786932327586207E-4
20.7312,-1.340874008620691E-4
21.2312,-1.4648341379310328E-4
21.7312,-1.5311638793103453E-4
22.2312,-1.5333008620689636E-4
22.7312,-1.471768318965518E-4
23.2312,-1.355657672413794E-4
23.7312,-1.2072858189655195E-4
24.2312,-1.0479017672413782E-4
24.7312,-8.967993103448275E-5
25.2312,-7.610923706896557E-5
25.7312,-6.405037068965525E-5
26.2312,-5.352356896551726E-5
26.7312,-4.4523758620689576E-5
27.2312,-3.811025862068959E-5
27.7312,-3.300891379310342E-5
28.2312,-2.918086637931027E-5
