ArcLength,DeltaRD
-15.2645,-1.9789839650431035E-4
-14.7645,-3.756275023663793E-4
-14.2645,-5.957529796982758E-4
-13.7645,-7.682892292672413E-4
-13.2645,-8.633045801724139E-4
-12.7645,-9.417774107758621E-4
-12.2645,-0.0010182873538793103
-11.7645,-0.0010774806965517239
-11.2645,-0.0010609314077586207
-10.7645,-9.517944551724136E-4
-10.2645,-7.865244741379312E-4
-9.76446,-6.065277327586208E-4
-9.26446,-4.476701465517243E-4
-8.76446,-3.2377482327586185E-4
-8.26446,-2.308982025862068E-4
-7.76446,-1.5753559051724132E-4
-7.26446,-1.0093461637931034E-4
-6.76446,-7.024107758620685E-5
-6.26446,-7.204328017241374E-5
-5.76446,-1.0017868965517241E-4
-5.26446,-1.3690822844827574E-4
-4.76446,-1.6657591379310338E-4
-4.26446,-1.814716939655172E-4
-3.76446,-1.8268676293103448E-4
-3.26446,-1.761956810344828E-4
-2.76446,-1.684994568965519E-4
-2.26446,-1.6651938793103458E-4
-1.76446,-1.724524784482758E-4
-1.26446,-1.8047544396551733E-4
-0.764459,-1.858388232758621E-4
-0.264459,-1.8519343103448274E-4
0.235541,-1.8146567672413795E-4
0.735541,-1.7633821551724143E-4
1.23554,-1.6957097413793104E-4
1.73554,-1.6142993534482757E-4
2.23554,-1.502239094827587E-4
2.73554,-1.3807759051724124E-4
3.23554,-1.2379528879310364E-4
3.73554,-1.0762237068965511E-4
4.23554,-9.372938362068965E-5
4.73554,-8.551557758620704E-5
5.23554,-8.449506465517246E-5
5.73554,-9.079885775862076E-5
6.23554,-1.0424428879310334E-4
6.73554,-1.246402974137931E-4
7.23554,-1.51506900862069E-4
7.73554,-1.8617606034482763E-4
8.23554,-2.354070560344826E-4
8.73554,-3.098690172413793E-4
9.23554,-4.2126765517241384E-4
9.73554,-5.592284310344828E-4
10.2355,-6.96915025862069E-4
10.7355,-8.083749568965517E-4
11.2355,-8.833387241379309E-4
11.7355,-9.272546637931035E-4
12.2355,-9.378556896551726E-4
