ArcLength,DeltaRD
-24.7262,-1.7690484913793117E-4
-24.2262,-1.9964068103448288E-4
-23.7262,-2.2125607758620685E-4
-23.2262,-2.4185988793103445E-4
-22.7262,-2.6045835344827594E-4
-22.2262,-2.761161465517242E-4
-21.7262,-2.868517025862069E-4
-21.2262,-2.898640603448276E-4
-20.7262,-2.8266515086206896E-4
-20.2262,-2.6475858189655175E-4
-19.7262,-2.3753518103448274E-4
-19.2262,-2.0594959051724147E-4
-18.7262,-1.7736598706896548E-4
-18.2262,-1.5568130172413788E-4
-17.7262,-1.4055981465517232E-4
-17.2262,-1.2654431896551733E-4
-16.7262,-1.0297873706896553E-4
-16.2262,-6.276326293103439E-5
-15.7262,-1.0281465517245634E-7
-15.2262,8.700088362068975E-5
-14.7262,1.9731859051724115E-4
-14.2262,3.217361551724138E-4
-13.7262,4.4625971120689666E-4
-13.2262,5.479738275862069E-4
-12.7262,6.049029870689656E-4
-12.2262,6.037558232758624E-4
-11.7262,5.388220862068968E-4
-11.2262,4.1935246982758635E-4
-10.7262,2.676572241379309E-4
-10.2262,1.1226260775862133E-4
-9.72623,-1.4939456896551464E-5
-9.22623,-8.708328017241387E-5
-8.72623,-9.45477543103446E-5
-8.22623,-4.625481465517288E-5
-7.72623,3.746136637931049E-5
-7.22623,1.2712954741379303E-4
-6.72623,1.8574206034482758E-4
-6.22623,1.9060661206896556E-4
-5.72623,1.4796303448275853E-4
-5.22623,8.905215086206866E-5
-4.72623,6.405561637931037E-5
-4.22623,9.254478448275855E-5
-3.72623,1.6147639224137927E-4
-3.22623,2.4138740086206904E-4
-2.72623,2.971785689655172E-4
-2.22623,3.0612207327586187E-4
-1.72623,2.688902198275863E-4
-1.22623,2.1291396120689664E-4
-0.726232,1.744296681034488E-4
-0.226232,1.7243270689655174E-4
0.273768,2.006493275862072E-4
0.773768,2.2613447844827602E-4
1.27377,2.2441545258620695E-4
1.77377,1.9643952155172408E-4
2.27377,1.5013945689655182E-4
2.77377,9.954171551724113E-5
3.27377,4.7198293103448445E-5
3.77377,-1.7006310344827493E-5
4.27377,-1.0997020689655157E-4
4.77377,-2.4404172844827616E-4
5.27377,-4.071819396551725E-4
5.77377,-5.620178922413795E-4
6.27377,-6.668659534482758E-4
6.77377,-6.748142431034478E-4
7.27377,-5.706514353448279E-4
7.77377,-3.774661594827585E-4
8.27377,-1.3327622844827602E-4
8.77377,1.0327356465517253E-4
9.27377,2.914816422413791E-4
9.77377,4.1331345689655174E-4
10.2738,4.673822801724136E-4
10.7738,4.6139370689655143E-4
11.2738,4.098882456896552E-4
11.7738,3.276183189655171E-4
12.2738,2.3087105603448305E-4
12.7738,1.3656429741379296E-4
13.2738,5.769262931034486E-5
13.7738,-1.136590517241548E-6
14.2738,-4.379883189655165E-5
14.7738,-7.830459051724135E-5
15.2738,-1.0982316379310342E-4
15.7738,-1.402104482758619E-4
16.2738,-1.6908282327586207E-4
16.7738,-1.9605962931034472E-4
17.2738,-2.2086391379310343E-4
17.7738,-2.437222025862069E-4
18.2738,-2.636017586206897E-4
18.7738,-2.7777599137931037E-4
19.2738,-2.827804353448275E-4
19.7738,-2.744889094827587E-4
20.2738,-2.531786206896551E-4
20.7738,-2.26622599137931E-4
21.2738,-2.0271931896551722E-4
21.7738,-1.8578769396551724E-4
22.2738,-1.7504120258620694E-4
22.7738,-1.663005689655173E-4
23.2738,-1.550849181034482E-4
23.7738,-1.402900603448277E-4
24.2738,-1.298759051724137E-4
24.7738,-1.3086608620689665E-4
