ArcLength,DeltaRD
-14.4637,-3.9786987931034515E-4
-13.9637,-4.7020748275862067E-4
-13.4637,-5.423976681034485E-4
-12.9637,-6.29718047413793E-4
-12.4637,-7.493290991379311E-4
-11.9637,-8.357047284482756E-4
-11.4637,-8.530717974137933E-4
-10.9637,-7.874234224137932E-4
-10.4637,-6.615992068965516E-4
-9.96372,-5.192611982758622E-4
-9.46372,-4.064176810344829E-4
-8.96372,-3.3903887931034497E-4
-8.46372,-3.125181594827586E-4
-7.96372,-3.136585215517244E-4
-7.46372,-3.331797198275863E-4
-6.96372,-3.687181120689654E-4
-6.46372,-4.2240832758620706E-4
-5.96372,-5.00299681034483E-4
-5.46372,-6.059676120689653E-4
-4.96372,-7.225920172413794E-4
-4.46372,-8.152677931034483E-4
-3.96372,-8.435794482758619E-4
-3.46372,-7.866192241379308E-4
-2.96372,-6.636144051724139E-4
-2.46372,-5.136462629310345E-4
-1.96372,-3.820904956896553E-4
-1.46372,-2.92075952586207E-4
-0.963721,-2.448729008620689E-4
-0.463721,-2.2089390086206897E-4
0.0362786,-2.047159137931033E-4
0.536279,-1.893466293103448E-4
1.03628,-1.746061465517241E-4
1.53628,-1.597448146551724E-4
2.03628,-1.4554515948275878E-4
2.53628,-1.3518476293103454E-4
3.03628,-1.274095862068965E-4
3.53628,-1.2037377155172421E-4
4.03628,-1.1346704310344834E-4
4.53628,-1.075859181034483E-4
5.03628,-1.0386057758620694E-4
5.53628,-1.0295669827586212E-4
6.03628,-1.0515623275862067E-4
6.53628,-1.098136336206895E-4
7.03628,-1.1619242241379306E-4
7.53628,-1.2309589224137934E-4
8.03628,-1.295475517241381E-4
8.53628,-1.3415264224137945E-4
9.03628,-1.3480425862068973E-4
9.53628,-1.291186120689654E-4
10.0363,-1.1816338793103464E-4
10.5363,-1.0580678017241393E-4
11.0363,-9.645504741379312E-5
11.5363,-9.29021379310345E-5
12.0363,-9.343481896551735E-5
12.5363,-9.442759913793101E-5
13.0363,-9.167610775862077E-5
13.5363,-8.401700431034497E-5
14.0363,-7.422150000000035E-5
14.5363,-6.476058620689647E-5
15.0363,-5.5032711206896216E-5
15.5363,-4.521509913793119E-5
